champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Maokai,27,16,67,158,371,59.26,2.77,2.48,5.85,13.74,2025-05-09 16:08:30
Udyr,26,11,114,126,212,42.31,2.59,4.38,4.85,8.15,2025-05-09 16:08:30
Nunu & Willump,36,24,172,213,461,66.67,2.97,4.78,5.92,12.81,2025-05-09 16:08:30
Hecarim,52,24,314,249,377,46.15,2.78,6.04,4.79,7.25,2025-05-09 16:08:30
Lillia,30,18,214,129,227,60.0,3.42,7.13,4.3,7.57,2025-05-09 16:08:30
Rammus,17,9,70,75,209,52.94,3.72,4.12,4.41,12.29,2025-05-09 16:08:30
Zyra,40,11,149,182,295,27.5,2.44,3.73,4.55,7.38,2025-05-09 16:08:30
Darius,149,79,1013,731,934,53.02,2.66,6.8,4.91,6.27,2025-05-09 16:08:30
Lee Sin,117,55,955,608,1006,47.01,3.23,8.16,5.2,8.6,2025-05-09 16:08:30
Volibear,88,40,447,422,606,45.45,2.5,5.08,4.8,6.89,2025-05-09 16:08:30
Sion,37,15,155,194,248,40.54,2.08,4.19,5.24,6.7,2025-05-09 16:08:30
Briar,11,6,59,59,76,54.55,2.29,5.36,5.36,6.91,2025-05-09 16:08:30
Olaf,18,8,92,87,96,44.44,2.16,5.11,4.83,5.33,2025-05-09 16:08:30
Diana,57,30,380,311,401,52.63,2.51,6.67,5.46,7.04,2025-05-09 16:08:30
Taliyah,69,36,382,350,629,52.17,2.89,5.54,5.07,9.12,2025-05-09 16:08:30
Xin Zhao,52,26,331,290,459,50.0,2.72,6.37,5.58,8.83,2025-05-09 16:08:30
Gangplank,45,22,250,264,257,48.89,1.92,5.56,5.87,5.71,2025-05-09 16:08:30
Jax,62,30,331,286,301,48.39,2.21,5.34,4.61,4.85,2025-05-09 16:08:30
Aatrox,67,38,328,319,350,56.72,2.13,4.9,4.76,5.22,2025-05-09 16:08:30
Garen,72,34,402,320,315,47.22,2.24,5.58,4.44,4.38,2025-05-09 16:08:30
Jayce,109,51,557,593,622,46.79,1.99,5.11,5.44,5.71,2025-05-09 16:08:30
Sylas,88,35,526,554,609,39.77,2.05,5.98,6.3,6.92,2025-05-09 16:08:30
Draven,20,6,102,129,109,30.0,1.64,5.1,6.45,5.45,2025-05-09 16:08:30
Riven,62,32,334,324,284,51.61,1.91,5.39,5.23,4.58,2025-05-09 16:08:30
Renekton,34,18,146,157,162,52.94,1.96,4.29,4.62,4.76,2025-05-09 16:08:30
Qiyana,83,52,676,380,574,62.65,3.29,8.14,4.58,6.92,2025-05-09 16:08:30
Skarner,17,9,86,69,164,52.94,3.62,5.06,4.06,9.65,2025-05-09 16:08:30
Chogath,59,30,346,335,383,50.85,2.18,5.86,5.68,6.49,2025-05-09 16:08:30
Nocturne,46,25,278,220,357,54.35,2.89,6.04,4.78,7.76,2025-05-09 16:08:30
Jarvan Iv,40,19,190,165,455,47.5,3.91,4.75,4.12,11.38,2025-05-09 16:08:30
Viego,144,74,1091,676,849,51.39,2.87,7.58,4.69,5.9,2025-05-09 16:08:30
Dr. Mundo,54,34,226,213,324,62.96,2.58,4.19,3.94,6.0,2025-05-09 16:08:30
Rumble,27,14,130,156,193,51.85,2.07,4.81,5.78,7.15,2025-05-09 16:08:30
Reksai,24,14,137,116,200,58.33,2.91,5.71,4.83,8.33,2025-05-09 16:08:30
Wukong,50,23,304,228,311,46.0,2.7,6.08,4.56,6.22,2025-05-09 16:08:30
Vi,89,54,503,405,801,60.67,3.22,5.65,4.55,9.0,2025-05-09 16:08:30
Nidalee,64,37,426,267,664,57.81,4.08,6.66,4.17,10.38,2025-05-09 16:08:30
Naafiri,9,3,74,46,38,33.33,2.43,8.22,5.11,4.22,2025-05-09 16:08:30
Zac,25,14,103,101,252,56.0,3.51,4.12,4.04,10.08,2025-05-09 16:08:30
Sejuani,11,3,37,50,131,27.27,3.36,3.36,4.55,11.91,2025-05-09 16:08:30
Ekko,68,32,504,287,423,47.06,3.23,7.41,4.22,6.22,2025-05-09 16:08:30
KhaZix,28,8,179,131,159,28.57,2.58,6.39,4.68,5.68,2025-05-09 16:08:30
Graves,81,48,661,364,574,59.26,3.39,8.16,4.49,7.09,2025-05-09 16:08:30
Elise,30,15,177,198,282,50.0,2.32,5.9,6.6,9.4,2025-05-09 16:08:30
Caitlyn,54,27,329,257,279,50.0,2.37,6.09,4.76,5.17,2025-05-09 16:08:30
Ashe,54,22,235,318,454,40.74,2.17,4.35,5.89,8.41,2025-05-09 16:08:30
Miss Fortune,54,29,312,245,324,53.7,2.6,5.78,4.54,6.0,2025-05-09 16:08:30
Jhin,90,47,637,403,665,52.22,3.23,7.08,4.48,7.39,2025-05-09 16:08:30
Corki,124,69,756,665,847,55.65,2.41,6.1,5.36,6.83,2025-05-09 16:08:30
Ezreal,135,73,789,607,843,54.07,2.69,5.84,4.5,6.24,2025-05-09 16:08:30
Lux,43,16,186,200,351,37.21,2.69,4.33,4.65,8.16,2025-05-09 16:08:30
Syndra,83,46,435,382,539,55.42,2.55,5.24,4.6,6.49,2025-05-09 16:08:30
Jinx,66,40,381,306,436,60.61,2.67,5.77,4.64,6.61,2025-05-09 16:08:30
Anivia,21,7,73,88,149,33.33,2.52,3.48,4.19,7.1,2025-05-09 16:08:30
Nautilus,101,52,196,603,1437,51.49,2.71,1.94,5.97,14.23,2025-05-09 16:08:30
Fiddlesticks,15,8,53,78,110,53.33,2.09,3.53,5.2,7.33,2025-05-09 16:08:30
Zoe,47,23,274,192,325,48.94,3.12,5.83,4.09,6.91,2025-05-09 16:08:30
Rakan,42,20,75,253,695,47.62,3.04,1.79,6.02,16.55,2025-05-09 16:08:30
Karma,168,85,309,766,2154,50.6,3.22,1.84,4.56,12.82,2025-05-09 16:08:30
Hwei,73,37,334,317,608,50.68,2.97,4.58,4.34,8.33,2025-05-09 16:08:30
Zeri,14,4,92,92,50,28.57,1.54,6.57,6.57,3.57,2025-05-09 16:08:30
Bard,39,23,122,160,568,58.97,4.31,3.13,4.1,14.56,2025-05-09 16:08:30
Lulu,102,45,134,439,1410,44.12,3.52,1.31,4.3,13.82,2025-05-09 16:08:30
Varus,50,22,300,259,335,44.0,2.45,6.0,5.18,6.7,2025-05-09 16:08:30
Vayne,32,20,232,185,198,62.5,2.32,7.25,5.78,6.19,2025-05-09 16:08:30
Camille,52,27,331,249,325,51.92,2.63,6.37,4.79,6.25,2025-05-09 16:08:30
Braum,37,16,48,222,552,43.24,2.7,1.3,6.0,14.92,2025-05-09 16:08:30
Poppy,75,32,244,386,700,42.67,2.45,3.25,5.15,9.33,2025-05-09 16:08:30
Rell,62,31,120,360,952,50.0,2.98,1.94,5.81,15.35,2025-05-09 16:08:30
Yasuo,63,32,318,335,351,50.79,2.0,5.05,5.32,5.57,2025-05-09 16:08:30
Ambessa,101,43,523,489,494,42.57,2.08,5.18,4.84,4.89,2025-05-09 16:08:30
Irelia,48,25,269,341,235,52.08,1.48,5.6,7.1,4.9,2025-05-09 16:08:30
Zilean,31,15,70,129,468,48.39,4.17,2.26,4.16,15.1,2025-05-09 16:08:30
Yone,115,55,595,619,586,47.83,1.91,5.17,5.38,5.1,2025-05-09 16:08:30
Ryze,48,22,228,223,245,45.83,2.12,4.75,4.65,5.1,2025-05-09 16:08:30
Orianna,35,22,218,122,369,62.86,4.81,6.23,3.49,10.54,2025-05-09 16:08:30
Kaisa,85,38,552,408,450,44.71,2.46,6.49,4.8,5.29,2025-05-09 16:08:30
Lucian,38,18,278,206,190,47.37,2.27,7.32,5.42,5.0,2025-05-09 16:08:30
LeBlanc,31,16,196,119,180,51.61,3.16,6.32,3.84,5.81,2025-05-09 16:08:30
Talon,41,20,328,226,258,48.78,2.59,8.0,5.51,6.29,2025-05-09 16:08:30
Trundle,11,4,47,68,45,36.36,1.35,4.27,6.18,4.09,2025-05-09 16:08:30
