opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Bard,1,0,1,10,9,0.0,1.0,1.0,10.0,9.0,2025-05-09 16:08:30
Rakan,2,2,1,16,34,100.0,2.19,0.5,8.0,17.0,2025-05-09 16:08:30
Janna,5,1,5,34,63,20.0,2.0,1.0,6.8,12.6,2025-05-09 16:08:30
Nautilus,3,1,2,16,26,33.33,1.75,0.67,5.33,8.67,2025-05-09 16:08:30
Neeko,2,2,5,8,25,100.0,3.75,2.5,4.0,12.5,2025-05-09 16:08:30
Leona,3,1,3,19,42,33.33,2.37,1.0,6.33,14.0,2025-05-09 16:08:30
Seraphine,1,0,1,3,4,0.0,1.67,1.0,3.0,4.0,2025-05-09 16:08:30
Corki,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Thresh,2,1,0,13,15,50.0,1.15,0.0,6.5,7.5,2025-05-09 16:08:30
Senna,1,1,0,5,9,100.0,1.8,0.0,5.0,9.0,2025-05-09 16:08:30
Karma,2,2,2,17,26,100.0,1.65,1.0,8.5,13.0,2025-05-09 16:08:30
Sona,1,1,3,4,18,100.0,5.25,3.0,4.0,18.0,2025-05-09 16:08:30
Poppy,1,0,2,6,8,0.0,1.67,2.0,6.0,8.0,2025-05-09 16:08:30
Pantheon,2,0,3,18,45,0.0,2.67,1.5,9.0,22.5,2025-05-09 16:08:30
Rell,5,3,9,36,91,60.0,2.78,1.8,7.2,18.2,2025-05-09 16:08:30
Braum,2,1,5,15,31,50.0,2.4,2.5,7.5,15.5,2025-05-09 16:08:30
Elise,1,0,0,14,15,0.0,1.07,0.0,14.0,15.0,2025-05-09 16:08:30
Yuumi,1,0,0,5,11,0.0,2.2,0.0,5.0,11.0,2025-05-09 16:08:30
Lulu,1,1,5,5,28,100.0,6.6,5.0,5.0,28.0,2025-05-09 16:08:30
