opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Irelia,3,0,25,14,14,0.0,2.79,8.33,4.67,4.67,2025-05-09 16:08:30
Orianna,2,1,7,7,5,50.0,1.71,3.5,3.5,2.5,2025-05-09 16:08:30
Yone,3,3,31,10,16,100.0,4.7,10.33,3.33,5.33,2025-05-09 16:08:30
Taliyah,2,2,10,12,10,100.0,1.67,5.0,6.0,5.0,2025-05-09 16:08:30
Neeko,1,1,8,6,11,100.0,3.17,8.0,6.0,11.0,2025-05-09 16:08:30
Aatrox,1,1,7,1,2,100.0,9.0,7.0,1.0,2.0,2025-05-09 16:08:30
Jayce,4,2,15,20,16,50.0,1.55,3.75,5.0,4.0,2025-05-09 16:08:30
Camille,4,2,7,10,17,50.0,2.4,1.75,2.5,4.25,2025-05-09 16:08:30
Sett,1,0,5,3,0,0.0,1.67,5.0,3.0,0.0,2025-05-09 16:08:30
Urgot,3,0,7,18,11,0.0,1.0,2.33,6.0,3.67,2025-05-09 16:08:30
Renekton,6,2,31,25,22,33.33,2.12,5.17,4.17,3.67,2025-05-09 16:08:30
Gangplank,2,1,20,7,10,50.0,4.29,10.0,3.5,5.0,2025-05-09 16:08:30
Jarvan Iv,2,1,12,9,14,50.0,2.89,6.0,4.5,7.0,2025-05-09 16:08:30
KSante,1,1,6,4,14,100.0,5.0,6.0,4.0,14.0,2025-05-09 16:08:30
Yasuo,1,0,3,8,8,0.0,1.38,3.0,8.0,8.0,2025-05-09 16:08:30
Vex,1,1,3,7,7,100.0,1.43,3.0,7.0,7.0,2025-05-09 16:08:30
Vladimir,2,1,10,13,9,50.0,1.46,5.0,6.5,4.5,2025-05-09 16:08:30
Quinn,2,0,2,9,3,0.0,0.56,1.0,4.5,1.5,2025-05-09 16:08:30
Garen,3,0,10,18,7,0.0,0.94,3.33,6.0,2.33,2025-05-09 16:08:30
Tryndamere,1,1,5,1,2,100.0,7.0,5.0,1.0,2.0,2025-05-09 16:08:30
Veigar,1,1,6,10,12,100.0,1.8,6.0,10.0,12.0,2025-05-09 16:08:30
Viego,1,0,5,5,6,0.0,2.2,5.0,5.0,6.0,2025-05-09 16:08:30
Volibear,6,1,19,30,22,16.67,1.37,3.17,5.0,3.67,2025-05-09 16:08:30
Dr. Mundo,2,0,11,9,8,0.0,2.11,5.5,4.5,4.0,2025-05-09 16:08:30
Darius,2,0,18,15,13,0.0,2.07,9.0,7.5,6.5,2025-05-09 16:08:30
Kayn,1,0,4,6,0,0.0,0.67,4.0,6.0,0.0,2025-05-09 16:08:30
Jax,2,0,3,12,3,0.0,0.5,1.5,6.0,1.5,2025-05-09 16:08:30
Anivia,3,1,11,18,10,33.33,1.17,3.67,6.0,3.33,2025-05-09 16:08:30
Gragas,2,2,10,8,14,100.0,3.0,5.0,4.0,7.0,2025-05-09 16:08:30
Zac,2,2,17,5,12,100.0,5.8,8.5,2.5,6.0,2025-05-09 16:08:30
Ivern,1,1,6,0,8,100.0,14.0,6.0,0.0,8.0,2025-05-09 16:08:30
Kayle,1,0,1,4,3,0.0,1.0,1.0,4.0,3.0,2025-05-09 16:08:30
Viktor,2,1,8,14,10,50.0,1.29,4.0,7.0,5.0,2025-05-09 16:08:30
Syndra,1,1,9,7,11,100.0,2.86,9.0,7.0,11.0,2025-05-09 16:08:30
Aurora,1,1,15,2,3,100.0,9.0,15.0,2.0,3.0,2025-05-09 16:08:30
Sion,1,1,15,1,7,100.0,22.0,15.0,1.0,7.0,2025-05-09 16:08:30
Yorick,2,2,16,6,18,100.0,5.67,8.0,3.0,9.0,2025-05-09 16:08:30
Maokai,1,0,2,7,7,0.0,1.29,2.0,7.0,7.0,2025-05-09 16:08:30
Poppy,2,0,6,11,9,0.0,1.36,3.0,5.5,4.5,2025-05-09 16:08:30
Pantheon,1,0,0,5,3,0.0,0.6,0.0,5.0,3.0,2025-05-09 16:08:30
Ryze,2,2,22,4,10,100.0,8.0,11.0,2.0,5.0,2025-05-09 16:08:30
Chogath,1,0,5,4,2,0.0,1.75,5.0,4.0,2.0,2025-05-09 16:08:30
Kennen,1,0,4,4,1,0.0,1.25,4.0,4.0,1.0,2025-05-09 16:08:30
Shen,1,0,0,7,0,0.0,0.0,0.0,7.0,0.0,2025-05-09 16:08:30
Riven,3,2,19,30,26,66.67,1.5,6.33,10.0,8.67,2025-05-09 16:08:30
Kled,1,0,6,6,5,0.0,1.83,6.0,6.0,5.0,2025-05-09 16:08:30
Gnar,1,0,4,3,2,0.0,2.0,4.0,3.0,2.0,2025-05-09 16:08:30
Hecarim,1,1,10,7,14,100.0,3.43,10.0,7.0,14.0,2025-05-09 16:08:30
Kindred,1,0,6,5,4,0.0,2.0,6.0,5.0,4.0,2025-05-09 16:08:30
Malzahar,1,1,7,2,4,100.0,5.5,7.0,2.0,4.0,2025-05-09 16:08:30
Lee Sin,1,1,7,5,12,100.0,3.8,7.0,5.0,12.0,2025-05-09 16:08:30
Wukong,1,0,6,6,2,0.0,1.33,6.0,6.0,2.0,2025-05-09 16:08:30
Mordekaiser,1,0,1,3,0,0.0,0.33,1.0,3.0,0.0,2025-05-09 16:08:30
Singed,3,1,8,11,17,33.33,2.27,2.67,3.67,5.67,2025-05-09 16:08:30
Graves,1,0,4,8,9,0.0,1.62,4.0,8.0,9.0,2025-05-09 16:08:30
Malphite,1,1,8,7,9,100.0,2.43,8.0,7.0,9.0,2025-05-09 16:08:30
