opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Neeko,1,0,7,10,5,0.0,1.2,7.0,10.0,5.0,2025-05-09 16:08:30
Zoe,1,0,0,5,1,0.0,0.2,0.0,5.0,1.0,2025-05-09 16:08:30
Yone,1,1,10,8,12,100.0,2.75,10.0,8.0,12.0,2025-05-09 16:08:30
Rell,1,0,2,12,14,0.0,1.33,2.0,12.0,14.0,2025-05-09 16:08:30
Syndra,4,1,29,21,28,25.0,2.71,7.25,5.25,7.0,2025-05-09 16:08:30
Azir,1,1,10,4,11,100.0,5.25,10.0,4.0,11.0,2025-05-09 16:08:30
Malzahar,2,1,11,3,7,50.0,6.0,5.5,1.5,3.5,2025-05-09 16:08:30
Zed,1,0,2,7,1,0.0,0.43,2.0,7.0,1.0,2025-05-09 16:08:30
Thresh,1,1,3,3,12,100.0,5.0,3.0,3.0,12.0,2025-05-09 16:08:30
Mel,1,1,5,1,5,100.0,10.0,5.0,1.0,5.0,2025-05-09 16:08:30
Camille,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,2025-05-09 16:08:30
Karma,1,1,4,0,6,100.0,10.0,4.0,0.0,6.0,2025-05-09 16:08:30
Nautilus,1,0,2,9,16,0.0,2.0,2.0,9.0,16.0,2025-05-09 16:08:30
Seraphine,1,1,7,7,15,100.0,3.14,7.0,7.0,15.0,2025-05-09 16:08:30
Aurelion Sol,1,0,5,9,8,0.0,1.44,5.0,9.0,8.0,2025-05-09 16:08:30
Galio,1,1,3,1,5,100.0,8.0,3.0,1.0,5.0,2025-05-09 16:08:30
Ahri,3,1,18,11,14,33.33,2.91,6.0,3.67,4.67,2025-05-09 16:08:30
Lux,1,1,7,5,4,100.0,2.2,7.0,5.0,4.0,2025-05-09 16:08:30
Ziggs,1,1,7,9,6,100.0,1.44,7.0,9.0,6.0,2025-05-09 16:08:30
Nasus,1,0,3,8,6,0.0,1.12,3.0,8.0,6.0,2025-05-09 16:08:30
Irelia,1,0,5,5,11,0.0,3.2,5.0,5.0,11.0,2025-05-09 16:08:30
Yasuo,1,1,9,7,10,100.0,2.71,9.0,7.0,10.0,2025-05-09 16:08:30
Twisted Fate,1,1,10,9,18,100.0,3.11,10.0,9.0,18.0,2025-05-09 16:08:30
Akali,2,2,8,9,22,100.0,3.33,4.0,4.5,11.0,2025-05-09 16:08:30
LeBlanc,1,1,5,5,8,100.0,2.6,5.0,5.0,8.0,2025-05-09 16:08:30
Fiddlesticks,1,0,0,4,1,0.0,0.25,0.0,4.0,1.0,2025-05-09 16:08:30
