opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lulu,3,1,10,12,22,33.33,2.67,3.33,4.0,7.33,2025-05-09 16:08:30
Pantheon,2,1,5,6,32,50.0,6.17,2.5,3.0,16.0,2025-05-09 16:08:30
Sona,2,0,2,10,18,0.0,2.0,1.0,5.0,9.0,2025-05-09 16:08:30
Neeko,2,2,2,9,40,100.0,4.67,1.0,4.5,20.0,2025-05-09 16:08:30
Janna,2,0,3,11,19,0.0,2.0,1.5,5.5,9.5,2025-05-09 16:08:30
Maokai,2,2,11,4,39,100.0,12.5,5.5,2.0,19.5,2025-05-09 16:08:30
Alistar,1,1,4,6,19,100.0,3.83,4.0,6.0,19.0,2025-05-09 16:08:30
Rakan,2,1,6,6,17,50.0,3.83,3.0,3.0,8.5,2025-05-09 16:08:30
Seraphine,2,1,6,5,26,50.0,6.4,3.0,2.5,13.0,2025-05-09 16:08:30
Camille,1,0,0,10,12,0.0,1.2,0.0,10.0,12.0,2025-05-09 16:08:30
Senna,4,4,13,14,86,100.0,7.07,3.25,3.5,21.5,2025-05-09 16:08:30
Rell,1,1,7,4,14,100.0,5.25,7.0,4.0,14.0,2025-05-09 16:08:30
Sett,1,0,1,2,1,0.0,1.0,1.0,2.0,1.0,2025-05-09 16:08:30
Nautilus,2,1,13,12,30,50.0,3.58,6.5,6.0,15.0,2025-05-09 16:08:30
Karma,1,1,3,5,22,100.0,5.0,3.0,5.0,22.0,2025-05-09 16:08:30
Milio,1,1,2,0,3,100.0,5.0,2.0,0.0,3.0,2025-05-09 16:08:30
Pyke,1,0,10,10,20,0.0,3.0,10.0,10.0,20.0,2025-05-09 16:08:30
Zoe,1,1,2,5,13,100.0,3.0,2.0,5.0,13.0,2025-05-09 16:08:30
Nami,4,3,15,14,75,75.0,6.43,3.75,3.5,18.75,2025-05-09 16:08:30
Thresh,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Leona,3,2,7,15,60,66.67,4.47,2.33,5.0,20.0,2025-05-09 16:08:30
