opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Chogath,1,0,5,3,1,0.0,2.0,5.0,3.0,1.0,2025-05-09 16:08:30
Zyra,3,2,17,22,34,66.67,2.32,5.67,7.33,11.33,2025-05-09 16:08:30
Kayle,1,1,2,3,2,100.0,1.33,2.0,3.0,2.0,2025-05-09 16:08:30
Kennen,2,1,2,5,6,50.0,1.6,1.0,2.5,3.0,2025-05-09 16:08:30
Lillia,1,0,6,3,4,0.0,3.33,6.0,3.0,4.0,2025-05-09 16:08:30
Gangplank,1,0,7,10,4,0.0,1.1,7.0,10.0,4.0,2025-05-09 16:08:30
Ekko,1,1,7,3,11,100.0,6.0,7.0,3.0,11.0,2025-05-09 16:08:30
Gwen,2,1,7,4,12,50.0,4.75,3.5,2.0,6.0,2025-05-09 16:08:30
Jarvan Iv,1,1,7,5,12,100.0,3.8,7.0,5.0,12.0,2025-05-09 16:08:30
Briar,1,0,4,5,6,0.0,2.0,4.0,5.0,6.0,2025-05-09 16:08:30
Taliyah,1,1,6,0,3,100.0,9.0,6.0,0.0,3.0,2025-05-09 16:08:30
Sion,2,0,2,2,0,0.0,1.0,1.0,1.0,0.0,2025-05-09 16:08:30
Graves,1,1,6,3,9,100.0,5.0,6.0,3.0,9.0,2025-05-09 16:08:30
Poppy,2,2,10,13,22,100.0,2.46,5.0,6.5,11.0,2025-05-09 16:08:30
Volibear,1,1,7,1,14,100.0,21.0,7.0,1.0,14.0,2025-05-09 16:08:30
Urgot,4,2,16,16,24,50.0,2.5,4.0,4.0,6.0,2025-05-09 16:08:30
Tryndamere,4,4,12,2,14,100.0,13.0,3.0,0.5,3.5,2025-05-09 16:08:30
Darius,2,1,7,9,10,50.0,1.89,3.5,4.5,5.0,2025-05-09 16:08:30
Ambessa,2,2,10,7,15,100.0,3.57,5.0,3.5,7.5,2025-05-09 16:08:30
Jayce,5,2,15,20,18,40.0,1.65,3.0,4.0,3.6,2025-05-09 16:08:30
Jax,1,1,2,5,7,100.0,1.8,2.0,5.0,7.0,2025-05-09 16:08:30
Aatrox,2,1,8,9,7,50.0,1.67,4.0,4.5,3.5,2025-05-09 16:08:30
Garen,2,1,10,11,13,50.0,2.09,5.0,5.5,6.5,2025-05-09 16:08:30
Pantheon,1,1,6,2,11,100.0,8.5,6.0,2.0,11.0,2025-05-09 16:08:30
Shen,2,2,8,8,15,100.0,2.88,4.0,4.0,7.5,2025-05-09 16:08:30
Sett,1,1,12,6,10,100.0,3.67,12.0,6.0,10.0,2025-05-09 16:08:30
Irelia,1,1,2,3,3,100.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Nasus,1,1,7,7,12,100.0,2.71,7.0,7.0,12.0,2025-05-09 16:08:30
Xin Zhao,1,0,3,6,1,0.0,0.67,3.0,6.0,1.0,2025-05-09 16:08:30
Wukong,1,1,4,0,6,100.0,10.0,4.0,0.0,6.0,2025-05-09 16:08:30
Neeko,1,1,2,6,5,100.0,1.17,2.0,6.0,5.0,2025-05-09 16:08:30
Kindred,1,0,5,10,8,0.0,1.3,5.0,10.0,8.0,2025-05-09 16:08:30
Lee Sin,1,0,2,4,5,0.0,1.75,2.0,4.0,5.0,2025-05-09 16:08:30
