opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Darius,1,1,5,1,15,100.0,20.0,5.0,1.0,15.0,2025-05-09 16:08:30
Kindred,1,0,8,3,2,0.0,3.33,8.0,3.0,2.0,2025-05-09 16:08:30
Aurora,3,2,10,3,16,66.67,8.67,3.33,1.0,5.33,2025-05-09 16:08:30
Viego,3,1,28,17,33,33.33,3.59,9.33,5.67,11.0,2025-05-09 16:08:30
Vladimir,1,1,3,4,9,100.0,3.0,3.0,4.0,9.0,2025-05-09 16:08:30
Tryndamere,2,1,12,7,20,50.0,4.57,6.0,3.5,10.0,2025-05-09 16:08:30
Jax,2,1,4,4,5,50.0,2.25,2.0,2.0,2.5,2025-05-09 16:08:30
Urgot,1,0,1,8,2,0.0,0.38,1.0,8.0,2.0,2025-05-09 16:08:30
Poppy,1,1,1,4,3,100.0,1.0,1.0,4.0,3.0,2025-05-09 16:08:30
Jayce,1,0,6,6,9,0.0,2.5,6.0,6.0,9.0,2025-05-09 16:08:30
Ambessa,2,0,13,6,12,0.0,4.17,6.5,3.0,6.0,2025-05-09 16:08:30
Kayle,1,0,7,8,6,0.0,1.62,7.0,8.0,6.0,2025-05-09 16:08:30
Riven,1,0,1,5,8,0.0,1.8,1.0,5.0,8.0,2025-05-09 16:08:30
Pantheon,1,0,5,7,11,0.0,2.29,5.0,7.0,11.0,2025-05-09 16:08:30
Lee Sin,2,0,5,15,11,0.0,1.07,2.5,7.5,5.5,2025-05-09 16:08:30
Shen,1,1,11,6,6,100.0,2.83,11.0,6.0,6.0,2025-05-09 16:08:30
Syndra,1,1,7,1,11,100.0,18.0,7.0,1.0,11.0,2025-05-09 16:08:30
Mel,1,1,2,4,5,100.0,1.75,2.0,4.0,5.0,2025-05-09 16:08:30
Nunu & Willump,1,0,6,4,3,0.0,2.25,6.0,4.0,3.0,2025-05-09 16:08:30
Master Yi,2,1,10,6,14,50.0,4.0,5.0,3.0,7.0,2025-05-09 16:08:30
Naafiri,1,0,5,7,4,0.0,1.29,5.0,7.0,4.0,2025-05-09 16:08:30
Wukong,1,0,0,3,4,0.0,1.33,0.0,3.0,4.0,2025-05-09 16:08:30
Sylas,1,0,2,10,15,0.0,1.7,2.0,10.0,15.0,2025-05-09 16:08:30
Nasus,1,1,4,8,3,100.0,0.88,4.0,8.0,3.0,2025-05-09 16:08:30
LeBlanc,1,1,3,2,9,100.0,6.0,3.0,2.0,9.0,2025-05-09 16:08:30
Singed,1,0,0,7,2,0.0,0.29,0.0,7.0,2.0,2025-05-09 16:08:30
Volibear,1,0,4,6,7,0.0,1.83,4.0,6.0,7.0,2025-05-09 16:08:30
