opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Rakan,1,0,4,7,3,0.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Diana,2,1,3,2,2,50.0,2.5,1.5,1.0,1.0,2025-05-09 16:08:30
Chogath,1,1,6,2,6,100.0,6.0,6.0,2.0,6.0,2025-05-09 16:08:30
Yone,1,1,7,0,6,100.0,13.0,7.0,0.0,6.0,2025-05-09 16:08:30
Xerath,2,0,8,8,2,0.0,1.25,4.0,4.0,1.0,2025-05-09 16:08:30
Ezreal,4,3,25,15,43,75.0,4.53,6.25,3.75,10.75,2025-05-09 16:08:30
Kalista,1,1,3,3,8,100.0,3.67,3.0,3.0,8.0,2025-05-09 16:08:30
Draven,1,1,9,1,14,100.0,23.0,9.0,1.0,14.0,2025-05-09 16:08:30
Miss Fortune,4,1,7,20,23,25.0,1.5,1.75,5.0,5.75,2025-05-09 16:08:30
Ashe,3,2,16,15,25,66.67,2.73,5.33,5.0,8.33,2025-05-09 16:08:30
Ahri,3,2,21,14,21,66.67,3.0,7.0,4.67,7.0,2025-05-09 16:08:30
Varus,1,1,4,2,19,100.0,11.5,4.0,2.0,19.0,2025-05-09 16:08:30
Jinx,1,0,5,5,10,0.0,3.0,5.0,5.0,10.0,2025-05-09 16:08:30
Sivir,2,2,6,4,20,100.0,6.5,3.0,2.0,10.0,2025-05-09 16:08:30
Vladimir,1,0,4,7,7,0.0,1.57,4.0,7.0,7.0,2025-05-09 16:08:30
Syndra,2,1,3,6,8,50.0,1.83,1.5,3.0,4.0,2025-05-09 16:08:30
Sylas,2,1,7,11,30,50.0,3.36,3.5,5.5,15.0,2025-05-09 16:08:30
Ryze,2,1,7,9,14,50.0,2.33,3.5,4.5,7.0,2025-05-09 16:08:30
Azir,2,1,17,13,14,50.0,2.38,8.5,6.5,7.0,2025-05-09 16:08:30
Aurora,3,1,10,10,13,33.33,2.3,3.33,3.33,4.33,2025-05-09 16:08:30
Kaisa,2,1,1,6,16,50.0,2.83,0.5,3.0,8.0,2025-05-09 16:08:30
Zed,1,0,2,9,8,0.0,1.11,2.0,9.0,8.0,2025-05-09 16:08:30
Lux,1,1,7,5,7,100.0,2.8,7.0,5.0,7.0,2025-05-09 16:08:30
Orianna,4,3,28,14,37,75.0,4.64,7.0,3.5,9.25,2025-05-09 16:08:30
Twitch,1,1,9,2,26,100.0,17.5,9.0,2.0,26.0,2025-05-09 16:08:30
Shen,1,0,5,6,5,0.0,1.67,5.0,6.0,5.0,2025-05-09 16:08:30
Lucian,2,1,6,7,14,50.0,2.86,3.0,3.5,7.0,2025-05-09 16:08:30
Jayce,2,0,4,6,10,0.0,2.33,2.0,3.0,5.0,2025-05-09 16:08:30
Zoe,1,0,0,10,8,0.0,0.8,0.0,10.0,8.0,2025-05-09 16:08:30
Milio,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Galio,1,0,7,10,16,0.0,2.3,7.0,10.0,16.0,2025-05-09 16:08:30
Sion,1,1,9,5,18,100.0,5.4,9.0,5.0,18.0,2025-05-09 16:08:30
Mel,2,1,14,7,14,50.0,4.0,7.0,3.5,7.0,2025-05-09 16:08:30
Akshan,1,1,10,10,20,100.0,3.0,10.0,10.0,20.0,2025-05-09 16:08:30
Seraphine,1,0,5,7,13,0.0,2.57,5.0,7.0,13.0,2025-05-09 16:08:30
Naafiri,1,1,6,3,16,100.0,7.33,6.0,3.0,16.0,2025-05-09 16:08:30
Ekko,1,0,1,6,13,0.0,2.33,1.0,6.0,13.0,2025-05-09 16:08:30
Akali,1,1,2,0,5,100.0,7.0,2.0,0.0,5.0,2025-05-09 16:08:30
Anivia,1,0,5,5,7,0.0,2.4,5.0,5.0,7.0,2025-05-09 16:08:30
Fiora,1,1,6,1,1,100.0,7.0,6.0,1.0,1.0,2025-05-09 16:08:30
Swain,1,1,1,3,12,100.0,4.33,1.0,3.0,12.0,2025-05-09 16:08:30
Lissandra,1,1,6,0,6,100.0,12.0,6.0,0.0,6.0,2025-05-09 16:08:30
Pantheon,1,0,8,7,14,0.0,3.14,8.0,7.0,14.0,2025-05-09 16:08:30
Taliyah,1,0,7,6,14,0.0,3.5,7.0,6.0,14.0,2025-05-09 16:08:30
Katarina,2,0,5,23,12,0.0,0.74,2.5,11.5,6.0,2025-05-09 16:08:30
Viktor,1,1,6,2,5,100.0,5.5,6.0,2.0,5.0,2025-05-09 16:08:30
