opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Bard,2,2,4,7,32,100.0,5.14,2.0,3.5,16.0,2025-05-09 16:08:30
Alistar,5,4,12,21,96,80.0,5.14,2.4,4.2,19.2,2025-05-09 16:08:30
Braum,2,1,1,7,32,50.0,4.71,0.5,3.5,16.0,2025-05-09 16:08:30
Senna,5,1,8,14,56,20.0,4.57,1.6,2.8,11.2,2025-05-09 16:08:30
Neeko,2,2,6,6,35,100.0,6.83,3.0,3.0,17.5,2025-05-09 16:08:30
Rakan,5,1,8,38,90,20.0,2.58,1.6,7.6,18.0,2025-05-09 16:08:30
Xerath,2,2,3,3,33,100.0,12.0,1.5,1.5,16.5,2025-05-09 16:08:30
Sona,2,1,6,10,43,50.0,4.9,3.0,5.0,21.5,2025-05-09 16:08:30
Karma,7,5,10,30,82,71.43,3.07,1.43,4.29,11.71,2025-05-09 16:08:30
Blitzcrank,3,1,4,14,40,33.33,3.14,1.33,4.67,13.33,2025-05-09 16:08:30
Maokai,2,0,5,15,40,0.0,3.0,2.5,7.5,20.0,2025-05-09 16:08:30
Lulu,6,4,8,26,83,66.67,3.5,1.33,4.33,13.83,2025-05-09 16:08:30
Nautilus,5,2,6,26,73,40.0,3.04,1.2,5.2,14.6,2025-05-09 16:08:30
Camille,1,1,2,3,17,100.0,6.33,2.0,3.0,17.0,2025-05-09 16:08:30
Poppy,2,0,2,11,6,0.0,0.73,1.0,5.5,3.0,2025-05-09 16:08:30
Rell,6,2,7,27,76,33.33,3.07,1.17,4.5,12.67,2025-05-09 16:08:30
Leona,1,1,5,6,28,100.0,5.5,5.0,6.0,28.0,2025-05-09 16:08:30
Elise,1,1,2,3,10,100.0,4.0,2.0,3.0,10.0,2025-05-09 16:08:30
Nunu & Willump,1,1,0,0,10,100.0,10.0,0.0,0.0,10.0,2025-05-09 16:08:30
Thresh,2,1,3,6,28,50.0,5.17,1.5,3.0,14.0,2025-05-09 16:08:30
Ashe,1,0,2,6,18,0.0,3.33,2.0,6.0,18.0,2025-05-09 16:08:30
Nami,3,2,9,8,56,66.67,8.12,3.0,2.67,18.67,2025-05-09 16:08:30
Yuumi,1,1,1,7,19,100.0,2.86,1.0,7.0,19.0,2025-05-09 16:08:30
Pyke,1,0,2,6,2,0.0,0.67,2.0,6.0,2.0,2025-05-09 16:08:30
Pantheon,1,0,1,13,4,0.0,0.38,1.0,13.0,4.0,2025-05-09 16:08:30
Milio,1,1,0,1,11,100.0,11.0,0.0,1.0,11.0,2025-05-09 16:08:30
