opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gangplank,4,2,31,24,27,50.0,2.42,7.75,6.0,6.75,2025-05-09 16:08:30
Chogath,4,2,32,22,25,50.0,2.59,8.0,5.5,6.25,2025-05-09 16:08:30
Galio,4,3,22,14,37,75.0,4.21,5.5,3.5,9.25,2025-05-09 16:08:30
Akshan,2,0,8,16,8,0.0,1.0,4.0,8.0,4.0,2025-05-09 16:08:30
Ambessa,4,2,20,21,20,50.0,1.9,5.0,5.25,5.0,2025-05-09 16:08:30
Irelia,7,5,42,42,51,71.43,2.21,6.0,6.0,7.29,2025-05-09 16:08:30
Sett,1,0,7,4,5,0.0,3.0,7.0,4.0,5.0,2025-05-09 16:08:30
Urgot,4,2,16,21,17,50.0,1.57,4.0,5.25,4.25,2025-05-09 16:08:30
Veigar,1,0,16,8,8,0.0,3.0,16.0,8.0,8.0,2025-05-09 16:08:30
Quinn,2,1,3,4,5,50.0,2.0,1.5,2.0,2.5,2025-05-09 16:08:30
Garen,1,0,10,9,9,0.0,2.11,10.0,9.0,9.0,2025-05-09 16:08:30
Aatrox,4,2,12,10,13,50.0,2.5,3.0,2.5,3.25,2025-05-09 16:08:30
Poppy,2,1,13,15,11,50.0,1.6,6.5,7.5,5.5,2025-05-09 16:08:30
Graves,1,0,1,7,3,0.0,0.57,1.0,7.0,3.0,2025-05-09 16:08:30
Caitlyn,1,0,2,6,1,0.0,0.5,2.0,6.0,1.0,2025-05-09 16:08:30
Malphite,1,0,1,3,2,0.0,1.0,1.0,3.0,2.0,2025-05-09 16:08:30
Aurora,3,1,26,16,17,33.33,2.69,8.67,5.33,5.67,2025-05-09 16:08:30
Corki,1,0,1,5,3,0.0,0.8,1.0,5.0,3.0,2025-05-09 16:08:30
Lux,1,0,2,5,2,0.0,0.8,2.0,5.0,2.0,2025-05-09 16:08:30
Pantheon,2,0,5,13,5,0.0,0.77,2.5,6.5,2.5,2025-05-09 16:08:30
Yone,2,0,11,10,18,0.0,2.9,5.5,5.0,9.0,2025-05-09 16:08:30
Kennen,1,1,5,3,13,100.0,6.0,5.0,3.0,13.0,2025-05-09 16:08:30
Zoe,4,2,25,25,23,50.0,1.92,6.25,6.25,5.75,2025-05-09 16:08:30
Taliyah,1,0,8,3,7,0.0,5.0,8.0,3.0,7.0,2025-05-09 16:08:30
Akali,2,1,9,21,17,50.0,1.24,4.5,10.5,8.5,2025-05-09 16:08:30
Yasuo,1,1,7,5,15,100.0,4.4,7.0,5.0,15.0,2025-05-09 16:08:30
Renekton,4,4,30,11,31,100.0,5.55,7.5,2.75,7.75,2025-05-09 16:08:30
Ahri,1,0,3,4,3,0.0,1.5,3.0,4.0,3.0,2025-05-09 16:08:30
Tryndamere,4,1,5,26,20,25.0,0.96,1.25,6.5,5.0,2025-05-09 16:08:30
Dr. Mundo,5,3,28,18,26,60.0,3.0,5.6,3.6,5.2,2025-05-09 16:08:30
Sion,4,3,19,18,30,75.0,2.72,4.75,4.5,7.5,2025-05-09 16:08:30
Yorick,2,1,4,12,13,50.0,1.42,2.0,6.0,6.5,2025-05-09 16:08:30
Orianna,1,0,5,11,1,0.0,0.55,5.0,11.0,1.0,2025-05-09 16:08:30
Azir,2,1,9,12,6,50.0,1.25,4.5,6.0,3.0,2025-05-09 16:08:30
Gragas,1,1,5,9,11,100.0,1.78,5.0,9.0,11.0,2025-05-09 16:08:30
Nasus,2,1,4,16,10,50.0,0.88,2.0,8.0,5.0,2025-05-09 16:08:30
Jax,1,1,2,0,9,100.0,11.0,2.0,0.0,9.0,2025-05-09 16:08:30
Teemo,2,1,15,9,13,50.0,3.11,7.5,4.5,6.5,2025-05-09 16:08:30
Fiora,1,0,1,7,2,0.0,0.43,1.0,7.0,2.0,2025-05-09 16:08:30
Diana,1,0,3,9,7,0.0,1.11,3.0,9.0,7.0,2025-05-09 16:08:30
Cassiopeia,1,0,5,7,3,0.0,1.14,5.0,7.0,3.0,2025-05-09 16:08:30
KSante,1,0,4,9,8,0.0,1.33,4.0,9.0,8.0,2025-05-09 16:08:30
Gnar,1,1,3,0,0,100.0,3.0,3.0,0.0,0.0,2025-05-09 16:08:30
Darius,1,1,12,4,15,100.0,6.75,12.0,4.0,15.0,2025-05-09 16:08:30
Rengar,1,0,10,6,2,0.0,2.0,10.0,6.0,2.0,2025-05-09 16:08:30
Shen,1,1,9,3,7,100.0,5.33,9.0,3.0,7.0,2025-05-09 16:08:30
Sylas,1,1,5,1,0,100.0,5.0,5.0,1.0,0.0,2025-05-09 16:08:30
Camille,1,1,7,3,4,100.0,3.67,7.0,3.0,4.0,2025-05-09 16:08:30
Riven,1,0,1,9,4,0.0,0.56,1.0,9.0,4.0,2025-05-09 16:08:30
Hwei,2,2,2,2,14,100.0,8.0,1.0,1.0,7.0,2025-05-09 16:08:30
Nautilus,1,0,6,7,9,0.0,2.14,6.0,7.0,9.0,2025-05-09 16:08:30
Viktor,1,0,6,14,2,0.0,0.57,6.0,14.0,2.0,2025-05-09 16:08:30
Wukong,1,0,2,7,0,0.0,0.29,2.0,7.0,0.0,2025-05-09 16:08:30
Gwen,1,0,0,6,0,0.0,0.0,0.0,6.0,0.0,2025-05-09 16:08:30
Reksai,1,0,11,9,6,0.0,1.89,11.0,9.0,6.0,2025-05-09 16:08:30
Lucian,1,1,6,12,4,100.0,0.83,6.0,12.0,4.0,2025-05-09 16:08:30
