opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Corki,1,0,6,4,4,0.0,2.5,6.0,4.0,4.0,2025-05-09 16:08:30
Taliyah,1,0,9,7,8,0.0,2.43,9.0,7.0,8.0,2025-05-09 16:08:30
LeBlanc,3,2,28,12,16,66.67,3.67,9.33,4.0,5.33,2025-05-09 16:08:30
Veigar,2,1,10,9,9,50.0,2.11,5.0,4.5,4.5,2025-05-09 16:08:30
Galio,2,0,4,9,6,0.0,1.11,2.0,4.5,3.0,2025-05-09 16:08:30
Zoe,1,0,0,3,0,0.0,0.0,0.0,3.0,0.0,2025-05-09 16:08:30
Ahri,1,0,7,5,10,0.0,3.4,7.0,5.0,10.0,2025-05-09 16:08:30
Diana,1,1,4,5,8,100.0,2.4,4.0,5.0,8.0,2025-05-09 16:08:30
Lucian,1,0,4,8,6,0.0,1.25,4.0,8.0,6.0,2025-05-09 16:08:30
Syndra,1,0,6,4,5,0.0,2.75,6.0,4.0,5.0,2025-05-09 16:08:30
Qiyana,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Karma,1,1,11,7,12,100.0,3.29,11.0,7.0,12.0,2025-05-09 16:08:30
Viktor,1,0,4,10,12,0.0,1.6,4.0,10.0,12.0,2025-05-09 16:08:30
Katarina,1,0,11,10,2,0.0,1.3,11.0,10.0,2.0,2025-05-09 16:08:30
