opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,1,0,3,6,3,0.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Kindred,6,2,29,23,30,33.33,2.57,4.83,3.83,5.0,2025-05-09 16:08:30
Hecarim,2,1,13,9,12,50.0,2.78,6.5,4.5,6.0,2025-05-09 16:08:30
Zac,1,0,8,9,8,0.0,1.78,8.0,9.0,8.0,2025-05-09 16:08:30
Xin Zhao,1,0,7,6,1,0.0,1.33,7.0,6.0,1.0,2025-05-09 16:08:30
Nidalee,2,0,14,9,14,0.0,3.11,7.0,4.5,7.0,2025-05-09 16:08:30
Darius,3,1,25,11,28,33.33,4.82,8.33,3.67,9.33,2025-05-09 16:08:30
Kayn,1,0,2,6,1,0.0,0.5,2.0,6.0,1.0,2025-05-09 16:08:30
Ekko,1,0,6,5,7,0.0,2.6,6.0,5.0,7.0,2025-05-09 16:08:30
Neeko,1,1,7,4,3,100.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Elise,1,0,6,3,2,0.0,2.67,6.0,3.0,2.0,2025-05-09 16:08:30
Skarner,2,0,8,7,9,0.0,2.43,4.0,3.5,4.5,2025-05-09 16:08:30
Graves,2,0,4,14,18,0.0,1.57,2.0,7.0,9.0,2025-05-09 16:08:30
Volibear,2,2,30,12,18,100.0,4.0,15.0,6.0,9.0,2025-05-09 16:08:30
Master Yi,1,1,9,2,3,100.0,6.0,9.0,2.0,3.0,2025-05-09 16:08:30
Teemo,1,0,8,5,2,0.0,2.0,8.0,5.0,2.0,2025-05-09 16:08:30
