opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Udyr,1,1,3,5,20,100.0,4.6,3.0,5.0,20.0,2025-05-09 16:08:30
Sion,2,0,10,9,12,0.0,2.44,5.0,4.5,6.0,2025-05-09 16:08:30
Olaf,1,1,3,5,15,100.0,3.6,3.0,5.0,15.0,2025-05-09 16:08:30
Diana,1,0,0,3,13,0.0,4.33,0.0,3.0,13.0,2025-05-09 16:08:30
Bard,2,0,7,15,18,0.0,1.67,3.5,7.5,9.0,2025-05-09 16:08:30
Lux,1,1,3,2,18,100.0,10.5,3.0,2.0,18.0,2025-05-09 16:08:30
Nautilus,3,2,6,18,30,66.67,2.0,2.0,6.0,10.0,2025-05-09 16:08:30
Urgot,1,0,3,7,15,0.0,2.57,3.0,7.0,15.0,2025-05-09 16:08:30
Anivia,1,1,3,3,13,100.0,5.33,3.0,3.0,13.0,2025-05-09 16:08:30
Poppy,1,1,2,4,30,100.0,8.0,2.0,4.0,30.0,2025-05-09 16:08:30
Pyke,1,1,1,7,20,100.0,3.0,1.0,7.0,20.0,2025-05-09 16:08:30
Janna,2,2,3,15,41,100.0,2.93,1.5,7.5,20.5,2025-05-09 16:08:30
Nami,1,1,3,12,20,100.0,1.92,3.0,12.0,20.0,2025-05-09 16:08:30
Zyra,1,1,1,2,12,100.0,6.5,1.0,2.0,12.0,2025-05-09 16:08:30
Viego,1,1,4,4,10,100.0,3.5,4.0,4.0,10.0,2025-05-09 16:08:30
Pantheon,1,0,3,9,15,0.0,2.0,3.0,9.0,15.0,2025-05-09 16:08:30
Karma,1,0,0,5,8,0.0,1.6,0.0,5.0,8.0,2025-05-09 16:08:30
Ambessa,1,1,4,4,18,100.0,5.5,4.0,4.0,18.0,2025-05-09 16:08:30
Lulu,3,2,7,20,35,66.67,2.1,2.33,6.67,11.67,2025-05-09 16:08:30
Rell,1,0,1,9,8,0.0,1.0,1.0,9.0,8.0,2025-05-09 16:08:30
