opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Anivia,1,1,1,10,22,100.0,2.3,1.0,10.0,22.0,2025-05-09 16:08:30
Rell,5,3,6,32,100,60.0,3.31,1.2,6.4,20.0,2025-05-09 16:08:30
Taric,1,1,0,2,8,100.0,4.0,0.0,2.0,8.0,2025-05-09 16:08:30
Karma,22,9,31,102,238,40.91,2.64,1.41,4.64,10.82,2025-05-09 16:08:30
Braum,12,6,26,68,161,50.0,2.75,2.17,5.67,13.42,2025-05-09 16:08:30
Nami,4,0,8,33,51,0.0,1.79,2.0,8.25,12.75,2025-05-09 16:08:30
Lulu,6,3,13,47,82,50.0,2.02,2.17,7.83,13.67,2025-05-09 16:08:30
Maokai,3,1,4,18,40,33.33,2.44,1.33,6.0,13.33,2025-05-09 16:08:30
Nunu & Willump,1,0,2,10,17,0.0,1.9,2.0,10.0,17.0,2025-05-09 16:08:30
Kennen,1,1,2,12,21,100.0,1.92,2.0,12.0,21.0,2025-05-09 16:08:30
Alistar,3,2,10,12,25,66.67,2.92,3.33,4.0,8.33,2025-05-09 16:08:30
Leona,3,1,4,21,48,33.33,2.48,1.33,7.0,16.0,2025-05-09 16:08:30
Neeko,2,1,12,11,46,50.0,5.27,6.0,5.5,23.0,2025-05-09 16:08:30
Janna,5,3,9,23,85,60.0,4.09,1.8,4.6,17.0,2025-05-09 16:08:30
Amumu,1,0,1,11,17,0.0,1.64,1.0,11.0,17.0,2025-05-09 16:08:30
Poppy,3,2,10,31,51,66.67,1.97,3.33,10.33,17.0,2025-05-09 16:08:30
Yuumi,2,1,5,7,33,50.0,5.43,2.5,3.5,16.5,2025-05-09 16:08:30
Bard,2,1,7,13,28,50.0,2.69,3.5,6.5,14.0,2025-05-09 16:08:30
Sona,4,3,6,19,70,75.0,4.0,1.5,4.75,17.5,2025-05-09 16:08:30
Zoe,1,1,4,4,11,100.0,3.75,4.0,4.0,11.0,2025-05-09 16:08:30
Pantheon,4,2,6,33,69,50.0,2.27,1.5,8.25,17.25,2025-05-09 16:08:30
Thresh,5,2,8,31,82,40.0,2.9,1.6,6.2,16.4,2025-05-09 16:08:30
Soraka,1,1,2,6,21,100.0,3.83,2.0,6.0,21.0,2025-05-09 16:08:30
Milio,2,2,3,11,16,100.0,1.73,1.5,5.5,8.0,2025-05-09 16:08:30
Senna,2,1,2,11,21,50.0,2.09,1.0,5.5,10.5,2025-05-09 16:08:30
Swain,1,1,7,1,15,100.0,22.0,7.0,1.0,15.0,2025-05-09 16:08:30
Zilean,1,0,2,8,3,0.0,0.62,2.0,8.0,3.0,2025-05-09 16:08:30
Jayce,1,1,0,7,16,100.0,2.29,0.0,7.0,16.0,2025-05-09 16:08:30
Annie,1,1,2,7,24,100.0,3.71,2.0,7.0,24.0,2025-05-09 16:08:30
Yone,1,1,3,2,16,100.0,9.5,3.0,2.0,16.0,2025-05-09 16:08:30
