opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Hecarim,1,1,7,3,13,100.0,6.67,7.0,3.0,13.0,2025-05-09 16:08:30
Lillia,1,1,5,0,4,100.0,9.0,5.0,0.0,4.0,2025-05-09 16:08:30
Rammus,2,1,10,11,18,50.0,2.55,5.0,5.5,9.0,2025-05-09 16:08:30
Zyra,1,1,8,4,27,100.0,8.75,8.0,4.0,27.0,2025-05-09 16:08:30
Volibear,3,2,10,13,40,66.67,3.85,3.33,4.33,13.33,2025-05-09 16:08:30
Sion,1,1,4,1,4,100.0,8.0,4.0,1.0,4.0,2025-05-09 16:08:30
Briar,1,1,6,4,16,100.0,5.5,6.0,4.0,16.0,2025-05-09 16:08:30
Taliyah,1,0,2,4,11,0.0,3.25,2.0,4.0,11.0,2025-05-09 16:08:30
Xin Zhao,2,0,2,14,20,0.0,1.57,1.0,7.0,10.0,2025-05-09 16:08:30
Darius,3,1,19,21,40,33.33,2.81,6.33,7.0,13.33,2025-05-09 16:08:30
Qiyana,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Nautilus,1,1,11,12,19,100.0,2.5,11.0,12.0,19.0,2025-05-09 16:08:30
Viego,3,3,16,21,41,100.0,2.71,5.33,7.0,13.67,2025-05-09 16:08:30
Zed,1,0,1,9,9,0.0,1.11,1.0,9.0,9.0,2025-05-09 16:08:30
Karma,1,0,1,12,9,0.0,0.83,1.0,12.0,9.0,2025-05-09 16:08:30
Yuumi,2,2,15,10,23,100.0,3.8,7.5,5.0,11.5,2025-05-09 16:08:30
Janna,1,0,4,8,1,0.0,0.62,4.0,8.0,1.0,2025-05-09 16:08:30
Sylas,1,1,3,8,10,100.0,1.62,3.0,8.0,10.0,2025-05-09 16:08:30
Lee Sin,3,3,14,13,35,100.0,3.77,4.67,4.33,11.67,2025-05-09 16:08:30
Graves,1,1,10,9,19,100.0,3.22,10.0,9.0,19.0,2025-05-09 16:08:30
Diana,2,2,13,16,51,100.0,4.0,6.5,8.0,25.5,2025-05-09 16:08:30
Kindred,1,1,1,4,16,100.0,4.25,1.0,4.0,16.0,2025-05-09 16:08:30
Gragas,1,1,7,4,17,100.0,6.0,7.0,4.0,17.0,2025-05-09 16:08:30
Amumu,1,0,2,7,16,0.0,2.57,2.0,7.0,16.0,2025-05-09 16:08:30
