opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Skarner,1,1,4,2,10,100.0,7.0,4.0,2.0,10.0,2025-05-09 16:08:30
Nocturne,2,2,23,7,19,100.0,6.0,11.5,3.5,9.5,2025-05-09 16:08:30
Viego,6,4,43,25,56,66.67,3.96,7.17,4.17,9.33,2025-05-09 16:08:30
Rumble,1,0,10,9,7,0.0,1.89,10.0,9.0,7.0,2025-05-09 16:08:30
Hecarim,3,2,21,11,9,66.67,2.73,7.0,3.67,3.0,2025-05-09 16:08:30
Reksai,1,0,7,9,7,0.0,1.56,7.0,9.0,7.0,2025-05-09 16:08:30
Wukong,1,0,5,5,5,0.0,2.0,5.0,5.0,5.0,2025-05-09 16:08:30
Vi,7,4,60,34,57,57.14,3.44,8.57,4.86,8.14,2025-05-09 16:08:30
Jarvan Iv,1,0,10,7,5,0.0,2.14,10.0,7.0,5.0,2025-05-09 16:08:30
Nidalee,2,2,13,9,14,100.0,3.0,6.5,4.5,7.0,2025-05-09 16:08:30
Darius,5,2,34,25,30,40.0,2.56,6.8,5.0,6.0,2025-05-09 16:08:30
Naafiri,1,1,12,2,3,100.0,7.5,12.0,2.0,3.0,2025-05-09 16:08:30
Zac,1,1,2,1,8,100.0,10.0,2.0,1.0,8.0,2025-05-09 16:08:30
Sylas,2,2,10,10,13,100.0,2.3,5.0,5.0,6.5,2025-05-09 16:08:30
Sejuani,2,2,8,14,34,100.0,3.0,4.0,7.0,17.0,2025-05-09 16:08:30
Lee Sin,2,2,22,10,20,100.0,4.2,11.0,5.0,10.0,2025-05-09 16:08:30
Nunu & Willump,1,1,10,0,2,100.0,12.0,10.0,0.0,2.0,2025-05-09 16:08:30
Lillia,1,1,17,3,6,100.0,7.67,17.0,3.0,6.0,2025-05-09 16:08:30
Ekko,1,1,3,2,9,100.0,6.0,3.0,2.0,9.0,2025-05-09 16:08:30
KhaZix,1,1,5,1,4,100.0,9.0,5.0,1.0,4.0,2025-05-09 16:08:30
Graves,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Taliyah,5,2,35,19,27,40.0,3.26,7.0,3.8,5.4,2025-05-09 16:08:30
Xin Zhao,1,1,12,2,6,100.0,9.0,12.0,2.0,6.0,2025-05-09 16:08:30
Volibear,3,1,19,11,20,33.33,3.55,6.33,3.67,6.67,2025-05-09 16:08:30
Zyra,1,1,8,4,9,100.0,4.25,8.0,4.0,9.0,2025-05-09 16:08:30
Azir,2,1,11,8,2,50.0,1.62,5.5,4.0,1.0,2025-05-09 16:08:30
Ahri,2,1,11,7,16,50.0,3.86,5.5,3.5,8.0,2025-05-09 16:08:30
Corki,2,2,23,9,18,100.0,4.56,11.5,4.5,9.0,2025-05-09 16:08:30
Lulu,1,1,3,6,9,100.0,2.0,3.0,6.0,9.0,2025-05-09 16:08:30
Udyr,1,0,7,7,5,0.0,1.71,7.0,7.0,5.0,2025-05-09 16:08:30
Viktor,1,0,11,10,11,0.0,2.2,11.0,10.0,11.0,2025-05-09 16:08:30
Akali,2,0,9,18,11,0.0,1.11,4.5,9.0,5.5,2025-05-09 16:08:30
Galio,3,3,64,18,20,100.0,4.67,21.33,6.0,6.67,2025-05-09 16:08:30
Pantheon,1,1,9,6,12,100.0,3.5,9.0,6.0,12.0,2025-05-09 16:08:30
Aurora,4,2,36,17,31,50.0,3.94,9.0,4.25,7.75,2025-05-09 16:08:30
Zed,4,3,39,22,21,75.0,2.73,9.75,5.5,5.25,2025-05-09 16:08:30
Zilean,1,1,13,3,3,100.0,5.33,13.0,3.0,3.0,2025-05-09 16:08:30
Aurelion Sol,1,1,3,1,0,100.0,3.0,3.0,1.0,0.0,2025-05-09 16:08:30
LeBlanc,1,1,7,7,12,100.0,2.71,7.0,7.0,12.0,2025-05-09 16:08:30
Kassadin,1,1,2,2,5,100.0,3.5,2.0,2.0,5.0,2025-05-09 16:08:30
Malphite,1,0,9,7,2,0.0,1.57,9.0,7.0,2.0,2025-05-09 16:08:30
Irelia,1,0,8,1,7,0.0,15.0,8.0,1.0,7.0,2025-05-09 16:08:30
Fizz,1,0,16,6,6,0.0,3.67,16.0,6.0,6.0,2025-05-09 16:08:30
