opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Karma,4,1,9,34,60,25.0,2.03,2.25,8.5,15.0,2025-05-09 16:08:30
Hwei,1,1,1,2,13,100.0,7.0,1.0,2.0,13.0,2025-05-09 16:08:30
Bard,2,1,3,9,14,50.0,1.89,1.5,4.5,7.0,2025-05-09 16:08:30
Alistar,2,0,5,10,37,0.0,4.2,2.5,5.0,18.5,2025-05-09 16:08:30
Nami,4,2,5,22,70,50.0,3.41,1.25,5.5,17.5,2025-05-09 16:08:30
Poppy,4,1,11,24,58,25.0,2.88,2.75,6.0,14.5,2025-05-09 16:08:30
Janna,5,4,6,26,108,80.0,4.38,1.2,5.2,21.6,2025-05-09 16:08:30
Braum,1,1,0,4,13,100.0,3.25,0.0,4.0,13.0,2025-05-09 16:08:30
Zilean,2,0,4,13,25,0.0,2.23,2.0,6.5,12.5,2025-05-09 16:08:30
Seraphine,2,2,5,10,33,100.0,3.8,2.5,5.0,16.5,2025-05-09 16:08:30
Elise,2,1,6,10,33,50.0,3.9,3.0,5.0,16.5,2025-05-09 16:08:30
Zoe,1,1,1,9,23,100.0,2.67,1.0,9.0,23.0,2025-05-09 16:08:30
Rell,2,1,4,17,34,50.0,2.24,2.0,8.5,17.0,2025-05-09 16:08:30
Pantheon,1,0,1,6,1,0.0,0.33,1.0,6.0,1.0,2025-05-09 16:08:30
Neeko,1,0,3,7,21,0.0,3.43,3.0,7.0,21.0,2025-05-09 16:08:30
Thresh,1,1,0,3,19,100.0,6.33,0.0,3.0,19.0,2025-05-09 16:08:30
Senna,1,1,2,6,22,100.0,4.0,2.0,6.0,22.0,2025-05-09 16:08:30
Soraka,1,0,0,8,11,0.0,1.38,0.0,8.0,11.0,2025-05-09 16:08:30
Xerath,1,0,2,6,15,0.0,2.83,2.0,6.0,15.0,2025-05-09 16:08:30
Lux,1,0,1,7,19,0.0,2.86,1.0,7.0,19.0,2025-05-09 16:08:30
Pyke,2,1,3,18,45,50.0,2.67,1.5,9.0,22.5,2025-05-09 16:08:30
Milio,1,1,3,2,21,100.0,12.0,3.0,2.0,21.0,2025-05-09 16:08:30
