opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,2,1,8,6,19,50.0,4.5,4.0,3.0,9.5,2025-05-09 16:08:30
Urgot,1,0,6,3,6,0.0,4.0,6.0,3.0,6.0,2025-05-09 16:08:30
Viego,1,0,0,4,9,0.0,2.25,0.0,4.0,9.0,2025-05-09 16:08:30
Vi,1,0,6,7,22,0.0,4.0,6.0,7.0,22.0,2025-05-09 16:08:30
Zyra,2,2,6,5,29,100.0,7.0,3.0,2.5,14.5,2025-05-09 16:08:30
Kayn,2,1,9,9,27,50.0,4.0,4.5,4.5,13.5,2025-05-09 16:08:30
Darius,2,1,4,12,18,50.0,1.83,2.0,6.0,9.0,2025-05-09 16:08:30
Brand,2,1,11,9,28,50.0,4.33,5.5,4.5,14.0,2025-05-09 16:08:30
Nidalee,1,1,6,2,13,100.0,9.5,6.0,2.0,13.0,2025-05-09 16:08:30
Lee Sin,1,1,8,4,14,100.0,5.5,8.0,4.0,14.0,2025-05-09 16:08:30
Trundle,1,1,4,7,12,100.0,2.29,4.0,7.0,12.0,2025-05-09 16:08:30
Zac,1,0,2,7,12,0.0,2.0,2.0,7.0,12.0,2025-05-09 16:08:30
