opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Draven,1,1,6,5,6,100.0,2.4,6.0,5.0,6.0,2025-05-09 16:08:30
Urgot,6,2,37,27,37,33.33,2.74,6.17,4.5,6.17,2025-05-09 16:08:30
Rumble,2,1,9,8,8,50.0,2.12,4.5,4.0,4.0,2025-05-09 16:08:30
Garen,3,2,16,8,13,66.67,3.62,5.33,2.67,4.33,2025-05-09 16:08:30
Jax,3,1,9,14,17,33.33,1.86,3.0,4.67,5.67,2025-05-09 16:08:30
Aatrox,2,1,14,11,7,50.0,1.91,7.0,5.5,3.5,2025-05-09 16:08:30
Zed,2,1,9,9,12,50.0,2.33,4.5,4.5,6.0,2025-05-09 16:08:30
Poppy,4,2,22,29,19,50.0,1.41,5.5,7.25,4.75,2025-05-09 16:08:30
Galio,1,1,10,7,8,100.0,2.57,10.0,7.0,8.0,2025-05-09 16:08:30
Tryndamere,4,4,23,22,24,100.0,2.14,5.75,5.5,6.0,2025-05-09 16:08:30
Darius,3,0,6,21,8,0.0,0.67,2.0,7.0,2.67,2025-05-09 16:08:30
Katarina,1,1,5,2,1,100.0,3.0,5.0,2.0,1.0,2025-05-09 16:08:30
Vladimir,2,0,10,18,16,0.0,1.44,5.0,9.0,8.0,2025-05-09 16:08:30
Gragas,1,1,9,4,3,100.0,3.0,9.0,4.0,3.0,2025-05-09 16:08:30
Ryze,2,0,2,10,2,0.0,0.4,1.0,5.0,1.0,2025-05-09 16:08:30
Kennen,2,1,12,8,7,50.0,2.38,6.0,4.0,3.5,2025-05-09 16:08:30
Ambessa,3,1,30,24,15,33.33,1.88,10.0,8.0,5.0,2025-05-09 16:08:30
Camille,1,1,13,4,8,100.0,5.25,13.0,4.0,8.0,2025-05-09 16:08:30
Fiora,1,0,1,3,2,0.0,1.0,1.0,3.0,2.0,2025-05-09 16:08:30
Jayce,1,1,15,6,6,100.0,3.5,15.0,6.0,6.0,2025-05-09 16:08:30
Aurora,2,1,8,6,5,50.0,2.17,4.0,3.0,2.5,2025-05-09 16:08:30
Mordekaiser,1,1,4,0,2,100.0,6.0,4.0,0.0,2.0,2025-05-09 16:08:30
Gangplank,1,0,2,9,2,0.0,0.44,2.0,9.0,2.0,2025-05-09 16:08:30
Ekko,1,1,5,1,3,100.0,8.0,5.0,1.0,3.0,2025-05-09 16:08:30
Heimerdinger,1,1,7,4,3,100.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Cassiopeia,1,0,9,4,4,0.0,3.25,9.0,4.0,4.0,2025-05-09 16:08:30
Pantheon,1,1,9,9,9,100.0,2.0,9.0,9.0,9.0,2025-05-09 16:08:30
Akali,2,2,4,8,4,100.0,1.0,2.0,4.0,2.0,2025-05-09 16:08:30
Ahri,1,0,4,9,2,0.0,0.67,4.0,9.0,2.0,2025-05-09 16:08:30
Ornn,2,1,16,18,11,50.0,1.5,8.0,9.0,5.5,2025-05-09 16:08:30
Malphite,1,1,3,2,7,100.0,5.0,3.0,2.0,7.0,2025-05-09 16:08:30
Irelia,1,0,4,4,2,0.0,1.5,4.0,4.0,2.0,2025-05-09 16:08:30
Singed,2,1,1,10,11,50.0,1.2,0.5,5.0,5.5,2025-05-09 16:08:30
