opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Kaisa,2,0,2,6,6,0.0,1.33,1.0,3.0,3.0,2025-05-09 16:08:30
Jayce,1,1,12,7,5,100.0,2.43,12.0,7.0,5.0,2025-05-09 16:08:30
Corki,1,0,2,6,5,0.0,1.17,2.0,6.0,5.0,2025-05-09 16:08:30
Seraphine,2,2,8,7,12,100.0,2.86,4.0,3.5,6.0,2025-05-09 16:08:30
Azir,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Sylas,2,1,10,8,10,50.0,2.5,5.0,4.0,5.0,2025-05-09 16:08:30
Karma,2,1,10,13,21,50.0,2.38,5.0,6.5,10.5,2025-05-09 16:08:30
Ashe,1,1,9,2,10,100.0,9.5,9.0,2.0,10.0,2025-05-09 16:08:30
Katarina,1,0,14,4,8,0.0,5.5,14.0,4.0,8.0,2025-05-09 16:08:30
Chogath,1,1,15,5,11,100.0,5.2,15.0,5.0,11.0,2025-05-09 16:08:30
Zoe,1,0,3,2,0,0.0,1.5,3.0,2.0,0.0,2025-05-09 16:08:30
Caitlyn,1,1,5,4,10,100.0,3.75,5.0,4.0,10.0,2025-05-09 16:08:30
Twisted Fate,1,1,7,2,5,100.0,6.0,7.0,2.0,5.0,2025-05-09 16:08:30
Twitch,1,0,6,5,4,0.0,2.0,6.0,5.0,4.0,2025-05-09 16:08:30
Galio,2,1,6,6,14,50.0,3.33,3.0,3.0,7.0,2025-05-09 16:08:30
Yone,2,0,4,16,9,0.0,0.81,2.0,8.0,4.5,2025-05-09 16:08:30
Viktor,2,2,10,4,13,100.0,5.75,5.0,2.0,6.5,2025-05-09 16:08:30
Ambessa,1,0,15,6,8,0.0,3.83,15.0,6.0,8.0,2025-05-09 16:08:30
Lux,2,2,9,11,8,100.0,1.55,4.5,5.5,4.0,2025-05-09 16:08:30
Lissandra,1,1,5,2,7,100.0,6.0,5.0,2.0,7.0,2025-05-09 16:08:30
Miss Fortune,1,1,5,7,8,100.0,1.86,5.0,7.0,8.0,2025-05-09 16:08:30
Kassadin,2,1,13,8,7,50.0,2.5,6.5,4.0,3.5,2025-05-09 16:08:30
Akali,1,0,5,5,3,0.0,1.6,5.0,5.0,3.0,2025-05-09 16:08:30
Kennen,1,1,9,4,13,100.0,5.5,9.0,4.0,13.0,2025-05-09 16:08:30
Anivia,2,2,11,3,18,100.0,9.67,5.5,1.5,9.0,2025-05-09 16:08:30
Sivir,1,0,0,2,2,0.0,1.0,0.0,2.0,2.0,2025-05-09 16:08:30
Ahri,1,1,2,3,9,100.0,3.67,2.0,3.0,9.0,2025-05-09 16:08:30
Zilean,1,1,13,2,6,100.0,9.5,13.0,2.0,6.0,2025-05-09 16:08:30
Samira,1,1,6,7,14,100.0,2.86,6.0,7.0,14.0,2025-05-09 16:08:30
Syndra,4,3,27,18,26,75.0,2.94,6.75,4.5,6.5,2025-05-09 16:08:30
Ryze,1,1,6,1,7,100.0,13.0,6.0,1.0,7.0,2025-05-09 16:08:30
Orianna,1,1,4,2,5,100.0,4.5,4.0,2.0,5.0,2025-05-09 16:08:30
Mel,1,0,6,9,4,0.0,1.11,6.0,9.0,4.0,2025-05-09 16:08:30
Aurora,1,1,14,8,8,100.0,2.75,14.0,8.0,8.0,2025-05-09 16:08:30
Vex,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
