opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,3,1,19,15,32,33.33,3.4,6.33,5.0,10.67,2025-05-09 16:08:30
Qiyana,3,2,14,6,18,66.67,5.33,4.67,2.0,6.0,2025-05-09 16:08:30
Viego,7,2,23,29,40,28.57,2.17,3.29,4.14,5.71,2025-05-09 16:08:30
Darius,7,2,29,22,42,28.57,3.23,4.14,3.14,6.0,2025-05-09 16:08:30
Ekko,2,2,12,11,36,100.0,4.36,6.0,5.5,18.0,2025-05-09 16:08:30
Zac,1,0,11,5,6,0.0,3.4,11.0,5.0,6.0,2025-05-09 16:08:30
Master Yi,2,1,13,7,20,50.0,4.71,6.5,3.5,10.0,2025-05-09 16:08:30
Graves,4,1,18,20,25,25.0,2.15,4.5,5.0,6.25,2025-05-09 16:08:30
Vi,3,0,10,17,20,0.0,1.76,3.33,5.67,6.67,2025-05-09 16:08:30
Nocturne,1,1,5,1,2,100.0,7.0,5.0,1.0,2.0,2025-05-09 16:08:30
Xin Zhao,1,1,8,5,11,100.0,3.8,8.0,5.0,11.0,2025-05-09 16:08:30
Nidalee,2,2,21,2,26,100.0,23.5,10.5,1.0,13.0,2025-05-09 16:08:30
Sett,1,0,0,4,0,0.0,0.0,0.0,4.0,0.0,2025-05-09 16:08:30
Rumble,1,1,4,3,8,100.0,4.0,4.0,3.0,8.0,2025-05-09 16:08:30
Pantheon,2,1,12,6,15,50.0,4.5,6.0,3.0,7.5,2025-05-09 16:08:30
Kayn,5,2,26,29,41,40.0,2.31,5.2,5.8,8.2,2025-05-09 16:08:30
Karthus,1,1,5,4,11,100.0,4.0,5.0,4.0,11.0,2025-05-09 16:08:30
Jax,3,2,17,13,14,66.67,2.38,5.67,4.33,4.67,2025-05-09 16:08:30
Ornn,2,1,6,14,4,50.0,0.71,3.0,7.0,2.0,2025-05-09 16:08:30
Shaco,1,0,5,8,13,0.0,2.25,5.0,8.0,13.0,2025-05-09 16:08:30
Hecarim,1,0,5,7,3,0.0,1.14,5.0,7.0,3.0,2025-05-09 16:08:30
Ambessa,6,5,36,16,31,83.33,4.19,6.0,2.67,5.17,2025-05-09 16:08:30
Lillia,1,0,5,5,4,0.0,1.8,5.0,5.0,4.0,2025-05-09 16:08:30
Dr. Mundo,1,0,6,7,6,0.0,1.71,6.0,7.0,6.0,2025-05-09 16:08:30
Lee Sin,4,2,18,24,36,50.0,2.25,4.5,6.0,9.0,2025-05-09 16:08:30
Tryndamere,2,1,10,17,14,50.0,1.41,5.0,8.5,7.0,2025-05-09 16:08:30
Fiora,2,0,10,15,8,0.0,1.2,5.0,7.5,4.0,2025-05-09 16:08:30
Garen,2,2,10,14,13,100.0,1.64,5.0,7.0,6.5,2025-05-09 16:08:30
Talon,2,1,4,11,12,50.0,1.45,2.0,5.5,6.0,2025-05-09 16:08:30
Gnar,2,1,19,14,10,50.0,2.07,9.5,7.0,5.0,2025-05-09 16:08:30
Udyr,1,0,0,4,1,0.0,0.25,0.0,4.0,1.0,2025-05-09 16:08:30
Chogath,1,0,3,8,11,0.0,1.75,3.0,8.0,11.0,2025-05-09 16:08:30
Urgot,1,0,1,4,1,0.0,0.5,1.0,4.0,1.0,2025-05-09 16:08:30
KhaZix,2,0,22,14,12,0.0,2.43,11.0,7.0,6.0,2025-05-09 16:08:30
Yone,1,1,5,3,0,100.0,1.67,5.0,3.0,0.0,2025-05-09 16:08:30
Warwick,1,1,3,3,15,100.0,6.0,3.0,3.0,15.0,2025-05-09 16:08:30
Irelia,1,1,2,8,12,100.0,1.75,2.0,8.0,12.0,2025-05-09 16:08:30
Yorick,1,0,3,5,13,0.0,3.2,3.0,5.0,13.0,2025-05-09 16:08:30
Diana,1,0,2,1,0,0.0,2.0,2.0,1.0,0.0,2025-05-09 16:08:30
Nasus,1,1,2,4,0,100.0,0.5,2.0,4.0,0.0,2025-05-09 16:08:30
Singed,1,0,19,9,7,0.0,2.89,19.0,9.0,7.0,2025-05-09 16:08:30
Gragas,1,1,4,8,13,100.0,2.12,4.0,8.0,13.0,2025-05-09 16:08:30
