opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Chogath,3,2,21,29,40,66.67,2.1,7.0,9.67,13.33,2025-05-09 16:08:30
Syndra,3,2,17,19,12,66.67,1.53,5.67,6.33,4.0,2025-05-09 16:08:30
Akali,3,2,8,18,15,66.67,1.28,2.67,6.0,5.0,2025-05-09 16:08:30
Yone,2,1,12,12,8,50.0,1.67,6.0,6.0,4.0,2025-05-09 16:08:30
Tristana,2,1,7,9,15,50.0,2.44,3.5,4.5,7.5,2025-05-09 16:08:30
Ambessa,1,1,4,5,10,100.0,2.8,4.0,5.0,10.0,2025-05-09 16:08:30
Kayle,1,1,4,0,5,100.0,9.0,4.0,0.0,5.0,2025-05-09 16:08:30
Aurora,1,1,10,2,11,100.0,10.5,10.0,2.0,11.0,2025-05-09 16:08:30
Galio,1,1,1,1,12,100.0,13.0,1.0,1.0,12.0,2025-05-09 16:08:30
KSante,1,0,5,3,4,0.0,3.0,5.0,3.0,4.0,2025-05-09 16:08:30
Sett,1,1,5,4,10,100.0,3.75,5.0,4.0,10.0,2025-05-09 16:08:30
Ryze,2,1,5,13,6,50.0,0.85,2.5,6.5,3.0,2025-05-09 16:08:30
Zed,3,0,16,23,17,0.0,1.43,5.33,7.67,5.67,2025-05-09 16:08:30
Taliyah,1,0,2,0,1,0.0,3.0,2.0,0.0,1.0,2025-05-09 16:08:30
Zoe,1,1,1,5,5,100.0,1.2,1.0,5.0,5.0,2025-05-09 16:08:30
Jayce,1,0,2,8,5,0.0,0.88,2.0,8.0,5.0,2025-05-09 16:08:30
Darius,1,0,3,6,3,0.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Garen,1,1,4,7,14,100.0,2.57,4.0,7.0,14.0,2025-05-09 16:08:30
Mel,1,0,9,5,3,0.0,2.4,9.0,5.0,3.0,2025-05-09 16:08:30
Corki,1,0,3,7,7,0.0,1.43,3.0,7.0,7.0,2025-05-09 16:08:30
Varus,1,0,15,9,3,0.0,2.0,15.0,9.0,3.0,2025-05-09 16:08:30
Ahri,2,0,8,6,8,0.0,2.67,4.0,3.0,4.0,2025-05-09 16:08:30
Aurelion Sol,1,0,3,5,2,0.0,1.0,3.0,5.0,2.0,2025-05-09 16:08:30
Sylas,4,4,20,12,22,100.0,3.5,5.0,3.0,5.5,2025-05-09 16:08:30
Quinn,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Shen,1,1,5,1,0,100.0,5.0,5.0,1.0,0.0,2025-05-09 16:08:30
Urgot,2,2,6,6,14,100.0,3.33,3.0,3.0,7.0,2025-05-09 16:08:30
Pyke,1,1,14,4,8,100.0,5.5,14.0,4.0,8.0,2025-05-09 16:08:30
Kalista,1,0,3,5,4,0.0,1.4,3.0,5.0,4.0,2025-05-09 16:08:30
Annie,1,0,5,8,6,0.0,1.38,5.0,8.0,6.0,2025-05-09 16:08:30
Jinx,1,0,2,7,3,0.0,0.71,2.0,7.0,3.0,2025-05-09 16:08:30
Irelia,1,1,3,6,8,100.0,1.83,3.0,6.0,8.0,2025-05-09 16:08:30
Olaf,1,0,6,9,3,0.0,1.0,6.0,9.0,3.0,2025-05-09 16:08:30
Azir,3,0,14,13,9,0.0,1.77,4.67,4.33,3.0,2025-05-09 16:08:30
Fizz,1,1,7,7,8,100.0,2.14,7.0,7.0,8.0,2025-05-09 16:08:30
Swain,1,0,6,7,1,0.0,1.0,6.0,7.0,1.0,2025-05-09 16:08:30
Wukong,1,1,11,5,9,100.0,4.0,11.0,5.0,9.0,2025-05-09 16:08:30
Orianna,1,1,12,1,10,100.0,22.0,12.0,1.0,10.0,2025-05-09 16:08:30
Katarina,2,1,17,14,6,50.0,1.64,8.5,7.0,3.0,2025-05-09 16:08:30
Ekko,2,0,9,16,7,0.0,1.0,4.5,8.0,3.5,2025-05-09 16:08:30
Sion,1,1,3,6,6,100.0,1.5,3.0,6.0,6.0,2025-05-09 16:08:30
Lucian,1,1,5,4,7,100.0,3.0,5.0,4.0,7.0,2025-05-09 16:08:30
Lux,1,1,5,6,4,100.0,1.5,5.0,6.0,4.0,2025-05-09 16:08:30
