opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ryze,4,2,38,24,22,50.0,2.5,9.5,6.0,5.5,2025-05-09 16:08:30
Ambessa,3,0,10,26,11,0.0,0.81,3.33,8.67,3.67,2025-05-09 16:08:30
Hwei,1,0,1,4,5,0.0,1.5,1.0,4.0,5.0,2025-05-09 16:08:30
Yasuo,2,1,9,11,6,50.0,1.36,4.5,5.5,3.0,2025-05-09 16:08:30
Swain,1,0,4,7,3,0.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Neeko,1,1,2,0,2,100.0,4.0,2.0,0.0,2.0,2025-05-09 16:08:30
Irelia,1,0,6,4,5,0.0,2.75,6.0,4.0,5.0,2025-05-09 16:08:30
Camille,2,1,8,17,9,50.0,1.0,4.0,8.5,4.5,2025-05-09 16:08:30
Renekton,3,1,15,23,16,33.33,1.35,5.0,7.67,5.33,2025-05-09 16:08:30
Akali,4,2,20,33,31,50.0,1.55,5.0,8.25,7.75,2025-05-09 16:08:30
Chogath,3,1,10,17,16,33.33,1.53,3.33,5.67,5.33,2025-05-09 16:08:30
Nocturne,1,1,5,2,2,100.0,3.5,5.0,2.0,2.0,2025-05-09 16:08:30
Garen,2,1,6,10,6,50.0,1.2,3.0,5.0,3.0,2025-05-09 16:08:30
Viktor,3,1,13,12,24,33.33,3.08,4.33,4.0,8.0,2025-05-09 16:08:30
Zilean,1,1,3,8,10,100.0,1.62,3.0,8.0,10.0,2025-05-09 16:08:30
Azir,4,3,20,13,24,75.0,3.38,5.0,3.25,6.0,2025-05-09 16:08:30
Zyra,1,0,3,5,6,0.0,1.8,3.0,5.0,6.0,2025-05-09 16:08:30
Orianna,3,1,16,17,14,33.33,1.76,5.33,5.67,4.67,2025-05-09 16:08:30
Galio,3,2,24,13,13,66.67,2.85,8.0,4.33,4.33,2025-05-09 16:08:30
Sion,1,0,1,6,2,0.0,0.5,1.0,6.0,2.0,2025-05-09 16:08:30
Quinn,3,1,11,9,8,33.33,2.11,3.67,3.0,2.67,2025-05-09 16:08:30
Jayce,2,2,8,13,7,100.0,1.15,4.0,6.5,3.5,2025-05-09 16:08:30
Aurora,3,2,21,16,12,66.67,2.06,7.0,5.33,4.0,2025-05-09 16:08:30
Sylas,4,2,31,26,31,50.0,2.38,7.75,6.5,7.75,2025-05-09 16:08:30
Veigar,2,2,21,5,15,100.0,7.2,10.5,2.5,7.5,2025-05-09 16:08:30
Poppy,2,1,9,14,18,50.0,1.93,4.5,7.0,9.0,2025-05-09 16:08:30
Zoe,4,3,26,18,32,75.0,3.22,6.5,4.5,8.0,2025-05-09 16:08:30
Tryndamere,1,0,8,11,7,0.0,1.36,8.0,11.0,7.0,2025-05-09 16:08:30
Reksai,1,0,3,6,4,0.0,1.17,3.0,6.0,4.0,2025-05-09 16:08:30
Ezreal,1,1,13,1,8,100.0,21.0,13.0,1.0,8.0,2025-05-09 16:08:30
Amumu,1,1,9,0,4,100.0,13.0,9.0,0.0,4.0,2025-05-09 16:08:30
Viego,1,1,2,2,5,100.0,3.5,2.0,2.0,5.0,2025-05-09 16:08:30
Rumble,1,0,9,7,8,0.0,2.43,9.0,7.0,8.0,2025-05-09 16:08:30
Syndra,2,1,11,12,15,50.0,2.17,5.5,6.0,7.5,2025-05-09 16:08:30
Taliyah,3,2,17,12,15,66.67,2.67,5.67,4.0,5.0,2025-05-09 16:08:30
Darius,1,0,5,6,3,0.0,1.33,5.0,6.0,3.0,2025-05-09 16:08:30
Tristana,1,1,1,4,6,100.0,1.75,1.0,4.0,6.0,2025-05-09 16:08:30
Karma,1,0,3,7,5,0.0,1.14,3.0,7.0,5.0,2025-05-09 16:08:30
Annie,1,0,4,10,3,0.0,0.7,4.0,10.0,3.0,2025-05-09 16:08:30
