opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Seraphine,1,0,1,3,3,0.0,1.33,1.0,3.0,3.0,2025-05-09 16:08:30
Leona,1,0,0,6,10,0.0,1.67,0.0,6.0,10.0,2025-05-09 16:08:30
Zyra,1,1,2,2,16,100.0,9.0,2.0,2.0,16.0,2025-05-09 16:08:30
Nunu & Willump,2,0,2,12,13,0.0,1.25,1.0,6.0,6.5,2025-05-09 16:08:30
Thresh,1,0,1,8,14,0.0,1.88,1.0,8.0,14.0,2025-05-09 16:08:30
Nautilus,2,1,0,9,35,50.0,3.89,0.0,4.5,17.5,2025-05-09 16:08:30
Janna,1,0,0,6,16,0.0,2.67,0.0,6.0,16.0,2025-05-09 16:08:30
Karma,4,4,11,7,65,100.0,10.86,2.75,1.75,16.25,2025-05-09 16:08:30
Alistar,1,1,1,3,16,100.0,5.67,1.0,3.0,16.0,2025-05-09 16:08:30
Sona,1,1,2,6,9,100.0,1.83,2.0,6.0,9.0,2025-05-09 16:08:30
Nami,1,0,1,5,12,0.0,2.6,1.0,5.0,12.0,2025-05-09 16:08:30
VelKoz,1,1,2,2,11,100.0,6.5,2.0,2.0,11.0,2025-05-09 16:08:30
Neeko,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Lulu,1,0,0,2,2,0.0,1.0,0.0,2.0,2.0,2025-05-09 16:08:30
