opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Fiddlesticks,2,0,8,12,16,0.0,2.0,4.0,6.0,8.0,2025-05-09 16:08:30
Syndra,2,0,9,11,12,0.0,1.91,4.5,5.5,6.0,2025-05-09 16:08:30
Taliyah,1,0,5,9,5,0.0,1.11,5.0,9.0,5.0,2025-05-09 16:08:30
Jayce,4,2,24,16,26,50.0,3.12,6.0,4.0,6.5,2025-05-09 16:08:30
Sylas,4,1,28,15,30,25.0,3.87,7.0,3.75,7.5,2025-05-09 16:08:30
Veigar,1,1,1,0,5,100.0,6.0,1.0,0.0,5.0,2025-05-09 16:08:30
Aurora,1,1,14,7,6,100.0,2.86,14.0,7.0,6.0,2025-05-09 16:08:30
Annie,1,1,5,1,0,100.0,5.0,5.0,1.0,0.0,2025-05-09 16:08:30
Galio,1,1,4,1,8,100.0,12.0,4.0,1.0,8.0,2025-05-09 16:08:30
Corki,3,2,14,17,14,66.67,1.65,4.67,5.67,4.67,2025-05-09 16:08:30
Akshan,1,0,7,5,9,0.0,3.2,7.0,5.0,9.0,2025-05-09 16:08:30
Vladimir,2,2,10,1,6,100.0,16.0,5.0,0.5,3.0,2025-05-09 16:08:30
Zilean,2,0,12,9,13,0.0,2.78,6.0,4.5,6.5,2025-05-09 16:08:30
Viktor,1,1,10,1,7,100.0,17.0,10.0,1.0,7.0,2025-05-09 16:08:30
Kassadin,1,1,2,0,3,100.0,5.0,2.0,0.0,3.0,2025-05-09 16:08:30
Yone,4,1,28,19,18,25.0,2.42,7.0,4.75,4.5,2025-05-09 16:08:30
Tristana,1,1,4,2,5,100.0,4.5,4.0,2.0,5.0,2025-05-09 16:08:30
Yasuo,1,0,11,2,5,0.0,8.0,11.0,2.0,5.0,2025-05-09 16:08:30
Akali,2,1,18,8,14,50.0,4.0,9.0,4.0,7.0,2025-05-09 16:08:30
Nautilus,1,0,3,5,4,0.0,1.4,3.0,5.0,4.0,2025-05-09 16:08:30
Nami,1,1,2,2,4,100.0,3.0,2.0,2.0,4.0,2025-05-09 16:08:30
Seraphine,1,1,3,1,14,100.0,17.0,3.0,1.0,14.0,2025-05-09 16:08:30
Garen,1,1,3,0,3,100.0,6.0,3.0,0.0,3.0,2025-05-09 16:08:30
Karma,1,1,3,2,3,100.0,3.0,3.0,2.0,3.0,2025-05-09 16:08:30
Bard,1,0,5,8,7,0.0,1.5,5.0,8.0,7.0,2025-05-09 16:08:30
Rakan,1,0,3,5,23,0.0,5.2,3.0,5.0,23.0,2025-05-09 16:08:30
Leona,1,1,6,8,16,100.0,2.75,6.0,8.0,16.0,2025-05-09 16:08:30
Lulu,1,1,8,8,20,100.0,3.5,8.0,8.0,20.0,2025-05-09 16:08:30
Talon,1,0,3,5,3,0.0,1.2,3.0,5.0,3.0,2025-05-09 16:08:30
Hwei,1,1,12,4,14,100.0,6.5,12.0,4.0,14.0,2025-05-09 16:08:30
Jinx,1,0,9,8,12,0.0,2.62,9.0,8.0,12.0,2025-05-09 16:08:30
