opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Corki,3,2,24,6,9,66.67,5.5,8.0,2.0,3.0,2025-05-09 16:08:30
Tristana,4,2,29,27,18,50.0,1.74,7.25,6.75,4.5,2025-05-09 16:08:30
Taliyah,2,1,16,14,21,50.0,2.64,8.0,7.0,10.5,2025-05-09 16:08:30
Qiyana,2,0,10,5,5,0.0,3.0,5.0,2.5,2.5,2025-05-09 16:08:30
Akali,4,2,22,21,23,50.0,2.14,5.5,5.25,5.75,2025-05-09 16:08:30
Neeko,1,1,21,6,10,100.0,5.17,21.0,6.0,10.0,2025-05-09 16:08:30
Syndra,2,1,10,8,7,50.0,2.12,5.0,4.0,3.5,2025-05-09 16:08:30
Ahri,3,1,13,12,8,33.33,1.75,4.33,4.0,2.67,2025-05-09 16:08:30
Chogath,1,0,24,11,11,0.0,3.18,24.0,11.0,11.0,2025-05-09 16:08:30
Mel,1,0,6,15,8,0.0,0.93,6.0,15.0,8.0,2025-05-09 16:08:30
Jayce,1,1,10,4,9,100.0,4.75,10.0,4.0,9.0,2025-05-09 16:08:30
Vex,1,0,9,6,3,0.0,2.0,9.0,6.0,3.0,2025-05-09 16:08:30
Ryze,2,0,19,10,6,0.0,2.5,9.5,5.0,3.0,2025-05-09 16:08:30
Azir,2,1,12,10,11,50.0,2.3,6.0,5.0,5.5,2025-05-09 16:08:30
Zed,3,2,22,16,18,66.67,2.5,7.33,5.33,6.0,2025-05-09 16:08:30
Lucian,1,1,17,2,3,100.0,10.0,17.0,2.0,3.0,2025-05-09 16:08:30
Galio,1,1,11,3,1,100.0,4.0,11.0,3.0,1.0,2025-05-09 16:08:30
Jhin,1,1,7,4,6,100.0,3.25,7.0,4.0,6.0,2025-05-09 16:08:30
Kennen,1,1,9,4,2,100.0,2.75,9.0,4.0,2.0,2025-05-09 16:08:30
Ezreal,1,1,9,3,3,100.0,4.0,9.0,3.0,3.0,2025-05-09 16:08:30
Aurelion Sol,2,0,26,16,12,0.0,2.38,13.0,8.0,6.0,2025-05-09 16:08:30
Gnar,1,0,8,5,6,0.0,2.8,8.0,5.0,6.0,2025-05-09 16:08:30
Orianna,3,2,40,19,19,66.67,3.11,13.33,6.33,6.33,2025-05-09 16:08:30
Katarina,1,1,16,5,2,100.0,3.6,16.0,5.0,2.0,2025-05-09 16:08:30
Kassadin,1,0,9,5,5,0.0,2.8,9.0,5.0,5.0,2025-05-09 16:08:30
Gwen,1,0,5,11,2,0.0,0.64,5.0,11.0,2.0,2025-05-09 16:08:30
Vladimir,1,1,11,7,3,100.0,2.0,11.0,7.0,3.0,2025-05-09 16:08:30
Zoe,1,0,11,6,16,0.0,4.5,11.0,6.0,16.0,2025-05-09 16:08:30
Gangplank,1,1,7,6,7,100.0,2.33,7.0,6.0,7.0,2025-05-09 16:08:30
