opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gangplank,4,3,9,15,45,75.0,3.6,2.25,3.75,11.25,2025-05-09 16:08:30
Ambessa,4,2,11,14,27,50.0,2.71,2.75,3.5,6.75,2025-05-09 16:08:30
Yasuo,3,1,16,15,18,33.33,2.27,5.33,5.0,6.0,2025-05-09 16:08:30
Camille,1,1,0,5,8,100.0,1.6,0.0,5.0,8.0,2025-05-09 16:08:30
Tryndamere,2,2,10,3,24,100.0,11.33,5.0,1.5,12.0,2025-05-09 16:08:30
Poppy,1,1,2,1,5,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Irelia,1,0,6,4,2,0.0,2.0,6.0,4.0,2.0,2025-05-09 16:08:30
Sion,2,2,0,0,4,100.0,4.0,0.0,0.0,2.0,2025-05-09 16:08:30
Akali,1,1,4,4,12,100.0,4.0,4.0,4.0,12.0,2025-05-09 16:08:30
Warwick,1,1,6,4,14,100.0,5.0,6.0,4.0,14.0,2025-05-09 16:08:30
Karma,1,1,6,3,16,100.0,7.33,6.0,3.0,16.0,2025-05-09 16:08:30
Gnar,2,1,11,10,17,50.0,2.8,5.5,5.0,8.5,2025-05-09 16:08:30
Ekko,1,1,7,0,6,100.0,13.0,7.0,0.0,6.0,2025-05-09 16:08:30
Nami,3,2,3,10,26,66.67,2.9,1.0,3.33,8.67,2025-05-09 16:08:30
Vex,1,0,1,3,0,0.0,0.33,1.0,3.0,0.0,2025-05-09 16:08:30
Aurelion Sol,4,1,11,15,21,25.0,2.13,2.75,3.75,5.25,2025-05-09 16:08:30
Viktor,1,0,3,4,8,0.0,2.75,3.0,4.0,8.0,2025-05-09 16:08:30
Smolder,1,1,7,7,17,100.0,3.43,7.0,7.0,17.0,2025-05-09 16:08:30
Bard,1,0,0,10,8,0.0,0.8,0.0,10.0,8.0,2025-05-09 16:08:30
Katarina,2,0,19,14,18,0.0,2.64,9.5,7.0,9.0,2025-05-09 16:08:30
Galio,2,2,6,7,4,100.0,1.43,3.0,3.5,2.0,2025-05-09 16:08:30
Azir,1,1,6,6,6,100.0,2.0,6.0,6.0,6.0,2025-05-09 16:08:30
Orianna,2,0,4,7,8,0.0,1.71,2.0,3.5,4.0,2025-05-09 16:08:30
Sylas,2,1,10,8,15,50.0,3.12,5.0,4.0,7.5,2025-05-09 16:08:30
Riven,1,1,7,4,7,100.0,3.5,7.0,4.0,7.0,2025-05-09 16:08:30
Kled,2,2,13,9,27,100.0,4.44,6.5,4.5,13.5,2025-05-09 16:08:30
Chogath,1,0,1,4,0,0.0,0.25,1.0,4.0,0.0,2025-05-09 16:08:30
Neeko,1,0,0,6,0,0.0,0.0,0.0,6.0,0.0,2025-05-09 16:08:30
Corki,1,1,11,9,21,100.0,3.56,11.0,9.0,21.0,2025-05-09 16:08:30
Syndra,1,0,2,8,12,0.0,1.75,2.0,8.0,12.0,2025-05-09 16:08:30
