opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nautilus,19,10,26,110,290,52.63,2.87,1.37,5.79,15.26,2025-05-09 16:08:30
Zilean,2,0,2,10,32,0.0,3.4,1.0,5.0,16.0,2025-05-09 16:08:30
Rell,9,6,16,39,153,66.67,4.33,1.78,4.33,17.0,2025-05-09 16:08:30
Sona,2,0,10,9,27,0.0,4.11,5.0,4.5,13.5,2025-05-09 16:08:30
Pyke,2,0,1,9,13,0.0,1.56,0.5,4.5,6.5,2025-05-09 16:08:30
Blitzcrank,1,1,0,0,12,100.0,12.0,0.0,0.0,12.0,2025-05-09 16:08:30
Sett,1,1,2,3,25,100.0,9.0,2.0,3.0,25.0,2025-05-09 16:08:30
Lulu,6,4,8,36,94,66.67,2.83,1.33,6.0,15.67,2025-05-09 16:08:30
Senna,3,1,3,24,51,33.33,2.25,1.0,8.0,17.0,2025-05-09 16:08:30
Thresh,4,3,4,20,67,75.0,3.55,1.0,5.0,16.75,2025-05-09 16:08:30
Leona,6,4,9,44,123,66.67,3.0,1.5,7.33,20.5,2025-05-09 16:08:30
Nami,5,1,1,24,46,20.0,1.96,0.2,4.8,9.2,2025-05-09 16:08:30
Karma,6,3,2,20,66,50.0,3.4,0.33,3.33,11.0,2025-05-09 16:08:30
Janna,1,1,1,4,17,100.0,4.5,1.0,4.0,17.0,2025-05-09 16:08:30
Jarvan Iv,1,0,1,5,7,0.0,1.6,1.0,5.0,7.0,2025-05-09 16:08:30
Lux,1,1,0,4,12,100.0,3.0,0.0,4.0,12.0,2025-05-09 16:08:30
Bard,2,2,3,7,34,100.0,5.29,1.5,3.5,17.0,2025-05-09 16:08:30
Alistar,3,1,1,13,48,33.33,3.77,0.33,4.33,16.0,2025-05-09 16:08:30
Poppy,3,2,4,9,49,66.67,5.89,1.33,3.0,16.33,2025-05-09 16:08:30
Milio,2,2,2,2,13,100.0,7.5,1.0,1.0,6.5,2025-05-09 16:08:30
Orianna,1,0,2,4,20,0.0,5.5,2.0,4.0,20.0,2025-05-09 16:08:30
Shen,1,0,2,8,24,0.0,3.25,2.0,8.0,24.0,2025-05-09 16:08:30
Elise,1,1,2,2,23,100.0,12.5,2.0,2.0,23.0,2025-05-09 16:08:30
Swain,1,1,4,3,20,100.0,8.0,4.0,3.0,20.0,2025-05-09 16:08:30
Twisted Fate,1,1,1,6,16,100.0,2.83,1.0,6.0,16.0,2025-05-09 16:08:30
Yuumi,1,1,1,0,22,100.0,23.0,1.0,0.0,22.0,2025-05-09 16:08:30
Rakan,1,1,2,3,10,100.0,4.0,2.0,3.0,10.0,2025-05-09 16:08:30
Pantheon,5,1,5,37,85,20.0,2.43,1.0,7.4,17.0,2025-05-09 16:08:30
Soraka,1,0,2,7,10,0.0,1.71,2.0,7.0,10.0,2025-05-09 16:08:30
Maokai,1,0,2,4,15,0.0,4.25,2.0,4.0,15.0,2025-05-09 16:08:30
Seraphine,1,1,1,2,14,100.0,7.5,1.0,2.0,14.0,2025-05-09 16:08:30
