opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Aurora,3,2,12,30,31,66.67,1.43,4.0,10.0,10.33,2025-05-09 16:08:30
Sylas,2,0,8,19,15,0.0,1.21,4.0,9.5,7.5,2025-05-09 16:08:30
Gwen,1,0,7,12,6,0.0,1.08,7.0,12.0,6.0,2025-05-09 16:08:30
Miss Fortune,2,0,9,15,9,0.0,1.2,4.5,7.5,4.5,2025-05-09 16:08:30
Taliyah,1,1,5,4,8,100.0,3.25,5.0,4.0,8.0,2025-05-09 16:08:30
Nami,1,0,6,14,7,0.0,0.93,6.0,14.0,7.0,2025-05-09 16:08:30
Smolder,1,1,4,5,6,100.0,2.0,4.0,5.0,6.0,2025-05-09 16:08:30
LeBlanc,1,0,8,7,13,0.0,3.0,8.0,7.0,13.0,2025-05-09 16:08:30
Hwei,1,1,4,14,4,100.0,0.57,4.0,14.0,4.0,2025-05-09 16:08:30
Jayce,1,1,10,6,7,100.0,2.83,10.0,6.0,7.0,2025-05-09 16:08:30
Azir,2,0,5,15,6,0.0,0.73,2.5,7.5,3.0,2025-05-09 16:08:30
Ryze,2,1,17,17,14,50.0,1.82,8.5,8.5,7.0,2025-05-09 16:08:30
Kalista,2,2,17,11,22,100.0,3.55,8.5,5.5,11.0,2025-05-09 16:08:30
Varus,1,0,5,8,7,0.0,1.5,5.0,8.0,7.0,2025-05-09 16:08:30
Ezreal,1,0,9,3,6,0.0,5.0,9.0,3.0,6.0,2025-05-09 16:08:30
Kaisa,1,1,5,4,6,100.0,2.75,5.0,4.0,6.0,2025-05-09 16:08:30
Corki,1,0,9,15,2,0.0,0.73,9.0,15.0,2.0,2025-05-09 16:08:30
Neeko,1,0,0,5,1,0.0,0.2,0.0,5.0,1.0,2025-05-09 16:08:30
Chogath,2,1,5,13,10,50.0,1.15,2.5,6.5,5.0,2025-05-09 16:08:30
Gragas,1,1,6,2,11,100.0,8.5,6.0,2.0,11.0,2025-05-09 16:08:30
Zed,1,1,10,6,5,100.0,2.5,10.0,6.0,5.0,2025-05-09 16:08:30
Irelia,1,0,10,9,13,0.0,2.56,10.0,9.0,13.0,2025-05-09 16:08:30
Galio,1,0,7,10,14,0.0,2.1,7.0,10.0,14.0,2025-05-09 16:08:30
Viktor,1,0,2,7,3,0.0,0.71,2.0,7.0,3.0,2025-05-09 16:08:30
