opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zed,7,2,43,48,42,28.57,1.77,6.14,6.86,6.0,2025-05-09 16:08:30
Jhin,11,5,102,83,98,45.45,2.41,9.27,7.55,8.91,2025-05-09 16:08:30
Akshan,3,1,7,6,11,33.33,3.0,2.33,2.0,3.67,2025-05-09 16:08:30
Sylas,7,1,28,50,31,14.29,1.18,4.0,7.14,4.43,2025-05-09 16:08:30
Malphite,2,0,32,16,10,0.0,2.62,16.0,8.0,5.0,2025-05-09 16:08:30
Jax,2,1,9,7,8,50.0,2.43,4.5,3.5,4.0,2025-05-09 16:08:30
Gwen,1,1,5,6,7,100.0,2.0,5.0,6.0,7.0,2025-05-09 16:08:30
Hwei,1,0,6,7,7,0.0,1.86,6.0,7.0,7.0,2025-05-09 16:08:30
Lucian,14,8,64,74,86,57.14,2.03,4.57,5.29,6.14,2025-05-09 16:08:30
Ashe,7,4,38,29,36,57.14,2.55,5.43,4.14,5.14,2025-05-09 16:08:30
Tristana,17,11,121,95,135,64.71,2.69,7.12,5.59,7.94,2025-05-09 16:08:30
Smolder,8,3,43,63,49,37.5,1.46,5.38,7.88,6.12,2025-05-09 16:08:30
Neeko,1,1,10,4,10,100.0,5.0,10.0,4.0,10.0,2025-05-09 16:08:30
Syndra,3,3,22,9,28,100.0,5.56,7.33,3.0,9.33,2025-05-09 16:08:30
Ezreal,9,4,48,52,82,44.44,2.5,5.33,5.78,9.11,2025-05-09 16:08:30
Miss Fortune,3,1,27,19,34,33.33,3.21,9.0,6.33,11.33,2025-05-09 16:08:30
Azir,4,0,25,31,12,0.0,1.19,6.25,7.75,3.0,2025-05-09 16:08:30
Kaisa,16,12,117,102,116,75.0,2.28,7.31,6.38,7.25,2025-05-09 16:08:30
Lux,3,2,16,16,17,66.67,2.06,5.33,5.33,5.67,2025-05-09 16:08:30
Ahri,4,3,22,15,24,75.0,3.07,5.5,3.75,6.0,2025-05-09 16:08:30
Jayce,3,1,20,19,5,33.33,1.32,6.67,6.33,1.67,2025-05-09 16:08:30
Yone,4,2,36,17,22,50.0,3.41,9.0,4.25,5.5,2025-05-09 16:08:30
Chogath,1,1,14,6,5,100.0,3.17,14.0,6.0,5.0,2025-05-09 16:08:30
Zeri,5,2,44,36,31,40.0,2.08,8.8,7.2,6.2,2025-05-09 16:08:30
Galio,3,1,16,15,7,33.33,1.53,5.33,5.0,2.33,2025-05-09 16:08:30
Qiyana,1,0,3,9,4,0.0,0.78,3.0,9.0,4.0,2025-05-09 16:08:30
Twisted Fate,2,1,17,12,10,50.0,2.25,8.5,6.0,5.0,2025-05-09 16:08:30
Ryze,2,1,19,13,12,50.0,2.38,9.5,6.5,6.0,2025-05-09 16:08:30
Taliyah,5,1,14,30,32,20.0,1.53,2.8,6.0,6.4,2025-05-09 16:08:30
Warwick,1,1,11,5,6,100.0,3.4,11.0,5.0,6.0,2025-05-09 16:08:30
Diana,1,1,13,1,4,100.0,17.0,13.0,1.0,4.0,2025-05-09 16:08:30
Naafiri,2,1,17,9,10,50.0,3.0,8.5,4.5,5.0,2025-05-09 16:08:30
Veigar,2,1,6,11,7,50.0,1.18,3.0,5.5,3.5,2025-05-09 16:08:30
Talon,2,1,19,14,11,50.0,2.14,9.5,7.0,5.5,2025-05-09 16:08:30
Kennen,2,1,19,17,23,50.0,2.47,9.5,8.5,11.5,2025-05-09 16:08:30
Aatrox,3,2,22,19,17,66.67,2.05,7.33,6.33,5.67,2025-05-09 16:08:30
Seraphine,2,1,4,7,4,50.0,1.14,2.0,3.5,2.0,2025-05-09 16:08:30
Draven,3,0,18,25,24,0.0,1.68,6.0,8.33,8.0,2025-05-09 16:08:30
Aurora,2,0,9,17,10,0.0,1.12,4.5,8.5,5.0,2025-05-09 16:08:30
Mel,1,0,3,9,12,0.0,1.67,3.0,9.0,12.0,2025-05-09 16:08:30
Viktor,1,1,9,8,8,100.0,2.12,9.0,8.0,8.0,2025-05-09 16:08:30
Master Yi,1,0,3,4,5,0.0,2.0,3.0,4.0,5.0,2025-05-09 16:08:30
Xayah,1,0,5,11,4,0.0,0.82,5.0,11.0,4.0,2025-05-09 16:08:30
Akali,2,0,32,14,16,0.0,3.43,16.0,7.0,8.0,2025-05-09 16:08:30
Varus,7,4,27,23,35,57.14,2.7,3.86,3.29,5.0,2025-05-09 16:08:30
Kalista,1,1,10,7,8,100.0,2.57,10.0,7.0,8.0,2025-05-09 16:08:30
Jinx,6,4,27,24,40,66.67,2.79,4.5,4.0,6.67,2025-05-09 16:08:30
Caitlyn,5,3,42,20,38,60.0,4.0,8.4,4.0,7.6,2025-05-09 16:08:30
Sivir,2,2,17,12,19,100.0,3.0,8.5,6.0,9.5,2025-05-09 16:08:30
Twitch,3,3,31,13,26,100.0,4.38,10.33,4.33,8.67,2025-05-09 16:08:30
Aurelion Sol,2,2,14,4,7,100.0,5.25,7.0,2.0,3.5,2025-05-09 16:08:30
Aphelios,1,0,5,10,3,0.0,0.8,5.0,10.0,3.0,2025-05-09 16:08:30
Ambessa,1,1,5,8,7,100.0,1.5,5.0,8.0,7.0,2025-05-09 16:08:30
Nunu & Willump,2,0,22,16,10,0.0,2.0,11.0,8.0,5.0,2025-05-09 16:08:30
Vladimir,1,0,5,6,3,0.0,1.33,5.0,6.0,3.0,2025-05-09 16:08:30
