opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,1,0,7,10,2,0.0,0.9,7.0,10.0,2.0,2025-05-09 16:08:30
Ezreal,2,1,12,12,7,50.0,1.58,6.0,6.0,3.5,2025-05-09 16:08:30
Fiddlesticks,1,0,7,4,5,0.0,3.0,7.0,4.0,5.0,2025-05-09 16:08:30
Naafiri,2,2,15,4,20,100.0,8.75,7.5,2.0,10.0,2025-05-09 16:08:30
Xin Zhao,3,1,18,19,19,33.33,1.95,6.0,6.33,6.33,2025-05-09 16:08:30
Kayn,2,1,15,8,9,50.0,3.0,7.5,4.0,4.5,2025-05-09 16:08:30
Tristana,3,1,23,21,31,33.33,2.57,7.67,7.0,10.33,2025-05-09 16:08:30
Evelynn,1,1,9,7,8,100.0,2.43,9.0,7.0,8.0,2025-05-09 16:08:30
Aurora,1,1,5,4,9,100.0,3.5,5.0,4.0,9.0,2025-05-09 16:08:30
Kayle,3,2,34,20,20,66.67,2.7,11.33,6.67,6.67,2025-05-09 16:08:30
Lillia,2,1,13,12,13,50.0,2.17,6.5,6.0,6.5,2025-05-09 16:08:30
Ambessa,3,2,15,29,24,66.67,1.34,5.0,9.67,8.0,2025-05-09 16:08:30
Lissandra,1,1,6,6,5,100.0,1.83,6.0,6.0,5.0,2025-05-09 16:08:30
Lucian,4,1,26,32,32,25.0,1.81,6.5,8.0,8.0,2025-05-09 16:08:30
Skarner,1,1,9,4,21,100.0,7.5,9.0,4.0,21.0,2025-05-09 16:08:30
Master Yi,1,1,0,0,0,100.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Ivern,2,1,7,8,10,50.0,2.12,3.5,4.0,5.0,2025-05-09 16:08:30
Jarvan Iv,1,1,4,4,20,100.0,6.0,4.0,4.0,20.0,2025-05-09 16:08:30
Vi,1,1,8,2,1,100.0,4.5,8.0,2.0,1.0,2025-05-09 16:08:30
KhaZix,2,0,17,18,20,0.0,2.06,8.5,9.0,10.0,2025-05-09 16:08:30
Zyra,1,1,13,6,11,100.0,4.0,13.0,6.0,11.0,2025-05-09 16:08:30
Mel,1,0,5,6,2,0.0,1.17,5.0,6.0,2.0,2025-05-09 16:08:30
Rammus,2,0,10,14,27,0.0,2.64,5.0,7.0,13.5,2025-05-09 16:08:30
Darius,1,1,8,14,14,100.0,1.57,8.0,14.0,14.0,2025-05-09 16:08:30
Aurelion Sol,1,1,1,1,6,100.0,7.0,1.0,1.0,6.0,2025-05-09 16:08:30
Kaisa,1,1,8,3,5,100.0,4.33,8.0,3.0,5.0,2025-05-09 16:08:30
Poppy,1,1,5,7,13,100.0,2.57,5.0,7.0,13.0,2025-05-09 16:08:30
Elise,1,0,4,8,6,0.0,1.25,4.0,8.0,6.0,2025-05-09 16:08:30
Zed,2,0,20,14,12,0.0,2.29,10.0,7.0,6.0,2025-05-09 16:08:30
Gangplank,1,0,3,5,10,0.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Varus,2,1,19,10,13,50.0,3.2,9.5,5.0,6.5,2025-05-09 16:08:30
Jhin,1,1,7,4,12,100.0,4.75,7.0,4.0,12.0,2025-05-09 16:08:30
Seraphine,1,0,8,6,2,0.0,1.67,8.0,6.0,2.0,2025-05-09 16:08:30
Akali,2,2,18,8,28,100.0,5.75,9.0,4.0,14.0,2025-05-09 16:08:30
Miss Fortune,1,1,14,14,10,100.0,1.71,14.0,14.0,10.0,2025-05-09 16:08:30
Twitch,1,0,13,8,13,0.0,3.25,13.0,8.0,13.0,2025-05-09 16:08:30
Smolder,1,1,7,4,5,100.0,3.0,7.0,4.0,5.0,2025-05-09 16:08:30
