opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Syndra,5,3,48,33,23,60.0,2.15,9.6,6.6,4.6,2025-05-09 16:08:30
Galio,2,2,22,6,18,100.0,6.67,11.0,3.0,9.0,2025-05-09 16:08:30
LeBlanc,3,3,24,9,19,100.0,4.78,8.0,3.0,6.33,2025-05-09 16:08:30
Rakan,1,1,7,5,10,100.0,3.4,7.0,5.0,10.0,2025-05-09 16:08:30
Chogath,2,0,32,16,6,0.0,2.38,16.0,8.0,3.0,2025-05-09 16:08:30
Kennen,1,1,11,4,5,100.0,4.0,11.0,4.0,5.0,2025-05-09 16:08:30
Brand,1,1,5,3,3,100.0,2.67,5.0,3.0,3.0,2025-05-09 16:08:30
Aurelion Sol,2,1,13,10,12,50.0,2.5,6.5,5.0,6.0,2025-05-09 16:08:30
Pantheon,2,1,14,14,16,50.0,2.14,7.0,7.0,8.0,2025-05-09 16:08:30
Irelia,2,0,8,8,2,0.0,1.25,4.0,4.0,1.0,2025-05-09 16:08:30
Malzahar,3,2,38,15,7,66.67,3.0,12.67,5.0,2.33,2025-05-09 16:08:30
Ryze,3,1,26,17,21,33.33,2.76,8.67,5.67,7.0,2025-05-09 16:08:30
Gangplank,1,1,21,9,13,100.0,3.78,21.0,9.0,13.0,2025-05-09 16:08:30
Lissandra,1,1,7,3,8,100.0,5.0,7.0,3.0,8.0,2025-05-09 16:08:30
Lux,2,1,23,12,9,50.0,2.67,11.5,6.0,4.5,2025-05-09 16:08:30
Zoe,1,0,7,5,9,0.0,3.2,7.0,5.0,9.0,2025-05-09 16:08:30
Azir,4,2,26,20,41,50.0,3.35,6.5,5.0,10.25,2025-05-09 16:08:30
Talon,2,2,20,8,10,100.0,3.75,10.0,4.0,5.0,2025-05-09 16:08:30
Zac,1,1,18,4,12,100.0,7.5,18.0,4.0,12.0,2025-05-09 16:08:30
Aurora,1,1,8,1,4,100.0,12.0,8.0,1.0,4.0,2025-05-09 16:08:30
Akali,1,1,19,5,13,100.0,6.4,19.0,5.0,13.0,2025-05-09 16:08:30
Anivia,2,2,27,12,10,100.0,3.08,13.5,6.0,5.0,2025-05-09 16:08:30
Sylas,3,2,30,22,20,66.67,2.27,10.0,7.33,6.67,2025-05-09 16:08:30
Nautilus,1,0,0,8,3,0.0,0.38,0.0,8.0,3.0,2025-05-09 16:08:30
Ivern,1,0,5,11,3,0.0,0.73,5.0,11.0,3.0,2025-05-09 16:08:30
Orianna,1,1,16,8,5,100.0,2.62,16.0,8.0,5.0,2025-05-09 16:08:30
Twisted Fate,1,1,8,5,7,100.0,3.0,8.0,5.0,7.0,2025-05-09 16:08:30
Qiyana,5,3,29,39,26,60.0,1.41,5.8,7.8,5.2,2025-05-09 16:08:30
Akshan,1,0,11,6,3,0.0,2.33,11.0,6.0,3.0,2025-05-09 16:08:30
Ahri,2,1,23,13,5,50.0,2.15,11.5,6.5,2.5,2025-05-09 16:08:30
Vex,2,0,14,13,9,0.0,1.77,7.0,6.5,4.5,2025-05-09 16:08:30
Jayce,2,2,20,9,11,100.0,3.44,10.0,4.5,5.5,2025-05-09 16:08:30
Yone,1,1,11,4,3,100.0,3.5,11.0,4.0,3.0,2025-05-09 16:08:30
Viktor,2,1,30,6,7,50.0,6.17,15.0,3.0,3.5,2025-05-09 16:08:30
Zed,4,2,29,30,29,50.0,1.93,7.25,7.5,7.25,2025-05-09 16:08:30
Smolder,1,1,13,2,2,100.0,7.5,13.0,2.0,2.0,2025-05-09 16:08:30
Veigar,1,1,8,3,5,100.0,4.33,8.0,3.0,5.0,2025-05-09 16:08:30
Neeko,1,0,3,6,6,0.0,1.5,3.0,6.0,6.0,2025-05-09 16:08:30
Urgot,1,0,10,4,1,0.0,2.75,10.0,4.0,1.0,2025-05-09 16:08:30
Garen,1,0,2,8,5,0.0,0.88,2.0,8.0,5.0,2025-05-09 16:08:30
Yasuo,1,0,2,5,5,0.0,1.4,2.0,5.0,5.0,2025-05-09 16:08:30
Taliyah,1,0,4,10,0,0.0,0.4,4.0,10.0,0.0,2025-05-09 16:08:30
