opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gangplank,2,1,19,13,15,50.0,2.62,9.5,6.5,7.5,2025-05-09 16:08:30
Viktor,1,0,5,4,1,0.0,1.5,5.0,4.0,1.0,2025-05-09 16:08:30
Gwen,6,3,43,42,60,50.0,2.45,7.17,7.0,10.0,2025-05-09 16:08:30
Ambessa,4,3,39,21,30,75.0,3.29,9.75,5.25,7.5,2025-05-09 16:08:30
Aurora,8,4,36,34,35,50.0,2.09,4.5,4.25,4.38,2025-05-09 16:08:30
Jayce,4,1,19,25,19,25.0,1.52,4.75,6.25,4.75,2025-05-09 16:08:30
Lissandra,1,0,5,7,4,0.0,1.29,5.0,7.0,4.0,2025-05-09 16:08:30
Xerath,1,0,2,7,3,0.0,0.71,2.0,7.0,3.0,2025-05-09 16:08:30
Ashe,1,1,12,5,12,100.0,4.8,12.0,5.0,12.0,2025-05-09 16:08:30
Tristana,2,1,7,13,4,50.0,0.85,3.5,6.5,2.0,2025-05-09 16:08:30
Karthus,3,1,24,15,14,33.33,2.53,8.0,5.0,4.67,2025-05-09 16:08:30
Miss Fortune,1,0,14,7,4,0.0,2.57,14.0,7.0,4.0,2025-05-09 16:08:30
Gragas,1,0,2,6,1,0.0,0.5,2.0,6.0,1.0,2025-05-09 16:08:30
Hwei,3,2,21,18,27,66.67,2.67,7.0,6.0,9.0,2025-05-09 16:08:30
Singed,2,0,13,7,12,0.0,3.57,6.5,3.5,6.0,2025-05-09 16:08:30
Sylas,4,1,23,21,18,25.0,1.95,5.75,5.25,4.5,2025-05-09 16:08:30
Azir,3,2,17,9,9,66.67,2.89,5.67,3.0,3.0,2025-05-09 16:08:30
Aurelion Sol,1,1,6,5,6,100.0,2.4,6.0,5.0,6.0,2025-05-09 16:08:30
Zac,1,1,6,7,12,100.0,2.57,6.0,7.0,12.0,2025-05-09 16:08:30
Ivern,1,0,2,4,4,0.0,1.5,2.0,4.0,4.0,2025-05-09 16:08:30
Darius,1,0,0,8,2,0.0,0.25,0.0,8.0,2.0,2025-05-09 16:08:30
Ryze,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Lux,1,1,6,3,8,100.0,4.67,6.0,3.0,8.0,2025-05-09 16:08:30
Qiyana,1,0,1,8,0,0.0,0.12,1.0,8.0,0.0,2025-05-09 16:08:30
Malzahar,1,1,16,10,13,100.0,2.9,16.0,10.0,13.0,2025-05-09 16:08:30
Irelia,4,2,24,18,23,50.0,2.61,6.0,4.5,5.75,2025-05-09 16:08:30
Aatrox,1,0,3,8,3,0.0,0.75,3.0,8.0,3.0,2025-05-09 16:08:30
KSante,3,2,30,15,13,66.67,2.87,10.0,5.0,4.33,2025-05-09 16:08:30
Yone,1,1,4,6,11,100.0,2.5,4.0,6.0,11.0,2025-05-09 16:08:30
Fizz,1,1,7,4,9,100.0,4.0,7.0,4.0,9.0,2025-05-09 16:08:30
Zed,1,1,2,1,1,100.0,3.0,2.0,1.0,1.0,2025-05-09 16:08:30
Teemo,1,0,2,4,5,0.0,1.75,2.0,4.0,5.0,2025-05-09 16:08:30
Syndra,2,2,18,6,10,100.0,4.67,9.0,3.0,5.0,2025-05-09 16:08:30
Riven,1,1,1,2,1,100.0,1.0,1.0,2.0,1.0,2025-05-09 16:08:30
Mel,1,1,6,2,8,100.0,7.0,6.0,2.0,8.0,2025-05-09 16:08:30
Fiora,4,4,41,15,28,100.0,4.6,10.25,3.75,7.0,2025-05-09 16:08:30
Galio,1,1,8,4,10,100.0,4.5,8.0,4.0,10.0,2025-05-09 16:08:30
Illaoi,1,1,5,2,3,100.0,4.0,5.0,2.0,3.0,2025-05-09 16:08:30
Camille,1,1,5,3,2,100.0,2.33,5.0,3.0,2.0,2025-05-09 16:08:30
Pantheon,1,1,8,4,9,100.0,4.25,8.0,4.0,9.0,2025-05-09 16:08:30
Sett,1,0,3,5,0,0.0,0.6,3.0,5.0,0.0,2025-05-09 16:08:30
Nasus,1,0,3,9,3,0.0,0.67,3.0,9.0,3.0,2025-05-09 16:08:30
Chogath,1,1,0,3,7,100.0,2.33,0.0,3.0,7.0,2025-05-09 16:08:30
Dr. Mundo,1,1,4,4,4,100.0,2.0,4.0,4.0,4.0,2025-05-09 16:08:30
Quinn,1,0,3,5,3,0.0,1.2,3.0,5.0,3.0,2025-05-09 16:08:30
Warwick,1,1,3,4,9,100.0,3.0,3.0,4.0,9.0,2025-05-09 16:08:30
Jax,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Tryndamere,1,0,2,7,4,0.0,0.86,2.0,7.0,4.0,2025-05-09 16:08:30
Taliyah,1,0,3,11,4,0.0,0.64,3.0,11.0,4.0,2025-05-09 16:08:30
Volibear,1,0,3,6,1,0.0,0.67,3.0,6.0,1.0,2025-05-09 16:08:30
Garen,1,1,11,5,9,100.0,4.0,11.0,5.0,9.0,2025-05-09 16:08:30
