opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Kaisa,1,1,6,4,13,100.0,4.75,6.0,4.0,13.0,2025-05-09 16:08:30
Fiora,4,3,23,24,30,75.0,2.21,5.75,6.0,7.5,2025-05-09 16:08:30
Ambessa,2,1,6,11,16,50.0,2.0,3.0,5.5,8.0,2025-05-09 16:08:30
Syndra,1,1,12,3,9,100.0,7.0,12.0,3.0,9.0,2025-05-09 16:08:30
Malphite,1,0,1,5,2,0.0,0.6,1.0,5.0,2.0,2025-05-09 16:08:30
Teemo,1,1,7,4,3,100.0,2.5,7.0,4.0,3.0,2025-05-09 16:08:30
Dr. Mundo,2,1,20,13,10,50.0,2.31,10.0,6.5,5.0,2025-05-09 16:08:30
Akali,2,1,8,11,5,50.0,1.18,4.0,5.5,2.5,2025-05-09 16:08:30
Jayce,1,0,3,8,4,0.0,0.88,3.0,8.0,4.0,2025-05-09 16:08:30
Camille,1,1,4,8,3,100.0,0.88,4.0,8.0,3.0,2025-05-09 16:08:30
Volibear,1,1,15,5,9,100.0,4.8,15.0,5.0,9.0,2025-05-09 16:08:30
Wukong,1,1,9,1,3,100.0,12.0,9.0,1.0,3.0,2025-05-09 16:08:30
Azir,1,0,4,8,2,0.0,0.75,4.0,8.0,2.0,2025-05-09 16:08:30
Jax,1,1,3,9,4,100.0,0.78,3.0,9.0,4.0,2025-05-09 16:08:30
Rell,1,0,2,9,3,0.0,0.56,2.0,9.0,3.0,2025-05-09 16:08:30
Kennen,1,0,0,3,2,0.0,0.67,0.0,3.0,2.0,2025-05-09 16:08:30
Anivia,2,0,10,18,10,0.0,1.11,5.0,9.0,5.0,2025-05-09 16:08:30
Warwick,1,0,4,9,7,0.0,1.22,4.0,9.0,7.0,2025-05-09 16:08:30
Vladimir,1,1,2,2,11,100.0,6.5,2.0,2.0,11.0,2025-05-09 16:08:30
Aatrox,2,1,9,7,11,50.0,2.86,4.5,3.5,5.5,2025-05-09 16:08:30
Ryze,1,0,7,4,5,0.0,3.0,7.0,4.0,5.0,2025-05-09 16:08:30
Urgot,1,0,7,6,6,0.0,2.17,7.0,6.0,6.0,2025-05-09 16:08:30
Tryndamere,1,1,3,3,8,100.0,3.67,3.0,3.0,8.0,2025-05-09 16:08:30
Poppy,1,1,6,10,3,100.0,0.9,6.0,10.0,3.0,2025-05-09 16:08:30
Irelia,2,1,9,18,21,50.0,1.67,4.5,9.0,10.5,2025-05-09 16:08:30
Pantheon,1,1,10,9,13,100.0,2.56,10.0,9.0,13.0,2025-05-09 16:08:30
Gragas,1,1,3,1,5,100.0,8.0,3.0,1.0,5.0,2025-05-09 16:08:30
