opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zed,1,0,10,7,13,0.0,3.29,10.0,7.0,13.0,2025-05-09 16:08:30
Sona,1,0,0,3,2,0.0,0.67,0.0,3.0,2.0,2025-05-09 16:08:30
Nami,1,1,17,6,15,100.0,5.33,17.0,6.0,15.0,2025-05-09 16:08:30
Karma,2,2,15,7,24,100.0,5.57,7.5,3.5,12.0,2025-05-09 16:08:30
Katarina,3,0,8,15,17,0.0,1.67,2.67,5.0,5.67,2025-05-09 16:08:30
Xerath,1,1,8,2,8,100.0,8.0,8.0,2.0,8.0,2025-05-09 16:08:30
Pyke,1,0,10,12,8,0.0,1.5,10.0,12.0,8.0,2025-05-09 16:08:30
Yasuo,3,2,23,12,27,66.67,4.17,7.67,4.0,9.0,2025-05-09 16:08:30
Sylas,2,1,6,7,6,50.0,1.71,3.0,3.5,3.0,2025-05-09 16:08:30
Cassiopeia,1,1,12,6,16,100.0,4.67,12.0,6.0,16.0,2025-05-09 16:08:30
Aurora,2,0,10,10,4,0.0,1.4,5.0,5.0,2.0,2025-05-09 16:08:30
Aatrox,1,0,1,2,2,0.0,1.5,1.0,2.0,2.0,2025-05-09 16:08:30
Hwei,1,1,1,2,2,100.0,1.5,1.0,2.0,2.0,2025-05-09 16:08:30
Lissandra,1,0,8,3,4,0.0,4.0,8.0,3.0,4.0,2025-05-09 16:08:30
Viego,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Ryze,1,1,10,2,6,100.0,8.0,10.0,2.0,6.0,2025-05-09 16:08:30
Kennen,1,0,2,5,1,0.0,0.6,2.0,5.0,1.0,2025-05-09 16:08:30
Azir,1,0,7,4,4,0.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Lulu,1,1,6,3,21,100.0,9.0,6.0,3.0,21.0,2025-05-09 16:08:30
Bard,1,0,9,9,12,0.0,2.33,9.0,9.0,12.0,2025-05-09 16:08:30
Elise,1,1,12,3,6,100.0,6.0,12.0,3.0,6.0,2025-05-09 16:08:30
Aurelion Sol,2,1,16,12,14,50.0,2.5,8.0,6.0,7.0,2025-05-09 16:08:30
Thresh,1,1,3,1,15,100.0,18.0,3.0,1.0,15.0,2025-05-09 16:08:30
Twisted Fate,1,1,17,0,12,100.0,29.0,17.0,0.0,12.0,2025-05-09 16:08:30
Mel,1,0,8,7,1,0.0,1.29,8.0,7.0,1.0,2025-05-09 16:08:30
Orianna,2,1,11,3,4,50.0,5.0,5.5,1.5,2.0,2025-05-09 16:08:30
Kassadin,1,0,1,4,2,0.0,0.75,1.0,4.0,2.0,2025-05-09 16:08:30
Neeko,1,0,5,3,12,0.0,5.67,5.0,3.0,12.0,2025-05-09 16:08:30
Vex,1,0,8,4,7,0.0,3.75,8.0,4.0,7.0,2025-05-09 16:08:30
Vladimir,1,0,3,5,4,0.0,1.4,3.0,5.0,4.0,2025-05-09 16:08:30
Ahri,2,1,11,7,3,50.0,2.0,5.5,3.5,1.5,2025-05-09 16:08:30
Seraphine,1,0,7,3,5,0.0,4.0,7.0,3.0,5.0,2025-05-09 16:08:30
Akali,1,0,8,4,5,0.0,3.25,8.0,4.0,5.0,2025-05-09 16:08:30
Yone,1,1,15,1,9,100.0,24.0,15.0,1.0,9.0,2025-05-09 16:08:30
Garen,1,1,8,3,5,100.0,4.33,8.0,3.0,5.0,2025-05-09 16:08:30
Milio,1,1,9,3,9,100.0,6.0,9.0,3.0,9.0,2025-05-09 16:08:30
Chogath,1,0,5,6,2,0.0,1.17,5.0,6.0,2.0,2025-05-09 16:08:30
Shen,1,1,2,1,5,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Tristana,1,1,8,1,5,100.0,13.0,8.0,1.0,5.0,2025-05-09 16:08:30
