opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Pantheon,6,3,14,35,87,50.0,2.89,2.33,5.83,14.5,2025-05-09 16:08:30
Poppy,5,1,6,34,79,20.0,2.5,1.2,6.8,15.8,2025-05-09 16:08:30
Nautilus,17,9,20,59,236,52.94,4.34,1.18,3.47,13.88,2025-05-09 16:08:30
Senna,9,3,10,38,89,33.33,2.61,1.11,4.22,9.89,2025-05-09 16:08:30
Urgot,1,1,2,7,18,100.0,2.86,2.0,7.0,18.0,2025-05-09 16:08:30
Rell,11,7,16,39,154,63.64,4.36,1.45,3.55,14.0,2025-05-09 16:08:30
Karma,12,8,17,44,178,66.67,4.43,1.42,3.67,14.83,2025-05-09 16:08:30
Zilean,10,3,14,57,157,30.0,3.0,1.4,5.7,15.7,2025-05-09 16:08:30
Braum,6,2,7,36,91,33.33,2.72,1.17,6.0,15.17,2025-05-09 16:08:30
Seraphine,2,0,4,12,35,0.0,3.25,2.0,6.0,17.5,2025-05-09 16:08:30
Neeko,3,1,6,14,48,33.33,3.86,2.0,4.67,16.0,2025-05-09 16:08:30
Bard,7,5,10,29,119,71.43,4.45,1.43,4.14,17.0,2025-05-09 16:08:30
Leona,1,1,3,5,14,100.0,3.4,3.0,5.0,14.0,2025-05-09 16:08:30
Janna,8,2,9,52,116,25.0,2.4,1.12,6.5,14.5,2025-05-09 16:08:30
Thresh,8,6,12,34,144,75.0,4.59,1.5,4.25,18.0,2025-05-09 16:08:30
Lux,2,0,1,3,7,0.0,2.67,0.5,1.5,3.5,2025-05-09 16:08:30
Milio,5,2,2,23,62,40.0,2.78,0.4,4.6,12.4,2025-05-09 16:08:30
Elise,1,1,3,0,19,100.0,22.0,3.0,0.0,19.0,2025-05-09 16:08:30
Pyke,5,3,8,15,73,60.0,5.4,1.6,3.0,14.6,2025-05-09 16:08:30
Sona,11,4,14,46,138,36.36,3.3,1.27,4.18,12.55,2025-05-09 16:08:30
Soraka,6,4,4,22,75,66.67,3.59,0.67,3.67,12.5,2025-05-09 16:08:30
Gragas,2,0,2,9,14,0.0,1.78,1.0,4.5,7.0,2025-05-09 16:08:30
Nami,14,5,12,68,154,35.71,2.44,0.86,4.86,11.0,2025-05-09 16:08:30
VelKoz,1,0,1,9,8,0.0,1.0,1.0,9.0,8.0,2025-05-09 16:08:30
Alistar,3,2,6,16,46,66.67,3.25,2.0,5.33,15.33,2025-05-09 16:08:30
Renata,2,2,6,2,28,100.0,17.0,3.0,1.0,14.0,2025-05-09 16:08:30
Zoe,1,1,2,4,18,100.0,5.0,2.0,4.0,18.0,2025-05-09 16:08:30
Rakan,9,3,13,25,73,33.33,3.44,1.44,2.78,8.11,2025-05-09 16:08:30
Swain,2,2,3,7,36,100.0,5.57,1.5,3.5,18.0,2025-05-09 16:08:30
Zyra,1,1,0,1,9,100.0,9.0,0.0,1.0,9.0,2025-05-09 16:08:30
LeBlanc,1,0,1,6,11,0.0,2.0,1.0,6.0,11.0,2025-05-09 16:08:30
Brand,1,1,4,5,20,100.0,4.8,4.0,5.0,20.0,2025-05-09 16:08:30
Blitzcrank,1,1,2,1,14,100.0,16.0,2.0,1.0,14.0,2025-05-09 16:08:30
Orianna,1,0,2,4,6,0.0,2.0,2.0,4.0,6.0,2025-05-09 16:08:30
Sylas,1,0,2,7,16,0.0,2.57,2.0,7.0,16.0,2025-05-09 16:08:30
Morgana,1,0,0,3,14,0.0,4.67,0.0,3.0,14.0,2025-05-09 16:08:30
Galio,1,1,0,1,17,100.0,17.0,0.0,1.0,17.0,2025-05-09 16:08:30
Yuumi,2,2,2,9,25,100.0,3.0,1.0,4.5,12.5,2025-05-09 16:08:30
Jayce,1,1,8,1,17,100.0,25.0,8.0,1.0,17.0,2025-05-09 16:08:30
