opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Tristana,9,5,41,35,57,55.56,2.8,4.56,3.89,6.33,2025-05-09 16:08:30
Corki,3,2,39,22,23,66.67,2.82,13.0,7.33,7.67,2025-05-09 16:08:30
Draven,5,2,34,36,51,40.0,2.36,6.8,7.2,10.2,2025-05-09 16:08:30
Caitlyn,4,2,35,21,32,50.0,3.19,8.75,5.25,8.0,2025-05-09 16:08:30
Cassiopeia,2,2,17,8,17,100.0,4.25,8.5,4.0,8.5,2025-05-09 16:08:30
Ashe,3,0,7,15,10,0.0,1.13,2.33,5.0,3.33,2025-05-09 16:08:30
Jhin,6,3,44,30,52,50.0,3.2,7.33,5.0,8.67,2025-05-09 16:08:30
Swain,1,0,2,3,5,0.0,2.33,2.0,3.0,5.0,2025-05-09 16:08:30
Kayle,1,1,8,6,8,100.0,2.67,8.0,6.0,8.0,2025-05-09 16:08:30
Hwei,2,1,12,11,17,50.0,2.64,6.0,5.5,8.5,2025-05-09 16:08:30
Lucian,8,5,49,23,46,62.5,4.13,6.12,2.88,5.75,2025-05-09 16:08:30
Jax,1,1,8,6,17,100.0,4.17,8.0,6.0,17.0,2025-05-09 16:08:30
Zeri,1,1,7,1,10,100.0,17.0,7.0,1.0,10.0,2025-05-09 16:08:30
Kaisa,5,2,35,26,43,40.0,3.0,7.0,5.2,8.6,2025-05-09 16:08:30
Taliyah,1,1,12,5,6,100.0,3.6,12.0,5.0,6.0,2025-05-09 16:08:30
Smolder,7,4,57,29,66,57.14,4.24,8.14,4.14,9.43,2025-05-09 16:08:30
Ezreal,4,3,27,22,25,75.0,2.36,6.75,5.5,6.25,2025-05-09 16:08:30
Syndra,1,1,23,4,5,100.0,7.0,23.0,4.0,5.0,2025-05-09 16:08:30
Jinx,1,1,9,8,11,100.0,2.5,9.0,8.0,11.0,2025-05-09 16:08:30
Varus,2,2,10,10,10,100.0,2.0,5.0,5.0,5.0,2025-05-09 16:08:30
Mel,2,0,18,17,14,0.0,1.88,9.0,8.5,7.0,2025-05-09 16:08:30
Vayne,2,1,9,3,6,50.0,5.0,4.5,1.5,3.0,2025-05-09 16:08:30
Aphelios,3,2,13,17,20,66.67,1.94,4.33,5.67,6.67,2025-05-09 16:08:30
Seraphine,1,1,5,0,9,100.0,14.0,5.0,0.0,9.0,2025-05-09 16:08:30
Karthus,1,0,14,13,8,0.0,1.69,14.0,13.0,8.0,2025-05-09 16:08:30
