opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Viktor,2,1,7,5,6,50.0,2.6,3.5,2.5,3.0,2025-05-09 16:08:30
Aatrox,4,0,23,31,12,0.0,1.13,5.75,7.75,3.0,2025-05-09 16:08:30
Aurora,2,0,11,17,7,0.0,1.06,5.5,8.5,3.5,2025-05-09 16:08:30
Veigar,1,0,4,12,2,0.0,0.5,4.0,12.0,2.0,2025-05-09 16:08:30
Jayce,2,2,7,6,7,100.0,2.33,3.5,3.0,3.5,2025-05-09 16:08:30
Poppy,1,1,8,5,8,100.0,3.2,8.0,5.0,8.0,2025-05-09 16:08:30
Malphite,1,0,0,6,5,0.0,0.83,0.0,6.0,5.0,2025-05-09 16:08:30
Sylas,1,0,4,12,7,0.0,0.92,4.0,12.0,7.0,2025-05-09 16:08:30
Naafiri,1,1,10,11,9,100.0,1.73,10.0,11.0,9.0,2025-05-09 16:08:30
Azir,1,0,3,3,1,0.0,1.33,3.0,3.0,1.0,2025-05-09 16:08:30
Garen,1,1,4,5,0,100.0,0.8,4.0,5.0,0.0,2025-05-09 16:08:30
Shen,1,1,4,7,5,100.0,1.29,4.0,7.0,5.0,2025-05-09 16:08:30
Urgot,3,2,10,8,9,66.67,2.38,3.33,2.67,3.0,2025-05-09 16:08:30
Wukong,1,1,3,5,7,100.0,2.0,3.0,5.0,7.0,2025-05-09 16:08:30
Darius,2,2,7,8,5,100.0,1.5,3.5,4.0,2.5,2025-05-09 16:08:30
Akali,1,0,3,8,1,0.0,0.5,3.0,8.0,1.0,2025-05-09 16:08:30
Riven,1,1,3,4,10,100.0,3.25,3.0,4.0,10.0,2025-05-09 16:08:30
Sett,2,1,9,12,9,50.0,1.5,4.5,6.0,4.5,2025-05-09 16:08:30
Yone,1,1,5,1,8,100.0,13.0,5.0,1.0,8.0,2025-05-09 16:08:30
Lucian,1,1,7,6,5,100.0,2.0,7.0,6.0,5.0,2025-05-09 16:08:30
Irelia,2,1,4,11,4,50.0,0.73,2.0,5.5,2.0,2025-05-09 16:08:30
Vayne,1,0,2,7,1,0.0,0.43,2.0,7.0,1.0,2025-05-09 16:08:30
Chogath,1,0,4,7,5,0.0,1.29,4.0,7.0,5.0,2025-05-09 16:08:30
Sion,1,0,6,9,6,0.0,1.33,6.0,9.0,6.0,2025-05-09 16:08:30
