opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nautilus,22,9,36,108,343,40.91,3.51,1.64,4.91,15.59,2025-05-09 16:08:30
Rakan,13,9,25,66,233,69.23,3.91,1.92,5.08,17.92,2025-05-09 16:08:30
Pantheon,9,2,18,69,193,22.22,3.06,2.0,7.67,21.44,2025-05-09 16:08:30
Sona,11,8,14,35,125,72.73,3.97,1.27,3.18,11.36,2025-05-09 16:08:30
Karma,25,9,34,125,355,36.0,3.11,1.36,5.0,14.2,2025-05-09 16:08:30
Senna,13,4,11,50,180,30.77,3.82,0.85,3.85,13.85,2025-05-09 16:08:30
Bard,7,3,11,43,102,42.86,2.63,1.57,6.14,14.57,2025-05-09 16:08:30
Camille,1,1,1,2,11,100.0,6.0,1.0,2.0,11.0,2025-05-09 16:08:30
Syndra,1,1,3,9,31,100.0,3.78,3.0,9.0,31.0,2025-05-09 16:08:30
Soraka,4,2,6,17,60,50.0,3.88,1.5,4.25,15.0,2025-05-09 16:08:30
LeBlanc,1,0,1,11,18,0.0,1.73,1.0,11.0,18.0,2025-05-09 16:08:30
Rell,4,2,12,16,79,50.0,5.69,3.0,4.0,19.75,2025-05-09 16:08:30
Zilean,3,2,4,12,45,66.67,4.08,1.33,4.0,15.0,2025-05-09 16:08:30
Seraphine,8,5,6,34,110,62.5,3.41,0.75,4.25,13.75,2025-05-09 16:08:30
Ahri,1,0,1,10,7,0.0,0.8,1.0,10.0,7.0,2025-05-09 16:08:30
Leona,2,0,8,11,24,0.0,2.91,4.0,5.5,12.0,2025-05-09 16:08:30
Anivia,3,1,3,14,30,33.33,2.36,1.0,4.67,10.0,2025-05-09 16:08:30
Cassiopeia,1,1,6,8,22,100.0,3.5,6.0,8.0,22.0,2025-05-09 16:08:30
Milio,9,3,12,36,120,33.33,3.67,1.33,4.0,13.33,2025-05-09 16:08:30
Lulu,14,9,14,46,235,64.29,5.41,1.0,3.29,16.79,2025-05-09 16:08:30
Braum,5,4,4,18,82,80.0,4.78,0.8,3.6,16.4,2025-05-09 16:08:30
Pyke,4,2,10,26,68,50.0,3.0,2.5,6.5,17.0,2025-05-09 16:08:30
Alistar,3,3,4,6,52,100.0,9.33,1.33,2.0,17.33,2025-05-09 16:08:30
Xerath,1,1,0,2,10,100.0,5.0,0.0,2.0,10.0,2025-05-09 16:08:30
Maokai,1,1,2,8,37,100.0,4.88,2.0,8.0,37.0,2025-05-09 16:08:30
Neeko,2,1,2,9,26,50.0,3.11,1.0,4.5,13.0,2025-05-09 16:08:30
Janna,8,3,7,28,87,37.5,3.36,0.88,3.5,10.88,2025-05-09 16:08:30
Hwei,1,1,1,4,17,100.0,4.5,1.0,4.0,17.0,2025-05-09 16:08:30
Thresh,12,4,14,70,151,33.33,2.36,1.17,5.83,12.58,2025-05-09 16:08:30
Lux,1,0,1,11,7,0.0,0.73,1.0,11.0,7.0,2025-05-09 16:08:30
Sylas,1,1,3,0,18,100.0,21.0,3.0,0.0,18.0,2025-05-09 16:08:30
Elise,1,0,0,5,15,0.0,3.0,0.0,5.0,15.0,2025-05-09 16:08:30
Poppy,3,2,10,11,51,66.67,5.55,3.33,3.67,17.0,2025-05-09 16:08:30
Yuumi,5,4,5,14,74,80.0,5.64,1.0,2.8,14.8,2025-05-09 16:08:30
Trundle,1,1,2,2,19,100.0,10.5,2.0,2.0,19.0,2025-05-09 16:08:30
Mel,1,1,1,4,23,100.0,6.0,1.0,4.0,23.0,2025-05-09 16:08:30
Zoe,1,0,1,6,13,0.0,2.33,1.0,6.0,13.0,2025-05-09 16:08:30
Renata,1,0,2,7,7,0.0,1.29,2.0,7.0,7.0,2025-05-09 16:08:30
Blitzcrank,1,1,0,3,25,100.0,8.33,0.0,3.0,25.0,2025-05-09 16:08:30
VelKoz,2,1,2,9,48,50.0,5.56,1.0,4.5,24.0,2025-05-09 16:08:30
Fiddlesticks,1,0,1,12,7,0.0,0.67,1.0,12.0,7.0,2025-05-09 16:08:30
