opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Qiyana,4,2,23,28,34,50.0,2.04,5.75,7.0,8.5,2025-05-09 16:08:30
Elise,2,0,8,16,14,0.0,1.38,4.0,8.0,7.0,2025-05-09 16:08:30
Nidalee,3,2,21,16,22,66.67,2.69,7.0,5.33,7.33,2025-05-09 16:08:30
Belveth,1,0,6,4,6,0.0,3.0,6.0,4.0,6.0,2025-05-09 16:08:30
Lulu,6,3,34,33,68,50.0,3.09,5.67,5.5,11.33,2025-05-09 16:08:30
Poppy,9,6,68,52,97,66.67,3.17,7.56,5.78,10.78,2025-05-09 16:08:30
Nami,9,7,61,81,123,77.78,2.27,6.78,9.0,13.67,2025-05-09 16:08:30
Bard,4,3,30,29,31,75.0,2.1,7.5,7.25,7.75,2025-05-09 16:08:30
Taliyah,2,1,10,9,14,50.0,2.67,5.0,4.5,7.0,2025-05-09 16:08:30
Yuumi,1,1,9,4,11,100.0,5.0,9.0,4.0,11.0,2025-05-09 16:08:30
Rell,6,2,36,40,45,33.33,2.02,6.0,6.67,7.5,2025-05-09 16:08:30
Teemo,4,2,19,27,20,50.0,1.44,4.75,6.75,5.0,2025-05-09 16:08:30
Rumble,1,0,2,5,1,0.0,0.6,2.0,5.0,1.0,2025-05-09 16:08:30
Ryze,1,1,7,4,11,100.0,4.5,7.0,4.0,11.0,2025-05-09 16:08:30
Zed,6,3,40,36,63,50.0,2.86,6.67,6.0,10.5,2025-05-09 16:08:30
Naafiri,9,6,47,35,73,66.67,3.43,5.22,3.89,8.11,2025-05-09 16:08:30
Ekko,1,0,4,7,6,0.0,1.43,4.0,7.0,6.0,2025-05-09 16:08:30
Janna,1,0,5,8,4,0.0,1.12,5.0,8.0,4.0,2025-05-09 16:08:30
Vi,4,3,27,18,35,75.0,3.44,6.75,4.5,8.75,2025-05-09 16:08:30
Jayce,4,2,9,23,14,50.0,1.0,2.25,5.75,3.5,2025-05-09 16:08:30
Jarvan Iv,3,2,20,14,18,66.67,2.71,6.67,4.67,6.0,2025-05-09 16:08:30
Shaco,3,1,26,19,18,33.33,2.32,8.67,6.33,6.0,2025-05-09 16:08:30
Senna,1,0,5,7,2,0.0,1.0,5.0,7.0,2.0,2025-05-09 16:08:30
Udyr,2,1,15,12,13,50.0,2.33,7.5,6.0,6.5,2025-05-09 16:08:30
Malphite,2,0,9,14,11,0.0,1.43,4.5,7.0,5.5,2025-05-09 16:08:30
Olaf,1,0,2,9,5,0.0,0.78,2.0,9.0,5.0,2025-05-09 16:08:30
Gwen,8,2,76,35,51,25.0,3.63,9.5,4.38,6.38,2025-05-09 16:08:30
Hecarim,2,1,15,8,16,50.0,3.88,7.5,4.0,8.0,2025-05-09 16:08:30
Dr. Mundo,2,2,15,3,15,100.0,10.0,7.5,1.5,7.5,2025-05-09 16:08:30
Lee Sin,4,3,43,26,49,75.0,3.54,10.75,6.5,12.25,2025-05-09 16:08:30
Yasuo,2,0,10,13,7,0.0,1.31,5.0,6.5,3.5,2025-05-09 16:08:30
Kayn,3,2,19,14,41,66.67,4.29,6.33,4.67,13.67,2025-05-09 16:08:30
Xerath,2,2,16,9,16,100.0,3.56,8.0,4.5,8.0,2025-05-09 16:08:30
Leona,3,2,13,13,34,66.67,3.62,4.33,4.33,11.33,2025-05-09 16:08:30
Maokai,2,1,13,17,19,50.0,1.88,6.5,8.5,9.5,2025-05-09 16:08:30
Nautilus,7,3,37,57,65,42.86,1.79,5.29,8.14,9.29,2025-05-09 16:08:30
