opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zyra,1,1,5,1,5,100.0,10.0,5.0,1.0,5.0,2025-05-09 16:08:30
Hecarim,2,2,20,3,16,100.0,12.0,10.0,1.5,8.0,2025-05-09 16:08:30
Jax,1,1,8,8,13,100.0,2.62,8.0,8.0,13.0,2025-05-09 16:08:30
Kindred,1,1,18,5,14,100.0,6.4,18.0,5.0,14.0,2025-05-09 16:08:30
Ambessa,2,2,32,2,22,100.0,27.0,16.0,1.0,11.0,2025-05-09 16:08:30
Naafiri,4,3,33,22,32,75.0,2.95,8.25,5.5,8.0,2025-05-09 16:08:30
Fiddlesticks,2,0,12,8,14,0.0,3.25,6.0,4.0,7.0,2025-05-09 16:08:30
Volibear,2,1,11,6,11,50.0,3.67,5.5,3.0,5.5,2025-05-09 16:08:30
Brand,1,1,6,10,9,100.0,1.5,6.0,10.0,9.0,2025-05-09 16:08:30
Zed,3,0,27,19,12,0.0,2.05,9.0,6.33,4.0,2025-05-09 16:08:30
Kayn,1,0,5,4,5,0.0,2.5,5.0,4.0,5.0,2025-05-09 16:08:30
Akali,1,0,3,8,2,0.0,0.62,3.0,8.0,2.0,2025-05-09 16:08:30
Lee Sin,1,1,10,5,18,100.0,5.6,10.0,5.0,18.0,2025-05-09 16:08:30
Lillia,1,1,18,2,5,100.0,11.5,18.0,2.0,5.0,2025-05-09 16:08:30
Graves,3,2,17,14,19,66.67,2.57,5.67,4.67,6.33,2025-05-09 16:08:30
Jarvan Iv,1,1,4,3,6,100.0,3.33,4.0,3.0,6.0,2025-05-09 16:08:30
Darius,1,0,18,7,15,0.0,4.71,18.0,7.0,15.0,2025-05-09 16:08:30
Shaco,1,1,21,9,9,100.0,3.33,21.0,9.0,9.0,2025-05-09 16:08:30
Rammus,1,1,11,2,7,100.0,9.0,11.0,2.0,7.0,2025-05-09 16:08:30
Taliyah,1,1,21,14,10,100.0,2.21,21.0,14.0,10.0,2025-05-09 16:08:30
KSante,1,0,4,13,9,0.0,1.0,4.0,13.0,9.0,2025-05-09 16:08:30
Ivern,1,1,10,4,10,100.0,5.0,10.0,4.0,10.0,2025-05-09 16:08:30
Zac,1,1,13,3,11,100.0,8.0,13.0,3.0,11.0,2025-05-09 16:08:30
Vi,3,1,18,13,6,33.33,1.85,6.0,4.33,2.0,2025-05-09 16:08:30
Maokai,1,0,7,8,6,0.0,1.62,7.0,8.0,6.0,2025-05-09 16:08:30
Dr. Mundo,1,0,6,4,3,0.0,2.25,6.0,4.0,3.0,2025-05-09 16:08:30
Urgot,1,1,13,3,4,100.0,5.67,13.0,3.0,4.0,2025-05-09 16:08:30
Reksai,1,0,5,4,2,0.0,1.75,5.0,4.0,2.0,2025-05-09 16:08:30
KhaZix,2,2,11,6,16,100.0,4.5,5.5,3.0,8.0,2025-05-09 16:08:30
Nidalee,2,1,8,11,13,50.0,1.91,4.0,5.5,6.5,2025-05-09 16:08:30
Alistar,1,1,3,3,9,100.0,4.0,3.0,3.0,9.0,2025-05-09 16:08:30
Pantheon,1,1,9,4,6,100.0,3.75,9.0,4.0,6.0,2025-05-09 16:08:30
Singed,1,1,4,2,5,100.0,4.5,4.0,2.0,5.0,2025-05-09 16:08:30
Ekko,1,0,8,4,4,0.0,3.0,8.0,4.0,4.0,2025-05-09 16:08:30
