opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,1,0,3,3,1,0.0,1.33,3.0,3.0,1.0,2025-05-09 16:08:30
Naafiri,3,0,13,14,35,0.0,3.43,4.33,4.67,11.67,2025-05-09 16:08:30
Volibear,1,1,0,2,12,100.0,6.0,0.0,2.0,12.0,2025-05-09 16:08:30
Kindred,1,1,3,2,12,100.0,7.5,3.0,2.0,12.0,2025-05-09 16:08:30
Darius,2,0,6,8,28,0.0,4.25,3.0,4.0,14.0,2025-05-09 16:08:30
Fiddlesticks,1,0,2,2,0,0.0,1.0,2.0,2.0,0.0,2025-05-09 16:08:30
Aatrox,1,1,3,5,15,100.0,3.6,3.0,5.0,15.0,2025-05-09 16:08:30
Talon,1,1,7,0,8,100.0,15.0,7.0,0.0,8.0,2025-05-09 16:08:30
Gwen,1,0,5,3,6,0.0,3.67,5.0,3.0,6.0,2025-05-09 16:08:30
Lillia,1,0,5,3,13,0.0,6.0,5.0,3.0,13.0,2025-05-09 16:08:30
Ekko,1,0,1,6,4,0.0,0.83,1.0,6.0,4.0,2025-05-09 16:08:30
Xin Zhao,1,0,3,5,10,0.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Jarvan Iv,1,1,8,1,11,100.0,19.0,8.0,1.0,11.0,2025-05-09 16:08:30
Wukong,1,1,10,2,12,100.0,11.0,10.0,2.0,12.0,2025-05-09 16:08:30
Zyra,1,0,3,5,7,0.0,2.0,3.0,5.0,7.0,2025-05-09 16:08:30
