opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Sona,5,3,21,25,64,60.0,3.4,4.2,5.0,12.8,2025-05-09 16:08:30
Nautilus,11,7,27,51,114,63.64,2.76,2.45,4.64,10.36,2025-05-09 16:08:30
Lulu,9,6,32,36,128,66.67,4.44,3.56,4.0,14.22,2025-05-09 16:08:30
Nami,13,9,25,65,177,69.23,3.11,1.92,5.0,13.62,2025-05-09 16:08:30
Blitzcrank,3,2,11,16,45,66.67,3.5,3.67,5.33,15.0,2025-05-09 16:08:30
Seraphine,3,1,6,13,39,33.33,3.46,2.0,4.33,13.0,2025-05-09 16:08:30
Rakan,5,3,14,21,77,60.0,4.33,2.8,4.2,15.4,2025-05-09 16:08:30
Thresh,4,2,7,24,50,50.0,2.38,1.75,6.0,12.5,2025-05-09 16:08:30
Sylas,1,1,6,1,13,100.0,19.0,6.0,1.0,13.0,2025-05-09 16:08:30
Braum,3,2,6,18,55,66.67,3.39,2.0,6.0,18.33,2025-05-09 16:08:30
Milio,2,2,3,4,20,100.0,5.75,1.5,2.0,10.0,2025-05-09 16:08:30
Zac,1,0,1,8,17,0.0,2.25,1.0,8.0,17.0,2025-05-09 16:08:30
Rell,2,2,9,7,35,100.0,6.29,4.5,3.5,17.5,2025-05-09 16:08:30
Pantheon,1,1,4,2,14,100.0,9.0,4.0,2.0,14.0,2025-05-09 16:08:30
Karma,8,4,18,35,67,50.0,2.43,2.25,4.38,8.38,2025-05-09 16:08:30
Bard,5,4,16,24,74,80.0,3.75,3.2,4.8,14.8,2025-05-09 16:08:30
Pyke,4,1,11,29,35,25.0,1.59,2.75,7.25,8.75,2025-05-09 16:08:30
Neeko,2,2,6,11,41,100.0,4.27,3.0,5.5,20.5,2025-05-09 16:08:30
Soraka,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,2025-05-09 16:08:30
Shen,1,1,3,8,37,100.0,5.0,3.0,8.0,37.0,2025-05-09 16:08:30
Renata,1,0,3,5,8,0.0,2.2,3.0,5.0,8.0,2025-05-09 16:08:30
Twisted Fate,1,1,2,0,9,100.0,11.0,2.0,0.0,9.0,2025-05-09 16:08:30
Zilean,3,3,10,21,82,100.0,4.38,3.33,7.0,27.33,2025-05-09 16:08:30
Janna,3,2,10,14,47,66.67,4.07,3.33,4.67,15.67,2025-05-09 16:08:30
Ashe,1,0,1,4,5,0.0,1.5,1.0,4.0,5.0,2025-05-09 16:08:30
Poppy,1,0,3,5,33,0.0,7.2,3.0,5.0,33.0,2025-05-09 16:08:30
