opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Skarner,2,0,17,18,25,0.0,2.33,8.5,9.0,12.5,2025-05-09 16:08:30
Neeko,1,0,7,3,4,0.0,3.67,7.0,3.0,4.0,2025-05-09 16:08:30
Zed,3,1,9,11,13,33.33,2.0,3.0,3.67,4.33,2025-05-09 16:08:30
Ekko,3,1,17,13,23,33.33,3.08,5.67,4.33,7.67,2025-05-09 16:08:30
Lee Sin,5,1,28,24,51,20.0,3.29,5.6,4.8,10.2,2025-05-09 16:08:30
Viego,4,3,40,18,47,75.0,4.83,10.0,4.5,11.75,2025-05-09 16:08:30
Gwen,2,1,23,12,17,50.0,3.33,11.5,6.0,8.5,2025-05-09 16:08:30
Pantheon,3,2,21,8,34,66.67,6.88,7.0,2.67,11.33,2025-05-09 16:08:30
Xin Zhao,1,1,4,2,17,100.0,10.5,4.0,2.0,17.0,2025-05-09 16:08:30
Taric,1,1,4,1,4,100.0,8.0,4.0,1.0,4.0,2025-05-09 16:08:30
Graves,1,0,1,1,5,0.0,6.0,1.0,1.0,5.0,2025-05-09 16:08:30
Volibear,2,1,11,18,32,50.0,2.39,5.5,9.0,16.0,2025-05-09 16:08:30
Zyra,1,1,7,2,11,100.0,9.0,7.0,2.0,11.0,2025-05-09 16:08:30
Master Yi,1,1,4,2,13,100.0,8.5,4.0,2.0,13.0,2025-05-09 16:08:30
Warwick,1,1,12,6,13,100.0,4.17,12.0,6.0,13.0,2025-05-09 16:08:30
Rengar,1,0,5,11,13,0.0,1.64,5.0,11.0,13.0,2025-05-09 16:08:30
Naafiri,2,1,23,7,17,50.0,5.71,11.5,3.5,8.5,2025-05-09 16:08:30
Ambessa,1,1,6,6,14,100.0,3.33,6.0,6.0,14.0,2025-05-09 16:08:30
Hecarim,2,0,5,11,18,0.0,2.09,2.5,5.5,9.0,2025-05-09 16:08:30
Nidalee,2,1,12,8,20,50.0,4.0,6.0,4.0,10.0,2025-05-09 16:08:30
Lillia,3,2,21,17,22,66.67,2.53,7.0,5.67,7.33,2025-05-09 16:08:30
Vi,2,0,14,10,12,0.0,2.6,7.0,5.0,6.0,2025-05-09 16:08:30
Dr. Mundo,1,1,6,5,15,100.0,4.2,6.0,5.0,15.0,2025-05-09 16:08:30
Udyr,1,1,5,3,5,100.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
