opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gnar,3,2,5,5,12,66.67,3.4,1.67,1.67,4.0,2025-05-09 16:08:30
Urgot,1,1,4,7,20,100.0,3.43,4.0,7.0,20.0,2025-05-09 16:08:30
Azir,3,1,9,8,19,33.33,3.5,3.0,2.67,6.33,2025-05-09 16:08:30
Riven,2,1,5,13,17,50.0,1.69,2.5,6.5,8.5,2025-05-09 16:08:30
Aurora,1,0,9,9,8,0.0,1.89,9.0,9.0,8.0,2025-05-09 16:08:30
Warwick,1,1,7,3,10,100.0,5.67,7.0,3.0,10.0,2025-05-09 16:08:30
Gangplank,1,0,7,9,9,0.0,1.78,7.0,9.0,9.0,2025-05-09 16:08:30
Sion,1,1,2,3,13,100.0,5.0,2.0,3.0,13.0,2025-05-09 16:08:30
Renekton,1,0,2,5,5,0.0,1.4,2.0,5.0,5.0,2025-05-09 16:08:30
Ambessa,7,2,19,31,37,28.57,1.81,2.71,4.43,5.29,2025-05-09 16:08:30
KSante,1,0,6,5,7,0.0,2.6,6.0,5.0,7.0,2025-05-09 16:08:30
Singed,1,0,2,2,2,0.0,2.0,2.0,2.0,2.0,2025-05-09 16:08:30
Volibear,1,1,8,2,15,100.0,11.5,8.0,2.0,15.0,2025-05-09 16:08:30
Yorick,1,0,4,5,2,0.0,1.2,4.0,5.0,2.0,2025-05-09 16:08:30
Senna,1,0,5,12,7,0.0,1.0,5.0,12.0,7.0,2025-05-09 16:08:30
Tryndamere,1,0,1,3,2,0.0,1.0,1.0,3.0,2.0,2025-05-09 16:08:30
Seraphine,1,1,2,9,14,100.0,1.78,2.0,9.0,14.0,2025-05-09 16:08:30
Braum,1,1,2,9,20,100.0,2.44,2.0,9.0,20.0,2025-05-09 16:08:30
Jax,2,1,4,0,13,50.0,17.0,2.0,0.0,6.5,2025-05-09 16:08:30
Zac,1,1,0,4,5,100.0,1.25,0.0,4.0,5.0,2025-05-09 16:08:30
Swain,2,1,7,17,26,50.0,1.94,3.5,8.5,13.0,2025-05-09 16:08:30
Leona,1,1,2,2,12,100.0,7.0,2.0,2.0,12.0,2025-05-09 16:08:30
Chogath,1,1,2,1,6,100.0,8.0,2.0,1.0,6.0,2025-05-09 16:08:30
Jayce,1,0,5,5,10,0.0,3.0,5.0,5.0,10.0,2025-05-09 16:08:30
Darius,1,0,1,3,2,0.0,1.0,1.0,3.0,2.0,2025-05-09 16:08:30
Illaoi,1,1,5,3,9,100.0,4.67,5.0,3.0,9.0,2025-05-09 16:08:30
Sylas,1,0,4,6,10,0.0,2.33,4.0,6.0,10.0,2025-05-09 16:08:30
Ryze,1,1,4,2,11,100.0,7.5,4.0,2.0,11.0,2025-05-09 16:08:30
Camille,1,0,5,2,16,0.0,10.5,5.0,2.0,16.0,2025-05-09 16:08:30
Aatrox,1,1,2,1,5,100.0,7.0,2.0,1.0,5.0,2025-05-09 16:08:30
Mordekaiser,1,0,0,6,15,0.0,2.5,0.0,6.0,15.0,2025-05-09 16:08:30
Fiora,1,1,4,1,5,100.0,9.0,4.0,1.0,5.0,2025-05-09 16:08:30
Nautilus,1,1,2,3,12,100.0,4.67,2.0,3.0,12.0,2025-05-09 16:08:30
Yone,1,0,0,3,5,0.0,1.67,0.0,3.0,5.0,2025-05-09 16:08:30
LeBlanc,1,0,2,3,5,0.0,2.33,2.0,3.0,5.0,2025-05-09 16:08:30
Gragas,1,1,7,4,12,100.0,4.75,7.0,4.0,12.0,2025-05-09 16:08:30
Vladimir,2,1,14,10,24,50.0,3.8,7.0,5.0,12.0,2025-05-09 16:08:30
