opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Pyke,7,5,15,53,122,71.43,2.58,2.14,7.57,17.43,2025-05-09 16:08:30
Rell,7,6,13,34,98,85.71,3.26,1.86,4.86,14.0,2025-05-09 16:08:30
Bard,8,5,15,46,129,62.5,3.13,1.88,5.75,16.12,2025-05-09 16:08:30
Senna,4,2,5,26,45,50.0,1.92,1.25,6.5,11.25,2025-05-09 16:08:30
Janna,4,4,8,31,74,100.0,2.65,2.0,7.75,18.5,2025-05-09 16:08:30
Lulu,8,2,5,49,97,25.0,2.08,0.62,6.12,12.12,2025-05-09 16:08:30
Rakan,1,1,1,5,22,100.0,4.6,1.0,5.0,22.0,2025-05-09 16:08:30
Leona,4,2,7,22,40,50.0,2.14,1.75,5.5,10.0,2025-05-09 16:08:30
Braum,4,1,2,27,60,25.0,2.3,0.5,6.75,15.0,2025-05-09 16:08:30
Nautilus,5,3,16,40,84,60.0,2.5,3.2,8.0,16.8,2025-05-09 16:08:30
Poppy,2,0,1,16,35,0.0,2.25,0.5,8.0,17.5,2025-05-09 16:08:30
Galio,2,2,3,4,25,100.0,7.0,1.5,2.0,12.5,2025-05-09 16:08:30
Blitzcrank,6,4,11,25,88,66.67,3.96,1.83,4.17,14.67,2025-05-09 16:08:30
Zilean,3,2,8,9,40,66.67,5.33,2.67,3.0,13.33,2025-05-09 16:08:30
Lux,3,2,5,13,39,66.67,3.38,1.67,4.33,13.0,2025-05-09 16:08:30
Karma,7,4,11,39,84,57.14,2.44,1.57,5.57,12.0,2025-05-09 16:08:30
Nami,12,8,25,57,183,66.67,3.65,2.08,4.75,15.25,2025-05-09 16:08:30
Sona,1,1,2,6,13,100.0,2.5,2.0,6.0,13.0,2025-05-09 16:08:30
LeBlanc,1,0,0,7,6,0.0,0.86,0.0,7.0,6.0,2025-05-09 16:08:30
Pantheon,3,2,6,14,63,66.67,4.93,2.0,4.67,21.0,2025-05-09 16:08:30
Tahm Kench,2,1,3,8,15,50.0,2.25,1.5,4.0,7.5,2025-05-09 16:08:30
Seraphine,3,2,3,20,42,66.67,2.25,1.0,6.67,14.0,2025-05-09 16:08:30
Neeko,5,4,12,47,116,80.0,2.72,2.4,9.4,23.2,2025-05-09 16:08:30
Soraka,2,1,3,10,30,50.0,3.3,1.5,5.0,15.0,2025-05-09 16:08:30
Yuumi,1,0,4,1,13,0.0,17.0,4.0,1.0,13.0,2025-05-09 16:08:30
Renata,1,1,0,4,15,100.0,3.75,0.0,4.0,15.0,2025-05-09 16:08:30
Milio,1,1,0,4,22,100.0,5.5,0.0,4.0,22.0,2025-05-09 16:08:30
Quinn,1,0,2,7,11,0.0,1.86,2.0,7.0,11.0,2025-05-09 16:08:30
Alistar,1,1,4,1,14,100.0,18.0,4.0,1.0,14.0,2025-05-09 16:08:30
Taric,1,0,2,8,13,0.0,1.88,2.0,8.0,13.0,2025-05-09 16:08:30
Kayn,1,0,2,6,14,0.0,2.67,2.0,6.0,14.0,2025-05-09 16:08:30
Mel,1,1,3,3,23,100.0,8.67,3.0,3.0,23.0,2025-05-09 16:08:30
