opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Anivia,2,0,6,13,8,0.0,1.08,3.0,6.5,4.0,2025-05-09 16:08:30
Gwen,3,2,27,10,7,66.67,3.4,9.0,3.33,2.33,2025-05-09 16:08:30
Jayce,4,0,11,22,10,0.0,0.95,2.75,5.5,2.5,2025-05-09 16:08:30
Teemo,2,1,4,6,9,50.0,2.17,2.0,3.0,4.5,2025-05-09 16:08:30
Garen,3,2,23,9,7,66.67,3.33,7.67,3.0,2.33,2025-05-09 16:08:30
Rumble,1,1,7,4,1,100.0,2.0,7.0,4.0,1.0,2025-05-09 16:08:30
Vladimir,1,1,6,6,7,100.0,2.17,6.0,6.0,7.0,2025-05-09 16:08:30
Dr. Mundo,1,1,7,6,7,100.0,2.33,7.0,6.0,7.0,2025-05-09 16:08:30
Poppy,3,1,5,13,1,33.33,0.46,1.67,4.33,0.33,2025-05-09 16:08:30
Maokai,1,0,8,7,9,0.0,2.43,8.0,7.0,9.0,2025-05-09 16:08:30
Orianna,2,0,6,8,4,0.0,1.25,3.0,4.0,2.0,2025-05-09 16:08:30
Ambessa,3,3,26,6,12,100.0,6.33,8.67,2.0,4.0,2025-05-09 16:08:30
Yone,1,0,0,4,2,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Shen,1,1,0,1,2,100.0,2.0,0.0,1.0,2.0,2025-05-09 16:08:30
Fiora,1,0,1,4,2,0.0,0.75,1.0,4.0,2.0,2025-05-09 16:08:30
Renekton,1,1,7,8,10,100.0,2.12,7.0,8.0,10.0,2025-05-09 16:08:30
Riven,1,0,5,3,3,0.0,2.67,5.0,3.0,3.0,2025-05-09 16:08:30
Chogath,1,0,3,2,2,0.0,2.5,3.0,2.0,2.0,2025-05-09 16:08:30
Urgot,1,0,3,4,4,0.0,1.75,3.0,4.0,4.0,2025-05-09 16:08:30
Camille,1,1,7,5,13,100.0,4.0,7.0,5.0,13.0,2025-05-09 16:08:30
Kennen,2,0,11,2,5,0.0,8.0,5.5,1.0,2.5,2025-05-09 16:08:30
Varus,1,1,7,1,5,100.0,12.0,7.0,1.0,5.0,2025-05-09 16:08:30
KSante,1,1,12,2,7,100.0,9.5,12.0,2.0,7.0,2025-05-09 16:08:30
Vayne,1,1,5,0,5,100.0,10.0,5.0,0.0,5.0,2025-05-09 16:08:30
Sion,1,1,2,1,4,100.0,6.0,2.0,1.0,4.0,2025-05-09 16:08:30
Aurelion Sol,1,1,11,4,3,100.0,3.5,11.0,4.0,3.0,2025-05-09 16:08:30
Nasus,1,0,5,6,3,0.0,1.33,5.0,6.0,3.0,2025-05-09 16:08:30
Zilean,1,1,7,8,5,100.0,1.5,7.0,8.0,5.0,2025-05-09 16:08:30
Gnar,1,1,6,3,5,100.0,3.67,6.0,3.0,5.0,2025-05-09 16:08:30
Kled,1,0,0,4,2,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Sett,1,0,4,7,0,0.0,0.57,4.0,7.0,0.0,2025-05-09 16:08:30
Illaoi,1,1,6,8,1,100.0,0.88,6.0,8.0,1.0,2025-05-09 16:08:30
Wukong,1,0,6,7,9,0.0,2.14,6.0,7.0,9.0,2025-05-09 16:08:30
Kayle,1,1,4,4,8,100.0,3.0,4.0,4.0,8.0,2025-05-09 16:08:30
