opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,1,0,2,5,11,0.0,2.6,2.0,5.0,11.0,2025-05-09 16:08:30
Vi,7,7,54,26,75,100.0,4.96,7.71,3.71,10.71,2025-05-09 16:08:30
Lee Sin,4,1,12,12,20,25.0,2.67,3.0,3.0,5.0,2025-05-09 16:08:30
Jarvan Iv,3,1,8,16,16,33.33,1.5,2.67,5.33,5.33,2025-05-09 16:08:30
Darius,1,1,3,5,13,100.0,3.2,3.0,5.0,13.0,2025-05-09 16:08:30
Volibear,2,2,13,7,8,100.0,3.0,6.5,3.5,4.0,2025-05-09 16:08:30
Naafiri,1,0,2,3,3,0.0,1.67,2.0,3.0,3.0,2025-05-09 16:08:30
Aatrox,1,0,2,6,3,0.0,0.83,2.0,6.0,3.0,2025-05-09 16:08:30
Quinn,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,2025-05-09 16:08:30
Ornn,1,0,1,8,1,0.0,0.25,1.0,8.0,1.0,2025-05-09 16:08:30
Pantheon,2,1,14,7,14,50.0,4.0,7.0,3.5,7.0,2025-05-09 16:08:30
Xin Zhao,1,1,4,11,8,100.0,1.09,4.0,11.0,8.0,2025-05-09 16:08:30
Nidalee,1,0,1,5,3,0.0,0.8,1.0,5.0,3.0,2025-05-09 16:08:30
Lillia,4,3,36,13,43,75.0,6.08,9.0,3.25,10.75,2025-05-09 16:08:30
Maokai,1,1,11,6,25,100.0,6.0,11.0,6.0,25.0,2025-05-09 16:08:30
Rammus,2,1,6,8,15,50.0,2.62,3.0,4.0,7.5,2025-05-09 16:08:30
Aurora,1,0,1,5,0,0.0,0.2,1.0,5.0,0.0,2025-05-09 16:08:30
Nocturne,1,0,3,2,1,0.0,2.0,3.0,2.0,1.0,2025-05-09 16:08:30
Shaco,1,0,1,3,2,0.0,1.0,1.0,3.0,2.0,2025-05-09 16:08:30
Skarner,1,0,4,11,6,0.0,0.91,4.0,11.0,6.0,2025-05-09 16:08:30
Gwen,1,0,4,4,4,0.0,2.0,4.0,4.0,4.0,2025-05-09 16:08:30
Qiyana,1,0,7,6,9,0.0,2.67,7.0,6.0,9.0,2025-05-09 16:08:30
Zed,1,1,13,4,11,100.0,6.0,13.0,4.0,11.0,2025-05-09 16:08:30
Viego,1,1,14,3,6,100.0,6.67,14.0,3.0,6.0,2025-05-09 16:08:30
Azir,1,1,7,5,6,100.0,2.6,7.0,5.0,6.0,2025-05-09 16:08:30
Neeko,2,1,7,10,21,50.0,2.8,3.5,5.0,10.5,2025-05-09 16:08:30
Ambessa,1,0,1,4,3,0.0,1.0,1.0,4.0,3.0,2025-05-09 16:08:30
Fiora,1,1,5,5,18,100.0,4.6,5.0,5.0,18.0,2025-05-09 16:08:30
Hecarim,1,1,8,1,7,100.0,15.0,8.0,1.0,7.0,2025-05-09 16:08:30
Graves,1,0,1,10,8,0.0,0.9,1.0,10.0,8.0,2025-05-09 16:08:30
