opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ziggs,1,0,2,9,4,0.0,0.67,2.0,9.0,4.0,2025-05-09 16:08:30
Ezreal,24,9,125,138,163,37.5,2.09,5.21,5.75,6.79,2025-05-09 16:08:30
Smolder,3,1,12,14,12,33.33,1.71,4.0,4.67,4.0,2025-05-09 16:08:30
Tristana,9,6,61,41,60,66.67,2.95,6.78,4.56,6.67,2025-05-09 16:08:30
Azir,1,1,7,4,11,100.0,4.5,7.0,4.0,11.0,2025-05-09 16:08:30
Kaisa,17,10,140,83,124,58.82,3.18,8.24,4.88,7.29,2025-05-09 16:08:30
Hwei,2,1,25,15,9,50.0,2.27,12.5,7.5,4.5,2025-05-09 16:08:30
Ashe,8,4,56,44,50,50.0,2.41,7.0,5.5,6.25,2025-05-09 16:08:30
Aurora,1,1,12,5,6,100.0,3.6,12.0,5.0,6.0,2025-05-09 16:08:30
Lucian,14,6,72,75,95,42.86,2.23,5.14,5.36,6.79,2025-05-09 16:08:30
Jhin,18,10,122,85,107,55.56,2.69,6.78,4.72,5.94,2025-05-09 16:08:30
Caitlyn,1,0,3,9,4,0.0,0.78,3.0,9.0,4.0,2025-05-09 16:08:30
Corki,7,3,22,33,30,42.86,1.58,3.14,4.71,4.29,2025-05-09 16:08:30
KSante,1,0,2,6,3,0.0,0.83,2.0,6.0,3.0,2025-05-09 16:08:30
Tryndamere,1,0,0,8,5,0.0,0.62,0.0,8.0,5.0,2025-05-09 16:08:30
Mel,3,2,15,16,22,66.67,2.31,5.0,5.33,7.33,2025-05-09 16:08:30
Cassiopeia,1,1,3,5,13,100.0,3.2,3.0,5.0,13.0,2025-05-09 16:08:30
Vayne,3,1,16,21,15,33.33,1.48,5.33,7.0,5.0,2025-05-09 16:08:30
KogMaw,1,1,13,5,15,100.0,5.6,13.0,5.0,15.0,2025-05-09 16:08:30
Sivir,3,1,21,14,26,33.33,3.36,7.0,4.67,8.67,2025-05-09 16:08:30
Aphelios,4,2,25,19,23,50.0,2.53,6.25,4.75,5.75,2025-05-09 16:08:30
Jinx,5,1,45,36,48,20.0,2.58,9.0,7.2,9.6,2025-05-09 16:08:30
Kalista,4,3,34,23,34,75.0,2.96,8.5,5.75,8.5,2025-05-09 16:08:30
Draven,3,3,32,15,28,100.0,4.0,10.67,5.0,9.33,2025-05-09 16:08:30
Miss Fortune,2,0,20,16,8,0.0,1.75,10.0,8.0,4.0,2025-05-09 16:08:30
Lux,1,0,5,9,3,0.0,0.89,5.0,9.0,3.0,2025-05-09 16:08:30
Twitch,5,4,21,20,21,80.0,2.1,4.2,4.0,4.2,2025-05-09 16:08:30
Syndra,1,1,14,8,17,100.0,3.88,14.0,8.0,17.0,2025-05-09 16:08:30
Swain,1,1,13,12,7,100.0,1.67,13.0,12.0,7.0,2025-05-09 16:08:30
Zeri,2,2,24,10,28,100.0,5.2,12.0,5.0,14.0,2025-05-09 16:08:30
Viktor,2,1,13,8,15,50.0,3.5,6.5,4.0,7.5,2025-05-09 16:08:30
Chogath,3,1,12,21,12,33.33,1.14,4.0,7.0,4.0,2025-05-09 16:08:30
Warwick,1,0,7,13,6,0.0,1.0,7.0,13.0,6.0,2025-05-09 16:08:30
Gnar,1,0,14,9,3,0.0,1.89,14.0,9.0,3.0,2025-05-09 16:08:30
Nilah,1,0,9,9,11,0.0,2.22,9.0,9.0,11.0,2025-05-09 16:08:30
Karthus,2,1,4,12,5,50.0,0.75,2.0,6.0,2.5,2025-05-09 16:08:30
