opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zilean,1,0,9,8,14,0.0,2.88,9.0,8.0,14.0,2025-05-09 16:08:30
Yone,1,0,0,5,0,0.0,0.0,0.0,5.0,0.0,2025-05-09 16:08:30
Malphite,1,1,10,2,1,100.0,5.5,10.0,2.0,1.0,2025-05-09 16:08:30
Lulu,1,1,5,4,12,100.0,4.25,5.0,4.0,12.0,2025-05-09 16:08:30
Elise,1,1,3,12,10,100.0,1.08,3.0,12.0,10.0,2025-05-09 16:08:30
Rakan,1,0,3,5,10,0.0,2.6,3.0,5.0,10.0,2025-05-09 16:08:30
Rell,3,2,9,24,40,66.67,2.04,3.0,8.0,13.33,2025-05-09 16:08:30
Poppy,1,0,2,7,11,0.0,1.86,2.0,7.0,11.0,2025-05-09 16:08:30
Nautilus,1,0,2,12,7,0.0,0.75,2.0,12.0,7.0,2025-05-09 16:08:30
Kaisa,2,0,4,18,9,0.0,0.72,2.0,9.0,4.5,2025-05-09 16:08:30
Urgot,1,1,5,6,11,100.0,2.67,5.0,6.0,11.0,2025-05-09 16:08:30
Nami,2,1,10,15,15,50.0,1.67,5.0,7.5,7.5,2025-05-09 16:08:30
Seraphine,1,1,4,5,9,100.0,2.6,4.0,5.0,9.0,2025-05-09 16:08:30
Akali,1,1,3,7,2,100.0,0.71,3.0,7.0,2.0,2025-05-09 16:08:30
Talon,1,1,8,6,8,100.0,2.67,8.0,6.0,8.0,2025-05-09 16:08:30
Viktor,1,0,1,10,0,0.0,0.1,1.0,10.0,0.0,2025-05-09 16:08:30
