opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Jayce,5,2,28,29,20,40.0,1.66,5.6,5.8,4.0,2025-05-09 16:08:30
Azir,3,2,21,14,28,66.67,3.5,7.0,4.67,9.33,2025-05-09 16:08:30
Aurora,6,2,12,23,14,33.33,1.13,2.0,3.83,2.33,2025-05-09 16:08:30
Gwen,2,1,5,14,12,50.0,1.21,2.5,7.0,6.0,2025-05-09 16:08:30
Urgot,3,1,15,14,17,33.33,2.29,5.0,4.67,5.67,2025-05-09 16:08:30
Ahri,3,2,12,4,4,66.67,4.0,4.0,1.33,1.33,2025-05-09 16:08:30
Fiora,2,2,12,7,10,100.0,3.14,6.0,3.5,5.0,2025-05-09 16:08:30
Gragas,3,2,13,18,13,66.67,1.44,4.33,6.0,4.33,2025-05-09 16:08:30
Zilean,2,0,6,8,3,0.0,1.12,3.0,4.0,1.5,2025-05-09 16:08:30
Orianna,2,1,14,8,8,50.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Sylas,2,2,13,9,13,100.0,2.89,6.5,4.5,6.5,2025-05-09 16:08:30
Teemo,1,1,1,5,8,100.0,1.8,1.0,5.0,8.0,2025-05-09 16:08:30
Ambessa,6,5,34,19,28,83.33,3.26,5.67,3.17,4.67,2025-05-09 16:08:30
Aatrox,6,3,36,34,30,50.0,1.94,6.0,5.67,5.0,2025-05-09 16:08:30
Sion,1,1,7,4,4,100.0,2.75,7.0,4.0,4.0,2025-05-09 16:08:30
Karma,1,0,9,9,2,0.0,1.22,9.0,9.0,2.0,2025-05-09 16:08:30
Volibear,1,1,6,3,12,100.0,6.0,6.0,3.0,12.0,2025-05-09 16:08:30
Jax,3,3,15,9,17,100.0,3.56,5.0,3.0,5.67,2025-05-09 16:08:30
Dr. Mundo,2,2,16,5,9,100.0,5.0,8.0,2.5,4.5,2025-05-09 16:08:30
KSante,4,2,25,13,15,50.0,3.08,6.25,3.25,3.75,2025-05-09 16:08:30
Singed,2,0,3,13,5,0.0,0.62,1.5,6.5,2.5,2025-05-09 16:08:30
Yone,6,3,43,32,33,50.0,2.38,7.17,5.33,5.5,2025-05-09 16:08:30
Gnar,1,0,6,8,7,0.0,1.62,6.0,8.0,7.0,2025-05-09 16:08:30
Chogath,1,1,8,2,2,100.0,5.0,8.0,2.0,2.0,2025-05-09 16:08:30
Ryze,9,2,34,40,25,22.22,1.48,3.78,4.44,2.78,2025-05-09 16:08:30
Tryndamere,1,0,5,4,4,0.0,2.25,5.0,4.0,4.0,2025-05-09 16:08:30
Veigar,2,1,13,8,15,50.0,3.5,6.5,4.0,7.5,2025-05-09 16:08:30
Twisted Fate,1,0,3,3,5,0.0,2.67,3.0,3.0,5.0,2025-05-09 16:08:30
Kennen,6,2,25,25,17,33.33,1.68,4.17,4.17,2.83,2025-05-09 16:08:30
Syndra,5,1,20,11,13,20.0,3.0,4.0,2.2,2.6,2025-05-09 16:08:30
Qiyana,1,1,7,2,4,100.0,5.5,7.0,2.0,4.0,2025-05-09 16:08:30
Rumble,3,2,14,17,16,66.67,1.76,4.67,5.67,5.33,2025-05-09 16:08:30
Zed,8,3,67,44,68,37.5,3.07,8.38,5.5,8.5,2025-05-09 16:08:30
Zoe,3,1,13,6,10,33.33,3.83,4.33,2.0,3.33,2025-05-09 16:08:30
Wukong,2,1,18,13,9,50.0,2.08,9.0,6.5,4.5,2025-05-09 16:08:30
Yasuo,4,4,23,13,18,100.0,3.15,5.75,3.25,4.5,2025-05-09 16:08:30
Akali,5,3,32,40,38,60.0,1.75,6.4,8.0,7.6,2025-05-09 16:08:30
Camille,2,1,11,8,6,50.0,2.12,5.5,4.0,3.0,2025-05-09 16:08:30
Tristana,2,0,10,6,10,0.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Galio,1,1,5,5,13,100.0,3.6,5.0,5.0,13.0,2025-05-09 16:08:30
Riven,2,1,9,8,11,50.0,2.5,4.5,4.0,5.5,2025-05-09 16:08:30
Talon,1,1,5,0,2,100.0,7.0,5.0,0.0,2.0,2025-05-09 16:08:30
Zac,1,0,3,9,5,0.0,0.89,3.0,9.0,5.0,2025-05-09 16:08:30
Gangplank,2,1,7,7,10,50.0,2.43,3.5,3.5,5.0,2025-05-09 16:08:30
Kassadin,3,2,16,12,20,66.67,3.0,5.33,4.0,6.67,2025-05-09 16:08:30
Naafiri,1,1,5,6,2,100.0,1.17,5.0,6.0,2.0,2025-05-09 16:08:30
Darius,3,2,16,16,19,66.67,2.19,5.33,5.33,6.33,2025-05-09 16:08:30
Taliyah,2,1,26,16,18,50.0,2.75,13.0,8.0,9.0,2025-05-09 16:08:30
Corki,1,1,4,6,7,100.0,1.83,4.0,6.0,7.0,2025-05-09 16:08:30
Jhin,1,0,2,7,2,0.0,0.57,2.0,7.0,2.0,2025-05-09 16:08:30
Viktor,2,1,8,5,15,50.0,4.6,4.0,2.5,7.5,2025-05-09 16:08:30
Yorick,2,1,12,9,4,50.0,1.78,6.0,4.5,2.0,2025-05-09 16:08:30
LeBlanc,1,1,5,3,5,100.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Renekton,1,1,7,4,6,100.0,3.25,7.0,4.0,6.0,2025-05-09 16:08:30
Xerath,1,1,10,1,8,100.0,18.0,10.0,1.0,8.0,2025-05-09 16:08:30
Nocturne,1,1,9,4,3,100.0,3.0,9.0,4.0,3.0,2025-05-09 16:08:30
Akshan,1,0,7,7,7,0.0,2.0,7.0,7.0,7.0,2025-05-09 16:08:30
Quinn,1,0,3,8,2,0.0,0.62,3.0,8.0,2.0,2025-05-09 16:08:30
Kled,1,0,3,6,1,0.0,0.67,3.0,6.0,1.0,2025-05-09 16:08:30
Ekko,1,1,8,3,11,100.0,6.33,8.0,3.0,11.0,2025-05-09 16:08:30
Malzahar,1,1,2,0,4,100.0,6.0,2.0,0.0,4.0,2025-05-09 16:08:30
Sett,2,1,13,8,11,50.0,3.0,6.5,4.0,5.5,2025-05-09 16:08:30
Swain,1,0,2,7,0,0.0,0.29,2.0,7.0,0.0,2025-05-09 16:08:30
Shen,2,1,20,12,14,50.0,2.83,10.0,6.0,7.0,2025-05-09 16:08:30
