opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Jayce,2,0,9,19,14,0.0,1.21,4.5,9.5,7.0,2025-05-09 16:08:30
Anivia,1,0,7,12,3,0.0,0.83,7.0,12.0,3.0,2025-05-09 16:08:30
Ambessa,3,3,26,13,20,100.0,3.54,8.67,4.33,6.67,2025-05-09 16:08:30
Shen,1,0,4,7,2,0.0,0.86,4.0,7.0,2.0,2025-05-09 16:08:30
Corki,1,0,4,8,3,0.0,0.88,4.0,8.0,3.0,2025-05-09 16:08:30
Shaco,1,0,9,10,5,0.0,1.4,9.0,10.0,5.0,2025-05-09 16:08:30
Gragas,2,2,18,14,13,100.0,2.21,9.0,7.0,6.5,2025-05-09 16:08:30
Reksai,1,1,5,9,11,100.0,1.78,5.0,9.0,11.0,2025-05-09 16:08:30
Zac,1,0,5,6,2,0.0,1.17,5.0,6.0,2.0,2025-05-09 16:08:30
Vi,1,1,11,12,19,100.0,2.5,11.0,12.0,19.0,2025-05-09 16:08:30
Pantheon,1,0,11,10,14,0.0,2.5,11.0,10.0,14.0,2025-05-09 16:08:30
Zed,1,1,14,12,5,100.0,1.58,14.0,12.0,5.0,2025-05-09 16:08:30
Naafiri,3,3,27,11,29,100.0,5.09,9.0,3.67,9.67,2025-05-09 16:08:30
Kled,1,1,8,5,8,100.0,3.2,8.0,5.0,8.0,2025-05-09 16:08:30
Jarvan Iv,1,0,3,8,2,0.0,0.62,3.0,8.0,2.0,2025-05-09 16:08:30
Lee Sin,1,0,5,8,6,0.0,1.38,5.0,8.0,6.0,2025-05-09 16:08:30
Varus,1,1,8,3,8,100.0,5.33,8.0,3.0,8.0,2025-05-09 16:08:30
Kayle,1,0,4,5,2,0.0,1.2,4.0,5.0,2.0,2025-05-09 16:08:30
Gnar,2,0,25,18,4,0.0,1.61,12.5,9.0,2.0,2025-05-09 16:08:30
Viego,3,1,25,21,14,33.33,1.86,8.33,7.0,4.67,2025-05-09 16:08:30
Darius,1,1,7,0,9,100.0,16.0,7.0,0.0,9.0,2025-05-09 16:08:30
Gwen,1,0,2,6,7,0.0,1.5,2.0,6.0,7.0,2025-05-09 16:08:30
Lillia,1,0,1,8,10,0.0,1.38,1.0,8.0,10.0,2025-05-09 16:08:30
Kindred,1,0,11,8,9,0.0,2.5,11.0,8.0,9.0,2025-05-09 16:08:30
Rammus,1,1,8,3,18,100.0,8.67,8.0,3.0,18.0,2025-05-09 16:08:30
Irelia,1,0,8,8,5,0.0,1.62,8.0,8.0,5.0,2025-05-09 16:08:30
Graves,1,1,7,6,10,100.0,2.83,7.0,6.0,10.0,2025-05-09 16:08:30
Ekko,1,0,3,12,3,0.0,0.5,3.0,12.0,3.0,2025-05-09 16:08:30
