opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Samira,2,2,12,8,15,100.0,3.38,6.0,4.0,7.5,2025-05-09 16:08:30
Neeko,1,1,13,6,14,100.0,4.5,13.0,6.0,14.0,2025-05-09 16:08:30
Syndra,1,1,11,5,14,100.0,5.0,11.0,5.0,14.0,2025-05-09 16:08:30
Kaisa,10,4,47,41,64,40.0,2.71,4.7,4.1,6.4,2025-05-09 16:08:30
Jhin,3,0,22,26,13,0.0,1.35,7.33,8.67,4.33,2025-05-09 16:08:30
Tristana,4,0,30,22,31,0.0,2.77,7.5,5.5,7.75,2025-05-09 16:08:30
Swain,1,0,2,4,0,0.0,0.5,2.0,4.0,0.0,2025-05-09 16:08:30
Lucian,5,2,18,23,44,40.0,2.7,3.6,4.6,8.8,2025-05-09 16:08:30
Corki,1,1,15,6,10,100.0,4.17,15.0,6.0,10.0,2025-05-09 16:08:30
Lissandra,1,1,10,4,5,100.0,3.75,10.0,4.0,5.0,2025-05-09 16:08:30
KogMaw,1,1,7,5,14,100.0,4.2,7.0,5.0,14.0,2025-05-09 16:08:30
Smolder,1,0,1,2,7,0.0,4.0,1.0,2.0,7.0,2025-05-09 16:08:30
Twitch,2,0,12,12,14,0.0,2.17,6.0,6.0,7.0,2025-05-09 16:08:30
Brand,2,2,4,8,10,100.0,1.75,2.0,4.0,5.0,2025-05-09 16:08:30
Ashe,2,2,28,12,26,100.0,4.5,14.0,6.0,13.0,2025-05-09 16:08:30
Jinx,3,1,21,13,21,33.33,3.23,7.0,4.33,7.0,2025-05-09 16:08:30
Sion,1,1,9,5,9,100.0,3.6,9.0,5.0,9.0,2025-05-09 16:08:30
Mel,2,0,12,8,14,0.0,3.25,6.0,4.0,7.0,2025-05-09 16:08:30
Chogath,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-05-09 16:08:30
Sivir,1,1,8,3,10,100.0,6.0,8.0,3.0,10.0,2025-05-09 16:08:30
