opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Sylas,2,0,0,12,14,0.0,1.17,0.0,6.0,7.0,2025-05-09 16:08:30
Braum,2,2,6,8,22,100.0,3.5,3.0,4.0,11.0,2025-05-09 16:08:30
Vladimir,2,2,5,1,25,100.0,30.0,2.5,0.5,12.5,2025-05-09 16:08:30
Syndra,2,1,7,14,35,50.0,3.0,3.5,7.0,17.5,2025-05-09 16:08:30
Bard,5,3,7,16,92,60.0,6.19,1.4,3.2,18.4,2025-05-09 16:08:30
Taric,1,1,0,4,34,100.0,8.5,0.0,4.0,34.0,2025-05-09 16:08:30
Lulu,10,7,28,53,183,70.0,3.98,2.8,5.3,18.3,2025-05-09 16:08:30
Rakan,6,2,12,31,78,33.33,2.9,2.0,5.17,13.0,2025-05-09 16:08:30
Milio,2,0,4,16,28,0.0,2.0,2.0,8.0,14.0,2025-05-09 16:08:30
Nautilus,3,1,7,25,42,33.33,1.96,2.33,8.33,14.0,2025-05-09 16:08:30
Sona,3,3,4,7,38,100.0,6.0,1.33,2.33,12.67,2025-05-09 16:08:30
VelKoz,1,1,2,4,26,100.0,7.0,2.0,4.0,26.0,2025-05-09 16:08:30
Leona,2,2,1,3,43,100.0,14.67,0.5,1.5,21.5,2025-05-09 16:08:30
Camille,1,0,3,11,8,0.0,1.0,3.0,11.0,8.0,2025-05-09 16:08:30
Alistar,2,2,6,13,32,100.0,2.92,3.0,6.5,16.0,2025-05-09 16:08:30
Brand,1,1,3,4,12,100.0,3.75,3.0,4.0,12.0,2025-05-09 16:08:30
Viktor,3,1,6,10,16,33.33,2.2,2.0,3.33,5.33,2025-05-09 16:08:30
Soraka,1,1,3,7,25,100.0,4.0,3.0,7.0,25.0,2025-05-09 16:08:30
Qiyana,1,1,6,3,10,100.0,5.33,6.0,3.0,10.0,2025-05-09 16:08:30
Nami,3,1,3,10,37,33.33,4.0,1.0,3.33,12.33,2025-05-09 16:08:30
Janna,1,0,1,10,13,0.0,1.4,1.0,10.0,13.0,2025-05-09 16:08:30
Twitch,1,0,0,7,4,0.0,0.57,0.0,7.0,4.0,2025-05-09 16:08:30
Poppy,1,1,2,7,15,100.0,2.43,2.0,7.0,15.0,2025-05-09 16:08:30
Rell,2,1,3,12,37,50.0,3.33,1.5,6.0,18.5,2025-05-09 16:08:30
Thresh,3,1,5,11,22,33.33,2.45,1.67,3.67,7.33,2025-05-09 16:08:30
Senna,3,0,6,33,51,0.0,1.73,2.0,11.0,17.0,2025-05-09 16:08:30
Yone,1,1,0,2,16,100.0,8.0,0.0,2.0,16.0,2025-05-09 16:08:30
Karma,3,0,5,14,18,0.0,1.64,1.67,4.67,6.0,2025-05-09 16:08:30
Galio,1,1,1,2,18,100.0,9.5,1.0,2.0,18.0,2025-05-09 16:08:30
Pantheon,1,1,2,6,14,100.0,2.67,2.0,6.0,14.0,2025-05-09 16:08:30
Pyke,1,1,2,1,16,100.0,18.0,2.0,1.0,16.0,2025-05-09 16:08:30
Neeko,1,1,1,3,25,100.0,8.67,1.0,3.0,25.0,2025-05-09 16:08:30
Twisted Fate,1,1,1,5,24,100.0,5.0,1.0,5.0,24.0,2025-05-09 16:08:30
Tryndamere,1,0,3,3,16,0.0,6.33,3.0,3.0,16.0,2025-05-09 16:08:30
Chogath,1,0,3,8,10,0.0,1.62,3.0,8.0,10.0,2025-05-09 16:08:30
Taliyah,1,1,5,2,21,100.0,13.0,5.0,2.0,21.0,2025-05-09 16:08:30
Renata,1,1,0,4,23,100.0,5.75,0.0,4.0,23.0,2025-05-09 16:08:30
