opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ezreal,18,12,113,95,185,66.67,3.14,6.28,5.28,10.28,2025-05-09 16:08:30
Jhin,20,13,98,132,213,65.0,2.36,4.9,6.6,10.65,2025-05-09 16:08:30
Kaisa,19,9,108,124,157,47.37,2.14,5.68,6.53,8.26,2025-05-09 16:08:30
Varus,7,4,43,41,63,57.14,2.59,6.14,5.86,9.0,2025-05-09 16:08:30
Kalista,10,4,55,53,80,40.0,2.55,5.5,5.3,8.0,2025-05-09 16:08:30
Miss Fortune,7,4,20,34,57,57.14,2.26,2.86,4.86,8.14,2025-05-09 16:08:30
Tristana,10,5,40,64,62,50.0,1.59,4.0,6.4,6.2,2025-05-09 16:08:30
Draven,5,1,19,34,43,20.0,1.82,3.8,6.8,8.6,2025-05-09 16:08:30
Fiddlesticks,1,1,2,8,28,100.0,3.75,2.0,8.0,28.0,2025-05-09 16:08:30
Sivir,2,1,9,15,20,50.0,1.93,4.5,7.5,10.0,2025-05-09 16:08:30
Corki,12,7,79,71,103,58.33,2.56,6.58,5.92,8.58,2025-05-09 16:08:30
Aphelios,4,2,38,23,47,50.0,3.7,9.5,5.75,11.75,2025-05-09 16:08:30
Thresh,1,1,6,6,22,100.0,4.67,6.0,6.0,22.0,2025-05-09 16:08:30
Caitlyn,6,3,36,40,57,50.0,2.33,6.0,6.67,9.5,2025-05-09 16:08:30
Jinx,2,1,15,12,22,50.0,3.08,7.5,6.0,11.0,2025-05-09 16:08:30
KogMaw,1,1,6,5,12,100.0,3.6,6.0,5.0,12.0,2025-05-09 16:08:30
Ahri,1,0,2,8,1,0.0,0.38,2.0,8.0,1.0,2025-05-09 16:08:30
Swain,1,0,6,7,5,0.0,1.57,6.0,7.0,5.0,2025-05-09 16:08:30
Poppy,2,2,12,4,30,100.0,10.5,6.0,2.0,15.0,2025-05-09 16:08:30
Xayah,5,2,13,25,32,40.0,1.8,2.6,5.0,6.4,2025-05-09 16:08:30
Brand,2,2,11,9,25,100.0,4.0,5.5,4.5,12.5,2025-05-09 16:08:30
Lucian,4,0,7,28,28,0.0,1.25,1.75,7.0,7.0,2025-05-09 16:08:30
Morgana,1,0,4,6,19,0.0,3.83,4.0,6.0,19.0,2025-05-09 16:08:30
Karma,1,0,4,4,3,0.0,1.75,4.0,4.0,3.0,2025-05-09 16:08:30
Leona,1,0,3,18,27,0.0,1.67,3.0,18.0,27.0,2025-05-09 16:08:30
Seraphine,3,1,9,18,15,33.33,1.33,3.0,6.0,5.0,2025-05-09 16:08:30
Neeko,1,0,5,5,18,0.0,4.6,5.0,5.0,18.0,2025-05-09 16:08:30
Xerath,1,1,8,11,16,100.0,2.18,8.0,11.0,16.0,2025-05-09 16:08:30
Nilah,1,0,4,6,16,0.0,3.33,4.0,6.0,16.0,2025-05-09 16:08:30
Blitzcrank,1,0,6,2,3,0.0,4.5,6.0,2.0,3.0,2025-05-09 16:08:30
Veigar,1,0,9,9,1,0.0,1.11,9.0,9.0,1.0,2025-05-09 16:08:30
Jayce,1,0,4,6,4,0.0,1.33,4.0,6.0,4.0,2025-05-09 16:08:30
Twitch,1,0,4,10,8,0.0,1.2,4.0,10.0,8.0,2025-05-09 16:08:30
Smolder,5,1,28,43,38,20.0,1.53,5.6,8.6,7.6,2025-05-09 16:08:30
Mel,1,0,0,8,2,0.0,0.25,0.0,8.0,2.0,2025-05-09 16:08:30
Anivia,1,0,9,9,13,0.0,2.44,9.0,9.0,13.0,2025-05-09 16:08:30
Katarina,1,1,23,3,10,100.0,11.0,23.0,3.0,10.0,2025-05-09 16:08:30
Karthus,1,0,5,6,8,0.0,2.17,5.0,6.0,8.0,2025-05-09 16:08:30
Soraka,1,0,2,9,9,0.0,1.22,2.0,9.0,9.0,2025-05-09 16:08:30
Yasuo,2,1,12,5,18,50.0,6.0,6.0,2.5,9.0,2025-05-09 16:08:30
Ziggs,1,1,0,4,13,100.0,3.25,0.0,4.0,13.0,2025-05-09 16:08:30
