opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lee Sin,2,2,22,4,20,100.0,10.5,11.0,2.0,10.0,2025-05-09 16:08:30
Aurora,11,8,63,56,84,72.73,2.62,5.73,5.09,7.64,2025-05-09 16:08:30
Viktor,9,4,50,50,57,44.44,2.14,5.56,5.56,6.33,2025-05-09 16:08:30
Taliyah,13,6,80,97,86,46.15,1.71,6.15,7.46,6.62,2025-05-09 16:08:30
Akali,9,7,65,45,70,77.78,3.0,7.22,5.0,7.78,2025-05-09 16:08:30
Ahri,19,9,105,103,120,47.37,2.18,5.53,5.42,6.32,2025-05-09 16:08:30
Ziggs,1,0,0,2,1,0.0,0.5,0.0,2.0,1.0,2025-05-09 16:08:30
Jayce,9,6,47,37,36,66.67,2.24,5.22,4.11,4.0,2025-05-09 16:08:30
Sett,2,0,8,12,6,0.0,1.17,4.0,6.0,3.0,2025-05-09 16:08:30
Malzahar,2,1,12,15,12,50.0,1.6,6.0,7.5,6.0,2025-05-09 16:08:30
Syndra,10,7,72,65,89,70.0,2.48,7.2,6.5,8.9,2025-05-09 16:08:30
Ryze,9,6,65,70,58,66.67,1.76,7.22,7.78,6.44,2025-05-09 16:08:30
Veigar,3,1,20,21,35,33.33,2.62,6.67,7.0,11.67,2025-05-09 16:08:30
Heimerdinger,3,3,15,12,14,100.0,2.42,5.0,4.0,4.67,2025-05-09 16:08:30
Anivia,2,1,13,10,8,50.0,2.1,6.5,5.0,4.0,2025-05-09 16:08:30
Tryndamere,3,2,12,22,19,66.67,1.41,4.0,7.33,6.33,2025-05-09 16:08:30
Ambessa,5,2,12,32,24,40.0,1.12,2.4,6.4,4.8,2025-05-09 16:08:30
LeBlanc,4,3,9,21,36,75.0,2.14,2.25,5.25,9.0,2025-05-09 16:08:30
Mel,7,3,39,39,53,42.86,2.36,5.57,5.57,7.57,2025-05-09 16:08:30
Sylas,16,9,114,82,98,56.25,2.59,7.12,5.12,6.12,2025-05-09 16:08:30
Hwei,4,2,29,22,16,50.0,2.05,7.25,5.5,4.0,2025-05-09 16:08:30
Karma,1,1,7,13,5,100.0,0.92,7.0,13.0,5.0,2025-05-09 16:08:30
Talon,3,0,19,13,11,0.0,2.31,6.33,4.33,3.67,2025-05-09 16:08:30
Akshan,1,0,6,9,8,0.0,1.56,6.0,9.0,8.0,2025-05-09 16:08:30
Yone,14,6,77,68,64,42.86,2.07,5.5,4.86,4.57,2025-05-09 16:08:30
Katarina,6,3,26,29,25,50.0,1.76,4.33,4.83,4.17,2025-05-09 16:08:30
Brand,1,1,10,4,8,100.0,4.5,10.0,4.0,8.0,2025-05-09 16:08:30
Twisted Fate,4,3,24,26,40,75.0,2.46,6.0,6.5,10.0,2025-05-09 16:08:30
Jax,3,2,19,21,13,66.67,1.52,6.33,7.0,4.33,2025-05-09 16:08:30
Riven,4,2,30,21,22,50.0,2.48,7.5,5.25,5.5,2025-05-09 16:08:30
Orianna,1,0,4,7,2,0.0,0.86,4.0,7.0,2.0,2025-05-09 16:08:30
Aatrox,3,3,16,17,30,100.0,2.71,5.33,5.67,10.0,2025-05-09 16:08:30
Irelia,2,0,4,14,10,0.0,1.0,2.0,7.0,5.0,2025-05-09 16:08:30
Zoe,5,2,29,35,31,40.0,1.71,5.8,7.0,6.2,2025-05-09 16:08:30
Ornn,1,1,2,2,1,100.0,1.5,2.0,2.0,1.0,2025-05-09 16:08:30
Vex,1,1,10,6,13,100.0,3.83,10.0,6.0,13.0,2025-05-09 16:08:30
Lissandra,3,0,24,21,20,0.0,2.1,8.0,7.0,6.67,2025-05-09 16:08:30
Kassadin,4,2,14,16,13,50.0,1.69,3.5,4.0,3.25,2025-05-09 16:08:30
Diana,3,1,10,15,11,33.33,1.4,3.33,5.0,3.67,2025-05-09 16:08:30
Swain,3,1,12,12,16,33.33,2.33,4.0,4.0,5.33,2025-05-09 16:08:30
Vladimir,7,4,31,29,26,57.14,1.97,4.43,4.14,3.71,2025-05-09 16:08:30
KSante,2,1,12,9,18,50.0,3.33,6.0,4.5,9.0,2025-05-09 16:08:30
Sion,1,1,8,11,15,100.0,2.09,8.0,11.0,15.0,2025-05-09 16:08:30
Kaisa,1,1,3,3,4,100.0,2.33,3.0,3.0,4.0,2025-05-09 16:08:30
Galio,1,0,5,5,5,0.0,2.0,5.0,5.0,5.0,2025-05-09 16:08:30
Ekko,3,0,10,17,14,0.0,1.41,3.33,5.67,4.67,2025-05-09 16:08:30
Gragas,2,1,8,12,8,50.0,1.33,4.0,6.0,4.0,2025-05-09 16:08:30
Renekton,1,0,2,2,0,0.0,1.0,2.0,2.0,0.0,2025-05-09 16:08:30
Seraphine,2,0,5,7,6,0.0,1.57,2.5,3.5,3.0,2025-05-09 16:08:30
Nasus,1,1,6,3,0,100.0,2.0,6.0,3.0,0.0,2025-05-09 16:08:30
Nocturne,1,1,11,5,6,100.0,3.4,11.0,5.0,6.0,2025-05-09 16:08:30
Gangplank,2,2,3,3,10,100.0,4.33,1.5,1.5,5.0,2025-05-09 16:08:30
Corki,1,1,4,1,2,100.0,6.0,4.0,1.0,2.0,2025-05-09 16:08:30
Lux,4,4,16,12,15,100.0,2.58,4.0,3.0,3.75,2025-05-09 16:08:30
