opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Lillia,1,0,9,9,5,0.0,1.56,9.0,9.0,5.0,2025-05-09 16:08:30
Zed,1,1,11,1,7,100.0,18.0,11.0,1.0,7.0,2025-05-09 16:08:30
Pantheon,1,1,18,9,14,100.0,3.56,18.0,9.0,14.0,2025-05-09 16:08:30
Viego,1,1,12,2,7,100.0,9.5,12.0,2.0,7.0,2025-05-09 16:08:30
Volibear,1,0,6,7,4,0.0,1.43,6.0,7.0,4.0,2025-05-09 16:08:30
Shaco,1,0,3,6,7,0.0,1.67,3.0,6.0,7.0,2025-05-09 16:08:30
Taliyah,1,1,10,5,9,100.0,3.8,10.0,5.0,9.0,2025-05-09 16:08:30
Naafiri,2,0,14,15,13,0.0,1.8,7.0,7.5,6.5,2025-05-09 16:08:30
Kayn,1,1,5,7,13,100.0,2.57,5.0,7.0,13.0,2025-05-09 16:08:30
Nidalee,2,1,12,12,12,50.0,2.0,6.0,6.0,6.0,2025-05-09 16:08:30
Qiyana,1,0,5,3,5,0.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Maokai,1,0,2,5,4,0.0,1.2,2.0,5.0,4.0,2025-05-09 16:08:30
Vi,2,0,10,12,3,0.0,1.08,5.0,6.0,1.5,2025-05-09 16:08:30
Rammus,1,0,9,7,13,0.0,3.14,9.0,7.0,13.0,2025-05-09 16:08:30
Talon,1,1,13,3,8,100.0,7.0,13.0,3.0,8.0,2025-05-09 16:08:30
Graves,1,0,1,4,4,0.0,1.25,1.0,4.0,4.0,2025-05-09 16:08:30
Xin Zhao,1,0,3,6,7,0.0,1.67,3.0,6.0,7.0,2025-05-09 16:08:30
Zyra,1,0,1,5,1,0.0,0.4,1.0,5.0,1.0,2025-05-09 16:08:30
Vayne,1,0,5,11,8,0.0,1.18,5.0,11.0,8.0,2025-05-09 16:08:30
Ekko,1,0,2,10,0,0.0,0.2,2.0,10.0,0.0,2025-05-09 16:08:30
