opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Zac,3,3,36,10,37,100.0,7.3,12.0,3.33,12.33,2025-05-09 16:08:30
Lulu,2,0,8,28,28,0.0,1.29,4.0,14.0,14.0,2025-05-09 16:08:30
Syndra,2,0,17,6,10,0.0,4.5,8.5,3.0,5.0,2025-05-09 16:08:30
Orianna,2,0,8,12,4,0.0,1.0,4.0,6.0,2.0,2025-05-09 16:08:30
Corki,3,1,19,18,25,33.33,2.44,6.33,6.0,8.33,2025-05-09 16:08:30
Yorick,1,0,12,5,10,0.0,4.4,12.0,5.0,10.0,2025-05-09 16:08:30
Swain,1,0,7,9,3,0.0,1.11,7.0,9.0,3.0,2025-05-09 16:08:30
Ryze,5,4,34,24,62,80.0,4.0,6.8,4.8,12.4,2025-05-09 16:08:30
Smolder,3,3,34,4,16,100.0,12.5,11.33,1.33,5.33,2025-05-09 16:08:30
Darius,2,1,5,8,19,50.0,3.0,2.5,4.0,9.5,2025-05-09 16:08:30
Galio,1,1,5,5,5,100.0,2.0,5.0,5.0,5.0,2025-05-09 16:08:30
Viktor,2,1,5,7,17,50.0,3.14,2.5,3.5,8.5,2025-05-09 16:08:30
Jhin,4,2,38,27,26,50.0,2.37,9.5,6.75,6.5,2025-05-09 16:08:30
Taliyah,4,1,31,13,19,25.0,3.85,7.75,3.25,4.75,2025-05-09 16:08:30
Rengar,1,1,10,2,8,100.0,9.0,10.0,2.0,8.0,2025-05-09 16:08:30
Naafiri,3,0,11,16,14,0.0,1.56,3.67,5.33,4.67,2025-05-09 16:08:30
Shen,4,1,13,31,18,25.0,1.0,3.25,7.75,4.5,2025-05-09 16:08:30
Ambessa,6,3,40,36,18,50.0,1.61,6.67,6.0,3.0,2025-05-09 16:08:30
Lissandra,1,0,0,7,6,0.0,0.86,0.0,7.0,6.0,2025-05-09 16:08:30
Yone,4,2,33,18,36,50.0,3.83,8.25,4.5,9.0,2025-05-09 16:08:30
Zed,4,2,22,21,23,50.0,2.14,5.5,5.25,5.75,2025-05-09 16:08:30
Ahri,3,3,20,17,20,100.0,2.35,6.67,5.67,6.67,2025-05-09 16:08:30
Gragas,2,1,9,14,12,50.0,1.5,4.5,7.0,6.0,2025-05-09 16:08:30
Yasuo,4,2,19,20,16,50.0,1.75,4.75,5.0,4.0,2025-05-09 16:08:30
Zeri,1,1,14,1,13,100.0,27.0,14.0,1.0,13.0,2025-05-09 16:08:30
Tristana,7,3,54,36,62,42.86,3.22,7.71,5.14,8.86,2025-05-09 16:08:30
Aphelios,1,0,5,6,8,0.0,2.17,5.0,6.0,8.0,2025-05-09 16:08:30
Vladimir,4,3,13,24,25,75.0,1.58,3.25,6.0,6.25,2025-05-09 16:08:30
Urgot,1,0,1,3,3,0.0,1.33,1.0,3.0,3.0,2025-05-09 16:08:30
Xerath,1,0,1,4,2,0.0,0.75,1.0,4.0,2.0,2025-05-09 16:08:30
Irelia,5,2,31,20,29,40.0,3.0,6.2,4.0,5.8,2025-05-09 16:08:30
Renekton,1,0,3,7,3,0.0,0.86,3.0,7.0,3.0,2025-05-09 16:08:30
Kled,1,0,3,13,6,0.0,0.69,3.0,13.0,6.0,2025-05-09 16:08:30
Zoe,1,1,5,3,5,100.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Camille,1,1,10,10,12,100.0,2.2,10.0,10.0,12.0,2025-05-09 16:08:30
