opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Gnar,9,6,68,45,38,66.67,2.36,7.56,5.0,4.22,2025-05-09 16:08:30
Ambessa,8,5,66,40,28,62.5,2.35,8.25,5.0,3.5,2025-05-09 16:08:30
Jayce,10,4,56,55,29,40.0,1.55,5.6,5.5,2.9,2025-05-09 16:08:30
Olaf,2,0,5,15,6,0.0,0.73,2.5,7.5,3.0,2025-05-09 16:08:30
Chogath,2,1,9,16,6,50.0,0.94,4.5,8.0,3.0,2025-05-09 16:08:30
Fiddlesticks,2,1,20,13,19,50.0,3.0,10.0,6.5,9.5,2025-05-09 16:08:30
Poppy,4,3,23,10,14,75.0,3.7,5.75,2.5,3.5,2025-05-09 16:08:30
Shen,2,0,2,13,1,0.0,0.23,1.0,6.5,0.5,2025-05-09 16:08:30
Nunu & Willump,1,0,9,8,8,0.0,2.12,9.0,8.0,8.0,2025-05-09 16:08:30
Taric,1,1,7,3,9,100.0,5.33,7.0,3.0,9.0,2025-05-09 16:08:30
Ivern,1,0,2,4,3,0.0,1.25,2.0,4.0,3.0,2025-05-09 16:08:30
KhaZix,2,1,6,0,2,50.0,8.0,3.0,0.0,1.0,2025-05-09 16:08:30
Belveth,2,1,16,7,7,50.0,3.29,8.0,3.5,3.5,2025-05-09 16:08:30
Zyra,2,1,32,12,12,50.0,3.67,16.0,6.0,6.0,2025-05-09 16:08:30
Hecarim,2,2,22,7,14,100.0,5.14,11.0,3.5,7.0,2025-05-09 16:08:30
Diana,1,1,11,4,6,100.0,4.25,11.0,4.0,6.0,2025-05-09 16:08:30
Dr. Mundo,5,2,27,13,22,40.0,3.77,5.4,2.6,4.4,2025-05-09 16:08:30
Shaco,1,1,5,3,10,100.0,5.0,5.0,3.0,10.0,2025-05-09 16:08:30
Kayn,3,1,25,12,18,33.33,3.58,8.33,4.0,6.0,2025-05-09 16:08:30
Zed,2,2,19,6,14,100.0,5.5,9.5,3.0,7.0,2025-05-09 16:08:30
Pantheon,3,2,36,12,8,66.67,3.67,12.0,4.0,2.67,2025-05-09 16:08:30
Evelynn,1,1,8,4,5,100.0,3.25,8.0,4.0,5.0,2025-05-09 16:08:30
Taliyah,1,1,11,2,3,100.0,7.0,11.0,2.0,3.0,2025-05-09 16:08:30
Graves,1,0,4,6,2,0.0,1.0,4.0,6.0,2.0,2025-05-09 16:08:30
Urgot,3,2,22,11,8,66.67,2.73,7.33,3.67,2.67,2025-05-09 16:08:30
Sion,2,0,10,13,3,0.0,1.0,5.0,6.5,1.5,2025-05-09 16:08:30
Reksai,1,0,4,7,3,0.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Fiora,6,4,31,30,23,66.67,1.8,5.17,5.0,3.83,2025-05-09 16:08:30
Gragas,3,2,13,11,13,66.67,2.36,4.33,3.67,4.33,2025-05-09 16:08:30
Sett,1,1,5,6,7,100.0,2.0,5.0,6.0,7.0,2025-05-09 16:08:30
Sylas,1,0,0,9,4,0.0,0.44,0.0,9.0,4.0,2025-05-09 16:08:30
Irelia,3,1,19,21,15,33.33,1.62,6.33,7.0,5.0,2025-05-09 16:08:30
Udyr,1,1,5,3,2,100.0,2.33,5.0,3.0,2.0,2025-05-09 16:08:30
Aatrox,8,4,30,38,29,50.0,1.55,3.75,4.75,3.62,2025-05-09 16:08:30
Rumble,8,5,37,38,42,62.5,2.08,4.62,4.75,5.25,2025-05-09 16:08:30
Gangplank,4,0,14,28,9,0.0,0.82,3.5,7.0,2.25,2025-05-09 16:08:30
Gwen,11,5,45,49,35,45.45,1.63,4.09,4.45,3.18,2025-05-09 16:08:30
Quinn,1,1,7,2,1,100.0,4.0,7.0,2.0,1.0,2025-05-09 16:08:30
KSante,5,1,14,31,17,20.0,1.0,2.8,6.2,3.4,2025-05-09 16:08:30
Lillia,1,0,3,3,2,0.0,1.67,3.0,3.0,2.0,2025-05-09 16:08:30
