opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Shen,2,2,10,18,28,100.0,2.11,5.0,9.0,14.0,2025-05-09 16:08:30
Galio,3,2,4,9,14,66.67,2.0,1.33,3.0,4.67,2025-05-09 16:08:30
Renata,2,2,10,13,17,100.0,2.08,5.0,6.5,8.5,2025-05-09 16:08:30
Senna,2,1,14,19,17,50.0,1.63,7.0,9.5,8.5,2025-05-09 16:08:30
Rakan,8,3,37,56,82,37.5,2.12,4.62,7.0,10.25,2025-05-09 16:08:30
Thresh,4,3,26,18,40,75.0,3.67,6.5,4.5,10.0,2025-05-09 16:08:30
Pyke,4,2,42,29,35,50.0,2.66,10.5,7.25,8.75,2025-05-09 16:08:30
Karma,6,3,19,36,54,50.0,2.03,3.17,6.0,9.0,2025-05-09 16:08:30
Alistar,5,1,30,38,44,20.0,1.95,6.0,7.6,8.8,2025-05-09 16:08:30
Mel,3,1,15,37,24,33.33,1.05,5.0,12.33,8.0,2025-05-09 16:08:30
Bard,6,4,28,47,70,66.67,2.09,4.67,7.83,11.67,2025-05-09 16:08:30
Nautilus,2,2,7,4,28,100.0,8.75,3.5,2.0,14.0,2025-05-09 16:08:30
Lulu,2,2,13,13,25,100.0,2.92,6.5,6.5,12.5,2025-05-09 16:08:30
Neeko,2,2,17,7,14,100.0,4.43,8.5,3.5,7.0,2025-05-09 16:08:30
Naafiri,2,1,6,5,9,50.0,3.0,3.0,2.5,4.5,2025-05-09 16:08:30
Zoe,1,0,1,9,3,0.0,0.44,1.0,9.0,3.0,2025-05-09 16:08:30
Talon,4,2,36,19,41,50.0,4.05,9.0,4.75,10.25,2025-05-09 16:08:30
Lee Sin,4,1,17,26,31,25.0,1.85,4.25,6.5,7.75,2025-05-09 16:08:30
Poppy,2,0,12,23,20,0.0,1.39,6.0,11.5,10.0,2025-05-09 16:08:30
Lux,1,0,9,8,8,0.0,2.12,9.0,8.0,8.0,2025-05-09 16:08:30
Blitzcrank,1,0,5,7,2,0.0,1.0,5.0,7.0,2.0,2025-05-09 16:08:30
Rell,3,0,24,19,28,0.0,2.74,8.0,6.33,9.33,2025-05-09 16:08:30
Leona,3,1,10,31,26,33.33,1.16,3.33,10.33,8.67,2025-05-09 16:08:30
Volibear,1,0,1,6,5,0.0,1.0,1.0,6.0,5.0,2025-05-09 16:08:30
Rammus,1,0,4,10,14,0.0,1.8,4.0,10.0,14.0,2025-05-09 16:08:30
Xin Zhao,4,1,22,22,8,25.0,1.36,5.5,5.5,2.0,2025-05-09 16:08:30
Milio,2,0,2,18,4,0.0,0.33,1.0,9.0,2.0,2025-05-09 16:08:30
Nami,2,0,16,15,18,0.0,2.27,8.0,7.5,9.0,2025-05-09 16:08:30
Braum,1,1,9,7,22,100.0,4.43,9.0,7.0,22.0,2025-05-09 16:08:30
Brand,1,1,11,6,8,100.0,3.17,11.0,6.0,8.0,2025-05-09 16:08:30
Vi,2,0,7,12,8,0.0,1.25,3.5,6.0,4.0,2025-05-09 16:08:30
Pantheon,2,1,8,6,15,50.0,3.83,4.0,3.0,7.5,2025-05-09 16:08:30
Swain,1,0,4,6,8,0.0,2.0,4.0,6.0,8.0,2025-05-09 16:08:30
Janna,1,1,1,1,9,100.0,10.0,1.0,1.0,9.0,2025-05-09 16:08:30
Viego,2,2,14,9,21,100.0,3.89,7.0,4.5,10.5,2025-05-09 16:08:30
Seraphine,3,1,7,15,21,33.33,1.87,2.33,5.0,7.0,2025-05-09 16:08:30
KhaZix,1,0,15,9,14,0.0,3.22,15.0,9.0,14.0,2025-05-09 16:08:30
Kindred,2,0,10,16,4,0.0,0.88,5.0,8.0,2.0,2025-05-09 16:08:30
Kayn,2,1,22,11,15,50.0,3.36,11.0,5.5,7.5,2025-05-09 16:08:30
Nocturne,1,1,5,2,8,100.0,6.5,5.0,2.0,8.0,2025-05-09 16:08:30
Gwen,1,0,5,7,5,0.0,1.43,5.0,7.0,5.0,2025-05-09 16:08:30
Amumu,1,1,7,1,7,100.0,14.0,7.0,1.0,7.0,2025-05-09 16:08:30
Soraka,1,0,1,3,1,0.0,0.67,1.0,3.0,1.0,2025-05-09 16:08:30
