opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ashe,18,6,101,100,117,33.33,2.18,5.61,5.56,6.5,2025-05-09 16:08:30
Corki,20,9,122,108,128,45.0,2.31,6.1,5.4,6.4,2025-05-09 16:08:30
Kaisa,76,35,465,426,522,46.05,2.32,6.12,5.61,6.87,2025-05-09 16:08:30
Miss Fortune,16,7,82,79,114,43.75,2.48,5.12,4.94,7.12,2025-05-09 16:08:30
Aurora,1,0,6,9,2,0.0,0.89,6.0,9.0,2.0,2025-05-09 16:08:30
Jhin,26,13,121,120,124,50.0,2.04,4.65,4.62,4.77,2025-05-09 16:08:30
Smolder,14,7,84,65,102,50.0,2.86,6.0,4.64,7.29,2025-05-09 16:08:30
Tristana,28,12,141,133,160,42.86,2.26,5.04,4.75,5.71,2025-05-09 16:08:30
Ornn,1,0,6,5,4,0.0,2.0,6.0,5.0,4.0,2025-05-09 16:08:30
Sivir,11,4,46,58,58,36.36,1.79,4.18,5.27,5.27,2025-05-09 16:08:30
Draven,14,7,103,63,90,50.0,3.06,7.36,4.5,6.43,2025-05-09 16:08:30
Zeri,4,1,14,16,9,25.0,1.44,3.5,4.0,2.25,2025-05-09 16:08:30
Mel,6,1,19,38,47,16.67,1.74,3.17,6.33,7.83,2025-05-09 16:08:30
Master Yi,2,2,12,4,6,100.0,4.5,6.0,2.0,3.0,2025-05-09 16:08:30
Caitlyn,14,7,48,71,88,50.0,1.92,3.43,5.07,6.29,2025-05-09 16:08:30
Lucian,15,12,110,79,111,80.0,2.8,7.33,5.27,7.4,2025-05-09 16:08:30
Yasuo,10,3,56,66,72,30.0,1.94,5.6,6.6,7.2,2025-05-09 16:08:30
KogMaw,5,4,32,18,44,80.0,4.22,6.4,3.6,8.8,2025-05-09 16:08:30
Twitch,7,4,35,40,48,57.14,2.08,5.0,5.71,6.86,2025-05-09 16:08:30
Varus,51,21,257,255,296,41.18,2.17,5.04,5.0,5.8,2025-05-09 16:08:30
Jinx,13,7,102,73,89,53.85,2.62,7.85,5.62,6.85,2025-05-09 16:08:30
Hwei,6,1,44,47,42,16.67,1.83,7.33,7.83,7.0,2025-05-09 16:08:30
Xerath,1,0,3,4,2,0.0,1.25,3.0,4.0,2.0,2025-05-09 16:08:30
Vayne,13,4,50,66,75,30.77,1.89,3.85,5.08,5.77,2025-05-09 16:08:30
Lux,5,2,27,21,31,40.0,2.76,5.4,4.2,6.2,2025-05-09 16:08:30
Veigar,1,0,1,6,1,0.0,0.33,1.0,6.0,1.0,2025-05-09 16:08:30
Syndra,8,6,39,24,47,75.0,3.58,4.88,3.0,5.88,2025-05-09 16:08:30
Swain,3,2,20,17,29,66.67,2.88,6.67,5.67,9.67,2025-05-09 16:08:30
Karthus,10,2,74,98,89,20.0,1.66,7.4,9.8,8.9,2025-05-09 16:08:30
Aphelios,6,1,34,31,32,16.67,2.13,5.67,5.17,5.33,2025-05-09 16:08:30
Ziggs,5,2,24,33,35,40.0,1.79,4.8,6.6,7.0,2025-05-09 16:08:30
Xayah,5,2,17,23,27,40.0,1.91,3.4,4.6,5.4,2025-05-09 16:08:30
Urgot,1,0,4,4,5,0.0,2.25,4.0,4.0,5.0,2025-05-09 16:08:30
Seraphine,9,4,52,57,45,44.44,1.7,5.78,6.33,5.0,2025-05-09 16:08:30
Vladimir,1,1,7,2,5,100.0,6.0,7.0,2.0,5.0,2025-05-09 16:08:30
Brand,1,1,5,3,2,100.0,2.33,5.0,3.0,2.0,2025-05-09 16:08:30
Malzahar,1,0,3,6,3,0.0,1.0,3.0,6.0,3.0,2025-05-09 16:08:30
Kalista,5,3,37,22,43,60.0,3.64,7.4,4.4,8.6,2025-05-09 16:08:30
Naafiri,1,1,17,5,7,100.0,4.8,17.0,5.0,7.0,2025-05-09 16:08:30
Neeko,1,1,1,2,4,100.0,2.5,1.0,2.0,4.0,2025-05-09 16:08:30
Sylas,1,0,3,9,10,0.0,1.44,3.0,9.0,10.0,2025-05-09 16:08:30
Taliyah,1,0,4,6,7,0.0,1.83,4.0,6.0,7.0,2025-05-09 16:08:30
Samira,1,0,10,6,3,0.0,2.17,10.0,6.0,3.0,2025-05-09 16:08:30
Orianna,1,1,1,0,0,100.0,1.0,1.0,0.0,0.0,2025-05-09 16:08:30
Azir,2,0,8,8,10,0.0,2.25,4.0,4.0,5.0,2025-05-09 16:08:30
Katarina,1,0,3,6,0,0.0,0.5,3.0,6.0,0.0,2025-05-09 16:08:30
Lulu,2,0,10,26,8,0.0,0.69,5.0,13.0,4.0,2025-05-09 16:08:30
Kayle,1,0,0,4,2,0.0,0.5,0.0,4.0,2.0,2025-05-09 16:08:30
Nilah,1,1,4,1,6,100.0,10.0,4.0,1.0,6.0,2025-05-09 16:08:30
