opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,7,6,32,25,61,85.71,3.72,4.57,3.57,8.71,2025-05-09 16:08:30
Lee Sin,8,5,42,59,110,62.5,2.58,5.25,7.38,13.75,2025-05-09 16:08:30
Neeko,12,7,29,64,169,58.33,3.09,2.42,5.33,14.08,2025-05-09 16:08:30
Blitzcrank,2,2,4,5,17,100.0,4.2,2.0,2.5,8.5,2025-05-09 16:08:30
Nautilus,8,6,23,44,123,75.0,3.32,2.88,5.5,15.38,2025-05-09 16:08:30
Rell,3,3,9,14,49,100.0,4.14,3.0,4.67,16.33,2025-05-09 16:08:30
Alistar,13,7,30,75,194,53.85,2.99,2.31,5.77,14.92,2025-05-09 16:08:30
Rakan,7,4,23,42,77,57.14,2.38,3.29,6.0,11.0,2025-05-09 16:08:30
Pantheon,12,5,62,72,133,41.67,2.71,5.17,6.0,11.08,2025-05-09 16:08:30
Naafiri,5,5,48,30,51,100.0,3.3,9.6,6.0,10.2,2025-05-09 16:08:30
Poppy,2,0,5,12,25,0.0,2.5,2.5,6.0,12.5,2025-05-09 16:08:30
Gwen,7,1,26,56,58,14.29,1.5,3.71,8.0,8.29,2025-05-09 16:08:30
Lillia,5,2,9,19,34,40.0,2.26,1.8,3.8,6.8,2025-05-09 16:08:30
Xin Zhao,3,2,15,20,30,66.67,2.25,5.0,6.67,10.0,2025-05-09 16:08:30
Nami,4,4,14,22,79,100.0,4.23,3.5,5.5,19.75,2025-05-09 16:08:30
Nidalee,4,2,14,30,38,50.0,1.73,3.5,7.5,9.5,2025-05-09 16:08:30
Pyke,1,0,1,7,11,0.0,1.71,1.0,7.0,11.0,2025-05-09 16:08:30
Ashe,1,0,2,8,17,0.0,2.38,2.0,8.0,17.0,2025-05-09 16:08:30
Renata,2,2,8,20,42,100.0,2.5,4.0,10.0,21.0,2025-05-09 16:08:30
Bard,6,3,13,33,104,50.0,3.55,2.17,5.5,17.33,2025-05-09 16:08:30
Vi,6,3,31,36,41,50.0,2.0,5.17,6.0,6.83,2025-05-09 16:08:30
Udyr,2,1,20,14,9,50.0,2.07,10.0,7.0,4.5,2025-05-09 16:08:30
Zed,4,4,24,18,76,100.0,5.56,6.0,4.5,19.0,2025-05-09 16:08:30
Zyra,5,4,20,31,62,80.0,2.65,4.0,6.2,12.4,2025-05-09 16:08:30
Zac,3,0,12,26,46,0.0,2.23,4.0,8.67,15.33,2025-05-09 16:08:30
Darius,2,1,10,13,19,50.0,2.23,5.0,6.5,9.5,2025-05-09 16:08:30
Taliyah,2,1,6,5,15,50.0,4.2,3.0,2.5,7.5,2025-05-09 16:08:30
Sejuani,1,1,3,4,14,100.0,4.25,3.0,4.0,14.0,2025-05-09 16:08:30
Belveth,1,1,15,4,13,100.0,7.0,15.0,4.0,13.0,2025-05-09 16:08:30
