opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Ezreal,26,13,157,86,157,50.0,3.65,6.04,3.31,6.04,2025-05-09 16:08:30
Tristana,33,12,239,180,286,36.36,2.92,7.24,5.45,8.67,2025-05-09 16:08:30
Ashe,20,7,142,96,180,35.0,3.35,7.1,4.8,9.0,2025-05-09 16:08:30
Caitlyn,28,9,180,143,198,32.14,2.64,6.43,5.11,7.07,2025-05-09 16:08:30
Varus,32,19,219,144,257,59.38,3.31,6.84,4.5,8.03,2025-05-09 16:08:30
Corki,13,7,118,74,113,53.85,3.12,9.08,5.69,8.69,2025-05-09 16:08:30
Miss Fortune,21,11,138,107,181,52.38,2.98,6.57,5.1,8.62,2025-05-09 16:08:30
Kaisa,36,23,264,189,319,63.89,3.08,7.33,5.25,8.86,2025-05-09 16:08:30
Lucian,17,10,91,76,129,58.82,2.89,5.35,4.47,7.59,2025-05-09 16:08:30
Vayne,6,2,36,41,42,33.33,1.9,6.0,6.83,7.0,2025-05-09 16:08:30
Zeri,6,3,44,31,48,50.0,2.97,7.33,5.17,8.0,2025-05-09 16:08:30
Xayah,6,0,21,45,53,0.0,1.64,3.5,7.5,8.83,2025-05-09 16:08:30
Draven,6,4,52,32,66,66.67,3.69,8.67,5.33,11.0,2025-05-09 16:08:30
Aphelios,10,4,54,42,77,40.0,3.12,5.4,4.2,7.7,2025-05-09 16:08:30
Yasuo,5,1,23,26,36,20.0,2.27,4.6,5.2,7.2,2025-05-09 16:08:30
Ziggs,4,2,32,16,33,50.0,4.06,8.0,4.0,8.25,2025-05-09 16:08:30
Smolder,8,4,56,34,46,50.0,3.0,7.0,4.25,5.75,2025-05-09 16:08:30
Chogath,4,2,49,27,39,50.0,3.26,12.25,6.75,9.75,2025-05-09 16:08:30
Jinx,8,5,30,26,40,62.5,2.69,3.75,3.25,5.0,2025-05-09 16:08:30
Twitch,4,2,26,35,45,50.0,2.03,6.5,8.75,11.25,2025-05-09 16:08:30
Sivir,3,3,23,12,32,100.0,4.58,7.67,4.0,10.67,2025-05-09 16:08:30
Lux,4,1,40,20,12,25.0,2.6,10.0,5.0,3.0,2025-05-09 16:08:30
Kalista,4,0,22,30,41,0.0,2.1,5.5,7.5,10.25,2025-05-09 16:08:30
Hwei,3,2,18,13,32,66.67,3.85,6.0,4.33,10.67,2025-05-09 16:08:30
Mel,2,1,6,14,19,50.0,1.79,3.0,7.0,9.5,2025-05-09 16:08:30
VelKoz,1,0,3,4,2,0.0,1.25,3.0,4.0,2.0,2025-05-09 16:08:30
Swain,2,2,11,6,28,100.0,6.5,5.5,3.0,14.0,2025-05-09 16:08:30
Cassiopeia,1,1,6,1,4,100.0,10.0,6.0,1.0,4.0,2025-05-09 16:08:30
Viktor,2,1,8,11,14,50.0,2.0,4.0,5.5,7.0,2025-05-09 16:08:30
Rengar,1,0,8,6,5,0.0,2.17,8.0,6.0,5.0,2025-05-09 16:08:30
Syndra,6,3,28,35,36,50.0,1.83,4.67,5.83,6.0,2025-05-09 16:08:30
Ahri,2,1,12,11,14,50.0,2.36,6.0,5.5,7.0,2025-05-09 16:08:30
Anivia,1,0,5,3,5,0.0,3.33,5.0,3.0,5.0,2025-05-09 16:08:30
Aurora,1,0,10,5,4,0.0,2.8,10.0,5.0,4.0,2025-05-09 16:08:30
Taliyah,1,0,7,2,9,0.0,8.0,7.0,2.0,9.0,2025-05-09 16:08:30
Twisted Fate,1,0,1,0,0,0.0,1.0,1.0,0.0,0.0,2025-05-09 16:08:30
Karthus,3,0,4,18,10,0.0,0.78,1.33,6.0,3.33,2025-05-09 16:08:30
Master Yi,1,0,4,9,9,0.0,1.44,4.0,9.0,9.0,2025-05-09 16:08:30
Viego,1,1,10,9,12,100.0,2.44,10.0,9.0,12.0,2025-05-09 16:08:30
Nilah,1,1,6,5,8,100.0,2.8,6.0,5.0,8.0,2025-05-09 16:08:30
Seraphine,2,1,13,6,8,50.0,3.5,6.5,3.0,4.0,2025-05-09 16:08:30
