opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Yasuo,1,0,5,10,12,0.0,1.7,5.0,10.0,12.0,2025-05-09 16:08:30
Lucian,7,4,26,37,34,57.14,1.62,3.71,5.29,4.86,2025-05-09 16:08:30
Miss Fortune,7,1,51,53,61,14.29,2.11,7.29,7.57,8.71,2025-05-09 16:08:30
Ashe,10,6,55,51,45,60.0,1.96,5.5,5.1,4.5,2025-05-09 16:08:30
Corki,6,2,44,54,34,33.33,1.44,7.33,9.0,5.67,2025-05-09 16:08:30
Caitlyn,1,1,9,3,8,100.0,5.67,9.0,3.0,8.0,2025-05-09 16:08:30
Aphelios,4,3,42,19,26,75.0,3.58,10.5,4.75,6.5,2025-05-09 16:08:30
Tristana,5,3,59,37,52,60.0,3.0,11.8,7.4,10.4,2025-05-09 16:08:30
Taliyah,2,2,12,14,12,100.0,1.71,6.0,7.0,6.0,2025-05-09 16:08:30
Xayah,2,1,8,14,6,50.0,1.0,4.0,7.0,3.0,2025-05-09 16:08:30
Jayce,1,0,3,3,3,0.0,2.0,3.0,3.0,3.0,2025-05-09 16:08:30
Jhin,4,4,46,25,30,100.0,3.04,11.5,6.25,7.5,2025-05-09 16:08:30
Ahri,1,1,13,8,6,100.0,2.38,13.0,8.0,6.0,2025-05-09 16:08:30
Hwei,1,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2025-05-09 16:08:30
Varus,12,7,79,60,54,58.33,2.22,6.58,5.0,4.5,2025-05-09 16:08:30
Sivir,1,1,4,6,7,100.0,1.83,4.0,6.0,7.0,2025-05-09 16:08:30
Ezreal,5,2,44,31,31,40.0,2.42,8.8,6.2,6.2,2025-05-09 16:08:30
Kaisa,6,4,64,46,28,66.67,2.0,10.67,7.67,4.67,2025-05-09 16:08:30
Draven,3,3,24,23,28,100.0,2.26,8.0,7.67,9.33,2025-05-09 16:08:30
Twitch,1,0,7,7,4,0.0,1.57,7.0,7.0,4.0,2025-05-09 16:08:30
Zeri,1,1,12,5,5,100.0,3.4,12.0,5.0,5.0,2025-05-09 16:08:30
Jinx,1,0,21,9,6,0.0,3.0,21.0,9.0,6.0,2025-05-09 16:08:30
Ziggs,1,1,16,7,3,100.0,2.71,16.0,7.0,3.0,2025-05-09 16:08:30
Chogath,1,1,6,2,4,100.0,5.0,6.0,2.0,4.0,2025-05-09 16:08:30
Karthus,1,0,3,8,6,0.0,1.12,3.0,8.0,6.0,2025-05-09 16:08:30
Seraphine,1,0,6,6,3,0.0,1.5,6.0,6.0,3.0,2025-05-09 16:08:30
Viktor,1,0,3,3,8,0.0,3.67,3.0,3.0,8.0,2025-05-09 16:08:30
